RecordID,MeasurementUnitID,CowKey,Branch,BranchValue,TrainingBackground,SHAPValue
MEAS_R000015,MEAS_UNIT_000015,C003,HierarchicalResidualPredicted,38.4928459292541,38.9235325259989,-0.30930814337521506
MEAS_R000015,MEAS_UNIT_000015,C003,SourceMemoryPredicted,38.5105749081073,38.92843408225918,-0.011754811503153816
MEAS_R000016,MEAS_UNIT_000016,C003,BatchSessionPredicted,38.4461335191904,38.90580928065268,-0.17206392051325092
MEAS_R000016,MEAS_UNIT_000016,C003,HierarchicalResidualPredicted,38.5074695466971,38.90089801334441,-0.24444751352291058
MEAS_R000016,MEAS_UNIT_000016,C003,SourceMemoryPredicted,38.3562144733155,38.904804190806296,-0.01281887356901473
MEAS_R000017,MEAS_UNIT_000017,C003,BatchSessionPredicted,38.4954478587073,38.91226411074174,-0.019193654703959603
MEAS_R000017,MEAS_UNIT_000017,C003,HierarchicalResidualPredicted,38.5075601500531,38.910023197180905,-0.3923962321749692
MEAS_R000017,MEAS_UNIT_000017,C003,SourceMemoryPredicted,38.5267035822759,38.92490491115891,-0.0012877991456477311
MEAS_R000018,MEAS_UNIT_000018,C003,BatchSessionPredicted,38.4975258980091,38.91725581397288,-0.16122507277694464
MEAS_R000018,MEAS_UNIT_000018,C003,HierarchicalResidualPredicted,38.5123030749892,38.92277423766374,-0.2292847605175509
MEAS_R000018,MEAS_UNIT_000018,C003,SourceMemoryPredicted,38.6645319182859,38.92019929896373,-0.013110038123577335
MEAS_R000019,MEAS_UNIT_000019,C003,BatchSessionPredicted,38.5733795441849,38.921753924942365,-0.1381172819058518
MEAS_R000019,MEAS_UNIT_000019,C003,HierarchicalResidualPredicted,38.5947752808759,38.919739064340945,-0.13638001157024116
MEAS_R000019,MEAS_UNIT_000019,C003,SourceMemoryPredicted,38.5510880050963,38.9152778636396,-0.0732570693575605
MEAS_R000020,MEAS_UNIT_000020,C003,BatchSessionPredicted,38.7029882826366,38.923435689968294,-0.08435978934825836
MEAS_R000020,MEAS_UNIT_000020,C003,HierarchicalResidualPredicted,38.8002481667851,38.91811283222445,-0.06428528739798468
MEAS_R000020,MEAS_UNIT_000020,C003,SourceMemoryPredicted,38.6449932310123,38.91842568784033,-0.025727282658086378
MEAS_R000021,MEAS_UNIT_000021,C003,BatchSessionPredicted,38.7877844587768,38.92000149398395,-0.02406226736103655
MEAS_R000021,MEAS_UNIT_000021,C003,HierarchicalResidualPredicted,38.6072052914066,38.91956090984111,-0.25803132698797476
MEAS_R000021,MEAS_UNIT_000021,C003,SourceMemoryPredicted,38.9070247076197,38.91548331691603,-2.35224305371097e-07
MEAS_R000022,MEAS_UNIT_000022,C002,BatchSessionPredicted,39.3133517858388,38.90511905160711,0.12950548313996624
MEAS_R000022,MEAS_UNIT_000022,C002,HierarchicalResidualPredicted,39.1114549771761,38.911342637284754,0.12160394134270934
MEAS_R000022,MEAS_UNIT_000022,C002,SourceMemoryPredicted,38.75313006035,38.899685525987074,-0.01687331323561178
MEAS_R000023,MEAS_UNIT_000023,C002,BatchSessionPredicted,39.1070559144799,38.9095405009044,0.0605489133732129
MEAS_R000023,MEAS_UNIT_000023,C002,HierarchicalResidualPredicted,39.0477187538929,38.913415213232696,0.08264421123562014
MEAS_R000023,MEAS_UNIT_000023,C002,SourceMemoryPredicted,38.9461514082183,38.91067586592566,0.004006943357904506
MEAS_R000024,MEAS_UNIT_000024,C002,BatchSessionPredicted,39.0743441993901,38.92039043710456,0.06951329052110743
MEAS_R000024,MEAS_UNIT_000024,C002,HierarchicalResidualPredicted,39.2217427439471,38.92023963878839,0.14266582891518323
