RecordID,CowKey,Seed,FoldID,BaseValue,SHAPSum,UnclippedPredicted,ClipAdjustment,Predicted,SavedPredicted
MEAS_R000004,C021,20260523,1,38.920347394886576,-0.689052723517269,38.231294671369305,7.105427357601002e-15,38.23129467136931,38.23129467136931
MEAS_R000005,C021,20260523,1,38.920347394886576,-0.681053292400127,38.23929410248645,7.105427357601002e-15,38.239294102486454,38.23929410248645
MEAS_R000009,C021,20260523,1,38.920347394886576,-0.6147424912733177,38.30560490361326,7.105427357601002e-15,38.305604903613265,38.30560490361327
MEAS_R000010,C003,20260523,1,38.920347394886576,-0.33742129477317806,38.5829261001134,7.105427357601002e-15,38.582926100113404,38.58292610011341
MEAS_R000017,C003,20260523,1,38.920347394886576,-0.41295968012232603,38.50738771476425,7.105427357601002e-15,38.507387714764256,38.507387714764256
MEAS_R000018,C003,20260523,1,38.920347394886576,-0.4036198714180729,38.516727523468504,7.105427357601002e-15,38.51672752346851,38.51672752346851
MEAS_R000021,C003,20260523,1,38.920347394886576,-0.2616557581631524,38.658691636723425,7.105427357601002e-15,38.65869163672343,38.65869163672343
MEAS_R000023,C002,20260523,1,38.920347394886576,0.153164579604596,39.073511974491176,0.0,39.073511974491176,39.073511974491176
MEAS_R000028,C002,20260523,1,38.920347394886576,0.043086841005993526,38.96343423589257,7.105427357601002e-15,38.96343423589258,38.96343423589258
MEAS_R000031,C002,20260523,1,38.920347394886576,0.3912264619483373,39.31157385683491,7.105427357601002e-15,39.31157385683492,39.31157385683492
MEAS_R000037,C029,20260523,1,38.920347394886576,-0.6268705086002367,38.29347688628634,0.0,38.29347688628634,38.29347688628634
MEAS_R000041,C029,20260523,1,38.920347394886576,-0.616685921264402,38.30366147362217,7.105427357601002e-15,38.30366147362218,38.30366147362218
MEAS_R000052,C001,20260523,1,38.920347394886576,-0.7477347915545227,38.172612603332055,0.0,38.172612603332055,38.172612603332055
MEAS_R000055,C001,20260523,1,38.920347394886576,-0.740252655202073,38.180094739684506,0.0,38.180094739684506,38.180094739684506
MEAS_R000072,C027,20260523,1,38.920347394886576,0.06261907448507253,38.98296646937165,7.105427357601002e-15,38.982966469371654,38.98296646937165
MEAS_R000073,C026,20260523,1,38.920347394886576,-0.2841248383045371,38.63622255658204,7.105427357601002e-15,38.63622255658205,38.63622255658205
MEAS_R000078,C026,20260523,1,38.920347394886576,-0.20467869697384453,38.71566869791273,0.0,38.71566869791273,38.71566869791273
MEAS_R000083,C016,20260523,1,38.920347394886576,-0.4165298588157389,38.50381753607084,0.0,38.50381753607084,38.50381753607084
MEAS_R000091,C022,20260523,1,38.920347394886576,-0.3859400161659311,38.534407378720644,7.105427357601002e-15,38.53440737872065,38.53440737872065
MEAS_R000094,C022,20260523,1,38.920347394886576,-0.2186771429945189,38.701670251892054,7.105427357601002e-15,38.70167025189206,38.70167025189206
MEAS_R000098,C022,20260523,1,38.920347394886576,-0.20730717743351396,38.71304021745306,7.105427357601002e-15,38.71304021745307,38.71304021745307
MEAS_R000101,C022,20260523,1,38.920347394886576,-0.44059658723658923,38.479750807649985,7.105427357601002e-15,38.47975080764999,38.47975080764999
MEAS_R000109,C014,20260523,1,38.920347394886576,-0.7870890840573128,38.13325831082926,7.105427357601002e-15,38.13325831082927,38.13325831082927
MEAS_R000110,C014,20260523,1,38.920347394886576,-0.737070059751719,38.18327733513486,0.0,38.18327733513486,38.18327733513486
