RecordID,CowKey,BaseValue,SHAPSum,ClipAdjustment,Predicted,SavedPredicted
MEAS_R000001,C021,38.91511627920176,-0.6309520069860013,0.0,38.28416427221576,38.28416427221576
MEAS_R000002,C021,38.887149530636805,-0.6839827368831162,7.105427357601002e-15,38.203166793753695,38.203166793753695
MEAS_R000003,C021,38.91235154376939,-0.7219660181822722,0.0,38.19038552558712,38.19038552558712
MEAS_R000004,C021,38.92119047613949,-0.7321183748802897,-7.105427357601002e-15,38.1890721012592,38.1890721012592
MEAS_R000005,C021,38.920347394886576,-0.681053292400127,7.105427357601002e-15,38.239294102486454,38.23929410248645
MEAS_R000006,C021,38.904679802745385,-0.5717396189231627,0.0,38.332940183822224,38.332940183822224
MEAS_R000007,C021,38.91235154376939,-0.6926945762257084,-7.105427357601002e-15,38.21965696754368,38.21965696754368
MEAS_R000008,C021,38.88295165275932,-0.6791686348371234,0.0,38.20378301792219,38.20378301792219
MEAS_R000009,C021,38.92222222242296,-0.6746571436317081,-7.105427357601002e-15,38.24756507879125,38.24756507879125
MEAS_R000010,C003,38.88295165275932,-0.3506445129433766,0.0,38.53230713981594,38.53230713981594
MEAS_R000011,C003,38.92000000022668,-0.3611504842567864,0.0,38.55884951596989,38.55884951596989
MEAS_R000012,C003,38.91511627920176,-0.42532535960008117,0.0,38.48979091960168,38.48979091960168
MEAS_R000013,C003,38.92119047613949,-0.4119573014342509,-7.105427357601002e-15,38.50923317470524,38.50923317470524
MEAS_R000014,C003,38.890214795702306,-0.4220772911380759,-7.105427357601002e-15,38.468137504564226,38.46813750456423
MEAS_R000015,C003,38.91511627920176,-0.44074316358206245,0.0,38.4743731156197,38.4743731156197
MEAS_R000016,C003,38.890214795702306,-0.4293303076051762,0.0,38.46088448809713,38.46088448809713
MEAS_R000017,C003,38.90663615432866,-0.41287768602457653,7.105427357601002e-15,38.49375846830409,38.49375846830409
MEAS_R000018,C003,38.920347394886576,-0.4036198714180729,7.105427357601002e-15,38.51672752346851,38.51672752346851
MEAS_R000019,C003,38.92222222242296,-0.34775436283365346,0.0,38.574467859589305,38.574467859589305
MEAS_R000020,C003,38.91896955437967,-0.17437235940432944,0.0,38.74459719497534,38.74459719497534
MEAS_R000021,C003,38.91777777756364,-0.2820938295733167,7.105427357601002e-15,38.63568394799033,38.63568394799033
MEAS_R000022,C002,38.89673366723968,0.23423611124706378,0.0,39.130969778486744,39.13096977848674
MEAS_R000023,C002,38.91971830990193,0.14720006796673757,0.0,39.06691837786867,39.06691837786867
MEAS_R000024,C002,38.89858156098377,0.24604980010163865,-7.105427357601002e-15,39.1446313610854,39.1446313610854
MEAS_R000025,C002,38.91511627920176,0.1350235330365482,0.0,39.05013981223831,39.05013981223831
MEAS_R000026,C002,38.91971830990193,0.054106573682222124,0.0,38.97382488358415,38.97382488358415
MEAS_R000027,C002,38.92000000022668,0.09280007571541421,0.0,39.012800075942096,39.012800075942096
MEAS_R000028,C002,38.92040302369604,0.030869759118228996,0.0,38.95127278281427,38.95127278281427
MEAS_R000029,C002,38.91608040415947,0.04885279437533497,0.0,38.96493319853481,38.96493319853481
MEAS_R000030,C002,38.92222222242296,0.1272316526837017,-7.105427357601002e-15,39.04945387510666,39.04945387510666
MEAS_R000031,C002,38.92040302369604,0.30151704940379986,7.105427357601002e-15,39.221920073099845,39.221920073099845
MEAS_R000032,C002,38.91777777756364,0.38939848351446893,0.0,39.30717626107811,39.30717626107811
MEAS_R000033,C002,38.92043795698664,0.24180823655157116,0.0,39.16224619353821,39.16224619353821
MEAS_R000034,C002,38.92000000022668,0.3911906354806096,0.0,39.31119063570729,39.31119063570729
MEAS_R000035,C029,38.91896955437967,-0.5191694024446665,0.0,38.399800151935004,38.39980015193501
MEAS_R000036,C029,38.926817043320064,-0.5648056268985419,0.0,38.362011416421524,38.36201141642152
MEAS_R000037,C029,38.887149530636805,-0.5811333082335135,0.0,38.306016222403294,38.306016222403294
MEAS_R000038,C029,38.88295165275932,-0.6150737804883467,0.0,38.26787787227097,38.26787787227097
MEAS_R000039,C029,38.926817043320064,-0.6370246036570981,-7.105427357601002e-15,38.28979243966296,38.28979243966296
MEAS_R000040,C029,38.92040302369604,-0.6473431531580741,7.105427357601002e-15,38.27305987053797,38.27305987053797
MEAS_R000041,C029,38.91896955437967,-0.648248588135043,-7.105427357601002e-15,38.270720966244625,38.27072096624463
MEAS_R000042,C029,38.92119047613949,-0.6408525952812855,0.0,38.280337880858205,38.280337880858205
MEAS_R000043,C029,38.890214795702306,-0.4621556654139585,0.0,38.42805913028835,38.42805913028835
MEAS_R000044,C029,38.91777777756364,-0.48243456106309335,7.105427357601002e-15,38.435343216500556,38.43534321650056
MEAS_R000045,C029,38.91971830990193,-0.35695220178230247,0.0,38.56276610811963,38.56276610811963
MEAS_R000046,C029,38.88295165275932,-0.536952072429101,0.0,38.345999580330215,38.345999580330215
MEAS_R000047,C001,38.92222222242296,-0.6036032836018543,0.0,38.3186189388211,38.3186189388211
MEAS_R000048,C001,38.890214795702306,-0.43277360604404347,0.0,38.45744118965826,38.45744118965826
MEAS_R000049,C001,38.89858156098377,-0.572751119165134,-7.105427357601002e-15,38.32583044181863,38.32583044181863
MEAS_R000050,C001,38.91896955437967,-0.7555896110098048,-7.105427357601002e-15,38.16337994336986,38.16337994336986
MEAS_R000051,C001,38.926817043320064,-0.7134486652304022,0.0,38.21336837808966,38.21336837808966
MEAS_R000052,C001,38.920347394886576,-0.7477347915545227,0.0,38.172612603332055,38.172612603332055
MEAS_R000053,C001,38.92040302369604,-0.7218520850996709,7.105427357601002e-15,38.19855093859638,38.19855093859638
MEAS_R000054,C001,38.91608040415947,-0.711487011773315,0.0,38.20459339238616,38.20459339238616
MEAS_R000055,C001,38.89673366723968,-0.7179759635063389,0.0,38.17875770373334,38.17875770373334
MEAS_R000056,C001,38.92043795698664,-0.7421863110526721,0.0,38.17825164593397,38.17825164593397
MEAS_R000057,C001,38.91674418646186,-0.5466751125728115,7.105427357601002e-15,38.370069073889056,38.370069073889056
MEAS_R000058,C001,38.887149530636805,-0.6262986955350538,7.105427357601002e-15,38.260850835101756,38.26085083510176
MEAS_R000059,C001,38.90954773814833,-0.6571320804562052,7.105427357601002e-15,38.25241565769213,38.25241565769213
MEAS_R000060,C001,38.91511627920176,-0.7195978763871238,0.0,38.195518402814635,38.19551840281464
MEAS_R000061,C027,38.91511627920176,0.02069419976314629,0.0,38.93581047896491,38.93581047896491
MEAS_R000062,C027,38.90954773814833,-0.03400173100619633,7.105427357601002e-15,38.87554600714214,38.87554600714214
MEAS_R000063,C027,38.894266054817926,1.025164459681892,0.0,39.919430514499815,39.919430514499815
MEAS_R000064,C027,38.88295165275932,-0.2165707725806015,0.0,38.666380880178714,38.66638088017872
MEAS_R000065,C027,38.91896955437967,-0.21918855793330297,-7.105427357601002e-15,38.699780996446364,38.69978099644637
