RecordID,MeasurementUnitID,CowKey,Seed,FoldID,Branch,BranchValue,TrainingBackground,SHAPValue
MEAS_R000055,MEAS_UNIT_000055,C001,20260523,1,SourceMemoryPredicted,38.1407559307676,38.92019929896373,-0.0399680719735516
MEAS_R000055,MEAS_UNIT_000055,C001,20260523,1,BatchSessionPredicted,38.1758770529888,38.91725581397288,-0.28477561438640453
MEAS_R000055,MEAS_UNIT_000055,C001,20260523,1,HierarchicalResidualPredicted,38.1789199616214,38.92277423766374,-0.41550896884211685
MEAS_R000072,MEAS_UNIT_000072,C027,20260523,1,SourceMemoryPredicted,39.1542073337812,38.92019929896373,0.011999396440589845
MEAS_R000072,MEAS_UNIT_000072,C027,20260523,1,BatchSessionPredicted,39.1179992852559,38.91725581397288,0.07710882530921209
MEAS_R000072,MEAS_UNIT_000072,C027,20260523,1,HierarchicalResidualPredicted,38.8753527210681,38.92277423766374,-0.026489147264729392
MEAS_R000073,MEAS_UNIT_000073,C026,20260523,1,SourceMemoryPredicted,38.4111261857032,38.92019929896373,-0.02610410410917351
MEAS_R000073,MEAS_UNIT_000073,C026,20260523,1,BatchSessionPredicted,38.6757857832158,38.91725581397288,-0.09275255777960963
MEAS_R000073,MEAS_UNIT_000073,C026,20260523,1,HierarchicalResidualPredicted,38.6269071230184,38.92277423766374,-0.16526817641575398
MEAS_R000078,MEAS_UNIT_000078,C026,20260523,1,SourceMemoryPredicted,38.7433119773499,38.92019929896373,-0.009070377002285876
MEAS_R000078,MEAS_UNIT_000078,C026,20260523,1,BatchSessionPredicted,38.7812821773111,38.91725581397288,-0.05222968064166608
MEAS_R000078,MEAS_UNIT_000078,C026,20260523,1,HierarchicalResidualPredicted,38.666094305445,38.92277423766374,-0.14337863932989256
MEAS_R000083,MEAS_UNIT_000083,C016,20260523,1,SourceMemoryPredicted,38.5103657521482,38.92019929896373,-0.021015326275990714
MEAS_R000083,MEAS_UNIT_000083,C016,20260523,1,BatchSessionPredicted,38.5848729610064,38.91725581397288,-0.12767364827041347
MEAS_R000083,MEAS_UNIT_000083,C016,20260523,1,HierarchicalResidualPredicted,38.4432789631865,38.92277423766374,-0.2678408842693347
MEAS_R000091,MEAS_UNIT_000091,C022,20260523,1,SourceMemoryPredicted,38.641127025562,38.92019929896373,-0.014310187454614839
MEAS_R000091,MEAS_UNIT_000091,C022,20260523,1,BatchSessionPredicted,38.632356631013,38.91725581397288,-0.10943439997915708
MEAS_R000091,MEAS_UNIT_000091,C022,20260523,1,HierarchicalResidualPredicted,38.4533855951883,38.92277423766374,-0.2621954287321592
MEAS_R000094,MEAS_UNIT_000094,C022,20260523,1,SourceMemoryPredicted,38.7556234352401,38.92019929896373,-0.008439073619470654
MEAS_R000094,MEAS_UNIT_000094,C022,20260523,1,BatchSessionPredicted,38.6617338100687,38.91725581397288,-0.09815014872353725
MEAS_R000094,MEAS_UNIT_000094,C022,20260523,1,HierarchicalResidualPredicted,38.7221117121311,38.92277423766374,-0.11208792065151098
MEAS_R000098,MEAS_UNIT_000098,C022,20260523,1,SourceMemoryPredicted,38.9892639998302,38.92019929896373,0.0035414797889052945
MEAS_R000098,MEAS_UNIT_000098,C022,20260523,1,BatchSessionPredicted,38.648431381079,38.91725581397288,-0.10325982759179084
MEAS_R000098,MEAS_UNIT_000098,C022,20260523,1,HierarchicalResidualPredicted,38.7301660944553,38.92277423766374,-0.10758882963062841
MEAS_R000101,MEAS_UNIT_000101,C022,20260523,1,SourceMemoryPredicted,38.2248777268507,38.92019929896373,-0.03565449880379713
MEAS_R000101,MEAS_UNIT_000101,C022,20260523,1,BatchSessionPredicted,38.4783226469105,38.91725581397288,-0.16860135318530442
MEAS_R000101,MEAS_UNIT_000101,C022,20260523,1,HierarchicalResidualPredicted,38.4996712971743,38.92277423766374,-0.23634073524748764
MEAS_R000109,MEAS_UNIT_000109,C014,20260523,1,SourceMemoryPredicted,38.2525130908337,38.92019929896373,-0.03423742058906533
MEAS_R000109,MEAS_UNIT_000109,C014,20260523,1,BatchSessionPredicted,38.2021062252739,38.91725581397288,-0.27470056362231027
MEAS_R000109,MEAS_UNIT_000109,C014,20260523,1,HierarchicalResidualPredicted,38.066776493004,38.92277423766374,-0.47815109984593723
MEAS_R000110,MEAS_UNIT_000110,C014,20260523,1,SourceMemoryPredicted,38.2894153009136,38.92019929896373,-0.032345159715937356
MEAS_R000110,MEAS_UNIT_000110,C014,20260523,1,BatchSessionPredicted,38.3135999116409,38.91725581397288,-0.23187402918905725
MEAS_R000110,MEAS_UNIT_000110,C014,20260523,1,HierarchicalResidualPredicted,38.0762650920493,38.92277423766374,-0.4728508708467244
MEAS_R000111,MEAS_UNIT_000111,C014,20260523,1,SourceMemoryPredicted,38.5369092265253,38.92019929896373,-0.019654237661192103
MEAS_R000111,MEAS_UNIT_000111,C014,20260523,1,BatchSessionPredicted,38.4002613334091,38.91725581397288,-0.19858597060631603
MEAS_R000111,MEAS_UNIT_000111,C014,20260523,1,HierarchicalResidualPredicted,38.0769235087973,38.92277423766374,-0.47248308635876446
MEAS_R000115,MEAS_UNIT_000115,C014,20260523,1,SourceMemoryPredicted,38.6444411204323,38.92019929896373,-0.014140248254785876
MEAS_R000115,MEAS_UNIT_000115,C014,20260523,1,BatchSessionPredicted,38.7237930880615,38.91725581397288,-0.07431217284826616
MEAS_R000115,MEAS_UNIT_000115,C014,20260523,1,HierarchicalResidualPredicted,38.6193757254701,38.92277423766374,-0.1694751337863337
MEAS_R000117,MEAS_UNIT_000117,C023,20260523,1,SourceMemoryPredicted,39.5067037096369,38.92019929896373,0.03007460381995597
MEAS_R000117,MEAS_UNIT_000117,C023,20260523,1,BatchSessionPredicted,39.1219549368132,38.91725581397288,0.0786282552710752
MEAS_R000117,MEAS_UNIT_000117,C023,20260523,1,HierarchicalResidualPredicted,39.174504176401,38.92277423766374,0.1406136264053104
MEAS_R000120,MEAS_UNIT_000120,C023,20260523,1,SourceMemoryPredicted,39.0465556845442,38.92019929896373,0.006479266254950464
MEAS_R000120,MEAS_UNIT_000120,C023,20260523,1,BatchSessionPredicted,38.9851336474638,38.91725581397288,0.026072977475017627
MEAS_R000120,MEAS_UNIT_000120,C023,20260523,1,HierarchicalResidualPredicted,38.9297322608548,38.92277423766374,0.0038866766440858696
MEAS_R000129,MEAS_UNIT_000129,C023,20260523,1,SourceMemoryPredicted,39.2953265447031,38.92019929896373,0.019235666590697836
MEAS_R000129,MEAS_UNIT_000129,C023,20260523,1,BatchSessionPredicted,39.37452137827,38.91725581397288,0.17564312449093253
MEAS_R000129,MEAS_UNIT_000129,C023,20260523,1,HierarchicalResidualPredicted,39.1647557421457,38.92277423766374,0.13516825626265833
MEAS_R000133,MEAS_UNIT_000133,C011,20260523,1,SourceMemoryPredicted,38.0429213448421,38.92019929896373,-0.044984805621337214
MEAS_R000133,MEAS_UNIT_000133,C011,20260523,1,BatchSessionPredicted,38.0871348965018,38.91725581397288,-0.3188629169441628
MEAS_R000133,MEAS_UNIT_000133,C011,20260523,1,HierarchicalResidualPredicted,38.100030126341,38.92277423766374,-0.4595759792300772
MEAS_R000140,MEAS_UNIT_000140,C004,20260523,1,SourceMemoryPredicted,38.2814406305811,38.92019929896373,-0.032754082558596735
MEAS_R000140,MEAS_UNIT_000140,C004,20260523,1,BatchSessionPredicted,37.5382720530647,38.91725581397288,-0.5296900429414046
MEAS_R000140,MEAS_UNIT_000140,C004,20260523,1,HierarchicalResidualPredicted,37.5913037551129,38.92277423766374,-0.7437450386007188
MEAS_R000144,MEAS_UNIT_000144,C004,20260523,1,SourceMemoryPredicted,37.5164223018954,38.92019929896373,-0.07198247152129833
MEAS_R000144,MEAS_UNIT_000144,C004,20260523,1,BatchSessionPredicted,37.5434050283788,38.91725581397288,-0.5277183838170426
MEAS_R000144,MEAS_UNIT_000144,C004,20260523,1,HierarchicalResidualPredicted,37.5972032206428,38.92277423766374,-0.7404496608392432
MEAS_R000151,MEAS_UNIT_000151,C028,20260523,1,SourceMemoryPredicted,40.273314477303,38.92019929896373,0.06938464940888497
MEAS_R000151,MEAS_UNIT_000151,C028,20260523,1,BatchSessionPredicted,40.2712195157865,38.91725581397288,0.5200794321772395
MEAS_R000151,MEAS_UNIT_000151,C028,20260523,1,HierarchicalResidualPredicted,40.28538713551,38.92277423766374,0.7611408556087219
MEAS_R000155,MEAS_UNIT_000155,C028,20260523,1,SourceMemoryPredicted,40.1591016568037,38.92019929896373,0.06352807737776615
MEAS_R000155,MEAS_UNIT_000155,C028,20260523,1,BatchSessionPredicted,39.9480169100867,38.91725581397288,0.3959320658738451
MEAS_R000155,MEAS_UNIT_000155,C028,20260523,1,HierarchicalResidualPredicted,39.771933833481,38.92277423766374,0.47433138371895145
MEAS_R000169,MEAS_UNIT_000169,C008,20260523,1,SourceMemoryPredicted,38.1525626188824,38.92019929896373,-0.0393626520295295
MEAS_R000169,MEAS_UNIT_000169,C008,20260523,1,BatchSessionPredicted,38.1406475045967,38.91725581397288,-0.2983078556858448
MEAS_R000169,MEAS_UNIT_000169,C008,20260523,1,HierarchicalResidualPredicted,38.1473487904651,38.92277423766374,-0.43314428424567597
MEAS_R000170,MEAS_UNIT_000170,C008,20260523,1,SourceMemoryPredicted,38.2288876350684,38.92019929896373,-0.03544887988805291
MEAS_R000170,MEAS_UNIT_000170,C008,20260523,1,BatchSessionPredicted,38.1215587591693,38.91725581397288,-0.305640152607514
MEAS_R000170,MEAS_UNIT_000170,C008,20260523,1,HierarchicalResidualPredicted,38.1483176668863,38.92277423766374,-0.43260308033561845
MEAS_R000173,MEAS_UNIT_000173,C008,20260523,1,SourceMemoryPredicted,38.4291362888433,38.92019929896373,-0.025180587240692758
MEAS_R000173,MEAS_UNIT_000173,C008,20260523,1,BatchSessionPredicted,38.2272014778502,38.91725581397288,-0.2650610698214469
MEAS_R000173,MEAS_UNIT_000173,C008,20260523,1,HierarchicalResidualPredicted,38.2433761221595,38.92277423766374,-0.37950445335663535
MEAS_R000174,MEAS_UNIT_000174,C008,20260523,1,SourceMemoryPredicted,38.2851260218173,38.92019929896373,-0.03256510413092741
MEAS_R000174,MEAS_UNIT_000174,C008,20260523,1,BatchSessionPredicted,38.3198527126854,38.91725581397288,-0.2294722268273051
MEAS_R000174,MEAS_UNIT_000174,C008,20260523,1,HierarchicalResidualPredicted,38.3340472295665,38.92277423766374,-0.32885655153519017
MEAS_R000177,MEAS_UNIT_000177,C030,20260523,1,SourceMemoryPredicted,39.7346933037702,38.92019929896373,0.041765388396940814
MEAS_R000177,MEAS_UNIT_000177,C030,20260523,1,BatchSessionPredicted,40.255271153005,38.91725581397288,0.5139534071970652
MEAS_R000177,MEAS_UNIT_000177,C030,20260523,1,HierarchicalResidualPredicted,40.0360527247694,38.92277423766374,0.6218653452831107
MEAS_R000179,MEAS_UNIT_000179,C030,20260523,1,SourceMemoryPredicted,40.2776649901638,38.92019929896373,0.06960773375116962
MEAS_R000179,MEAS_UNIT_000179,C030,20260523,1,BatchSessionPredicted,40.3022043887815,38.91725581397288,0.5319812247672016
MEAS_R000179,MEAS_UNIT_000179,C030,20260523,1,HierarchicalResidualPredicted,40.2147240006592,38.92277423766374,0.7216691912751891
MEAS_R000185,MEAS_UNIT_000185,C030,20260523,1,SourceMemoryPredicted,40.1970200216314,38.92019929896373,0.06547244434064174
MEAS_R000185,MEAS_UNIT_000185,C030,20260523,1,BatchSessionPredicted,40.2670006678906,38.91725581397288,0.5184589042301444
MEAS_R000185,MEAS_UNIT_000185,C030,20260523,1,HierarchicalResidualPredicted,39.976421200195,38.92277423766374,0.5885558193659914
MEAS_R000190,MEAS_UNIT_000190,C018,20260523,1,SourceMemoryPredicted,38.6734677504133,38.92019929896373,-0.01265182910393039
MEAS_R000190,MEAS_UNIT_000190,C018,20260523,1,BatchSessionPredicted,38.8488359892791,38.91725581397288,-0.026281165092344575
MEAS_R000190,MEAS_UNIT_000190,C018,20260523,1,HierarchicalResidualPredicted,38.7927031020688,38.92277423766374,-0.07265633225196429
MEAS_R000198,MEAS_UNIT_000198,C018,20260523,1,SourceMemoryPredicted,38.628140538347,38.92019929896373,-0.014976104796235238
MEAS_R000198,MEAS_UNIT_000198,C018,20260523,1,BatchSessionPredicted,38.7958274638719,38.91725581397288,-0.04664260000924948
MEAS_R000198,MEAS_UNIT_000198,C018,20260523,1,HierarchicalResidualPredicted,38.7875493552862,38.92277423766374,-0.07553515957107783
MEAS_R000200,MEAS_UNIT_000200,C018,20260523,1,SourceMemoryPredicted,38.4783221306859,38.92019929896373,-0.0226584498448812
MEAS_R000200,MEAS_UNIT_000200,C018,20260523,1,BatchSessionPredicted,38.7462237967827,38.91725581397288,-0.06569617358666857
MEAS_R000200,MEAS_UNIT_000200,C018,20260523,1,HierarchicalResidualPredicted,38.7817468315931,38.92277423766374,-0.07877638666898745
MEAS_R000210,MEAS_UNIT_000210,C025,20260523,1,SourceMemoryPredicted,38.9058926200143,38.92019929896373,-0.0007336137521789503
MEAS_R000210,MEAS_UNIT_000210,C025,20260523,1,BatchSessionPredicted,39.4608437413739,38.91725581397288,0.20880094513792344
MEAS_R000210,MEAS_UNIT_000210,C025,20260523,1,HierarchicalResidualPredicted,39.4258532112378,38.92277423766374,0.2810144840036017
MEAS_R000211,MEAS_UNIT_000211,C010,20260523,1,SourceMemoryPredicted,38.7417629150727,38.92019929896373,-0.009149809370451246
MEAS_R000211,MEAS_UNIT_000211,C010,20260523,1,BatchSessionPredicted,38.7148274199697,38.91725581397288,-0.07775603147167348
MEAS_R000211,MEAS_UNIT_000211,C010,20260523,1,HierarchicalResidualPredicted,38.7314755826359,38.92277423766374,-0.1068573636686015
MEAS_R000215,MEAS_UNIT_000215,C010,20260523,1,SourceMemoryPredicted,38.8008140369083,38.92019929896373,-0.006121802995714363
MEAS_R000215,MEAS_UNIT_000215,C010,20260523,1,BatchSessionPredicted,38.6983207569565,38.91725581397288,-0.08409650863184293
MEAS_R000215,MEAS_UNIT_000215,C010,20260523,1,HierarchicalResidualPredicted,38.6802194718383,38.92277423766374,-0.13548847386088475
