Configuration,RemovedModel,Delta_RMSE_C,Delta_RMSE_CI2.5_C,Delta_RMSE_CI97.5_C,Delta_MAE_C,Delta_MAE_CI2.5_C,Delta_MAE_CI97.5_C,BootstrapN
w/o A (B+C),A,0.1966301417989864,0.1502697416583809,0.2463273664378059,0.1870135483084757,0.1620034078761578,0.2127643294953049,10000
w/o B (A+C),B,0.1068853507893372,0.0628325776826314,0.1524245736606593,0.0512307881349588,0.0309161028601292,0.0729312728604286,10000
w/o C (A+B),C,0.0122908040995172,0.004903355298296,0.0200865141980716,0.0106475095915488,0.0048430416162898,0.0165976776914783,10000
