RowID,FoldID,CowKey,Source,Actual,Full_A+B+C,Without_A_B+C,Without_B_A+C,Without_C_A+B
173,4,HIST_17,core_history_280,38.1,38.07309176141304,38.2654530837483,38.11689892194436,38.097693141489394
174,2,HIST_17,core_history_280,38.1,38.07056142897882,38.18937735231459,38.11269722636808,38.12108640413834
175,5,HIST_17,core_history_280,38.3,38.2897915323878,38.62061362484147,38.30748551123239,38.33672305195901
176,1,HIST_17,core_history_280,38.3,38.29400559226124,38.75913387750366,38.29786055036747,38.33971767284174
177,4,HIST_17,core_history_280,38.1,38.1592367295278,38.580329328764485,38.11689892194436,38.23216699838007
178,4,HIST_17,core_history_280,38.1,38.17229213254144,38.7079502436894,38.11689892194436,38.25980478240195
179,2,HIST_17,core_history_280,38.1,38.10437872230685,38.12526797775725,38.12203473971684,38.17073481097104
180,1,HIST_17,core_history_280,38.1,38.10398173590873,38.11359132104731,38.09913554195081,38.15947812708459
181,3,HIST_17,core_history_280,38.7,38.20828595245844,38.41888134421045,38.33007707876736,38.08086931706292
182,3,HIST_17,core_history_280,38.7,38.20906139841658,38.35998246621747,38.33007707876736,38.08149828644658
183,3,HIST_17,core_history_280,38.2,38.571424487356886,38.34827788458647,38.61489148812533,38.59707806089642
184,3,HIST_17,core_history_280,38.2,38.57934271937836,38.30395044360043,38.61489148812533,38.60944759998805
185,1,HIST_17,core_history_280,38.7,38.65404922572488,38.2138645391682,38.69359373542194,38.67018754927138
186,5,HIST_17,core_history_280,38.7,38.655674712359904,38.29037612743634,38.705019069030826,38.67481650789728
187,4,HIST_17,core_history_280,39.0,38.94569022437288,38.296422520776325,39.00941497562582,38.90943377379631
188,2,HIST_17,core_history_280,39.0,38.90325548957416,38.24676146671763,39.00659669433753,38.847727121551
189,1,HIST_17,core_history_280,39.5,39.394545212370005,38.28417280860006,39.473181629518095,39.360635330785385
190,2,HIST_17,core_history_280,39.5,39.37754476499315,38.27946486513379,39.51467032161016,39.25860837303384
191,1,HIST_17,core_history_280,38.0,37.99769983197476,38.15825337889383,37.99977303774251,38.0449734669964
192,3,HIST_17,core_history_280,38.0,38.05319152196693,38.32940329360732,38.03897423185448,38.087846281608535
193,5,HIST_17,core_history_280,38.3,38.29435768697459,38.55347514990447,38.30748551123239,38.34623057570119
194,1,HIST_17,core_history_280,38.3,38.290663050894175,38.51959355944947,38.30379978837384,38.32539463673797
195,4,HIST_17,core_history_280,38.2,38.19735486919146,38.7792071164924,38.207699465189634,38.25849061754073
196,3,HIST_17,core_history_280,38.2,38.21060670531772,38.465843225478594,38.23004087067061,38.23944511189413
197,5,HIST_17,core_history_280,38.2,38.186722200154975,38.34610261737515,38.21635220119079,38.211998711056296
198,2,HIST_17,core_history_280,38.2,38.16507043034051,38.34208259647918,38.212838161742496,38.202071076897255
199,2,HIST_17,core_history_280,38.5,38.44659986957341,38.37528599386954,38.51326096786583,38.45217911170051
200,5,HIST_17,core_history_280,38.5,38.44781124062696,38.33377533145293,38.50625229013161,38.44846136853204
1083,2,MAY2026_57,may2026_measured_133,40.1,39.16586777012158,39.83600740662212,39.61861607853427,39.013339964453465
1084,4,MAY2026_57,may2026_measured_133,38.4,39.06423078313307,39.558908345247936,39.01254871504672,38.92709906453166
1085,1,MAY2026_57,may2026_measured_133,39.8,39.63202996753157,39.14753440834579,39.07206251481791,39.65233524470892
1086,1,MAY2026_57,may2026_measured_133,38.5,39.10695562053033,39.11440264056223,38.944069220573134,39.00353666251392
1087,1,MAY2026_57,may2026_measured_133,40.0,39.60406554014168,39.18182511416346,39.17293139219154,39.621218786749616
1088,5,MAY2026_57,may2026_measured_133,39.3,38.91914238355077,39.288334591696064,39.08907305765787,38.89279493661411
1089,4,MAY2026_57,may2026_measured_133,39.9,39.819232123947565,39.53997065662615,39.464817961861215,39.80267670615793
1090,2,MAY2026_57,may2026_measured_133,39.7,38.84963501432453,39.51518246569741,39.37711064889572,38.93284374966645
1091,1,MAY2026_57,may2026_measured_133,39.7,39.72819555764762,39.30440498574514,39.47733328661911,39.86255955396071
1092,5,MAY2026_57,may2026_measured_133,39.5,39.61524250335813,39.84039789062304,39.274509499300734,39.63870856281988
1093,3,MAY2026_57,may2026_measured_133,39.7,39.45093110896719,39.63415323522922,39.18121068017558,39.445555001571634
1094,3,MAY2026_57,may2026_measured_133,39.6,39.42288232708404,39.632248255136815,39.44186257702761,39.40129563627701
1095,5,MAY2026_57,may2026_measured_133,39.3,39.67636483150443,39.83522627435756,39.31765807697724,39.778008398636935
1096,3,MAY2026_57,may2026_measured_133,40.7,39.329462415469074,39.97755998649669,39.29731168464857,39.30266849408453
1097,2,MAY2026_57,may2026_measured_133,39.2,38.83983471639484,39.62717549107724,39.33524150148716,38.87528590481543
1098,4,MAY2026_57,may2026_measured_133,39.4,39.707338300775966,40.29189171948312,39.81014136062318,39.7526261516714
1099,3,MAY2026_57,may2026_measured_133,40.6,39.3319335549542,39.81227583002386,39.75378383225966,39.30776797644383
1100,4,MAY2026_57,may2026_measured_133,38.3,39.82542243985994,40.419516543422446,39.41470148801146,39.83354269522492
1101,2,MAY2026_57,may2026_measured_133,40.2,38.85912969721327,39.66785284575982,39.85779088202205,38.93623709711589
