FoldID,N,MaxAbsDiff_SHAP_to_unclipped_stack_C,MaxAbsDiff_Unclipped_to_saved_prediction_C,ClippedRows
1,112,7.105427357601002e-15,1.4210854715202004e-14,0
2,108,1.4210854715202004e-14,1.4210854715202004e-14,0
3,104,1.4210854715202004e-14,1.4210854715202004e-14,0
4,96,1.4210854715202004e-14,1.4210854715202004e-14,0
5,83,1.4210854715202004e-14,1.4210854715202004e-14,0
