FoldID,OuterTrainN,OuterTestN,InnerR2,InnerMAE,SelectedLambda,FrozenSelectedLambda,SelectedLambdaAbsDifference,InnerRMSE,FrozenInnerRMSE,InnerRMSEAbsDifference,Intercept,FrozenIntercept,InterceptAbsDifference,WeightSourceMemory,FrozenWeightSourceMemory,WeightSourceMemoryAbsDifference,WeightBatchSession,FrozenWeightBatchSession,WeightBatchSessionAbsDifference,WeightHierarchicalResidual,FrozenWeightHierarchicalResidual,WeightHierarchicalResidualAbsDifference
1,391,112,0.8370804295298211,0.14221313448404488,1.0,1.0,0.0,0.2681070612096397,0.2681070612096397,0.0,-2.8792538077395875,-2.8792538077395875,0.0,0.1965184303408023,0.1965184303408023,0.0,0.28272019248106517,0.2827201924810651,5.551115123125783e-17,0.5950016406386567,0.5950016406386567,0.0
2,395,108,0.8555753792677793,0.13470507971388834,1.0,1.0,0.0,0.2501162645912214,0.2501162645912214,0.0,-2.7156897778913844,-2.7156897778913844,0.0,0.2361247676453786,0.2361247676453786,0.0,0.22984399262350053,0.2298439926235005,2.7755575615628914e-17,0.6039009099804389,0.6039009099804389,0.0
3,399,104,0.8591401817861393,0.13133706297202902,10.0,10.0,0.0,0.2447971349516813,0.2447971349516813,0.0,-1.0390608142770361,-1.039060814277036,2.220446049250313e-16,0.30581370005529607,0.305813700055296,5.551115123125783e-17,0.324201976742188,0.324201976742188,0.0,0.3967550641100388,0.3967550641100388,0.0
4,407,96,0.8685098580382714,0.13266973452843947,1.0,1.0,0.0,0.23987957722251055,0.2398795772225105,5.551115123125783e-17,-3.420028854859993,-3.420028854859993,0.0,0.2551116167451255,0.2551116167451255,0.0,0.2552105831564404,0.2552105831564404,0.0,0.5778831830320996,0.5778831830320996,0.0
5,420,83,0.8538997421153325,0.13626792216979905,1.0,1.0,0.0,0.25716495477045553,0.2571649547704555,5.551115123125783e-17,-2.6175300749891903,-2.6175300749891903,0.0,0.19426050485344604,0.194260504853446,2.7755575615628914e-17,0.25509484150097705,0.255094841500977,5.551115123125783e-17,0.6180348172965751,0.6180348172965751,0.0
