figure,width_mm,height_mm,layout
Fig12,190.0,160.0,2 x 2
Fig13,190.0,125.0,1 x 3
Fig14,190.0,179.3,2 x 2
Fig15,190.0,210.0,vertical
Fig16,190.0,71.9,single panel
Fig17,90.0,100.0,single-column panel
Fig18,190.0,205.2,vertical
Fig19,190.0,70.0,1 x 3
