TargetRowID,Ear,Air,Time,CowID_raw
1,-0.1757071027924161,-0.18119793955963281,0.061466211543616936,-0.0681291750567651
2,-0.1712775582194741,0.1752902355382589,0.010147770592159471,-0.04277616152044139
3,-0.1203308814832103,-0.08954127760009219,-0.10158301381164372,-0.12455339998655883
4,0.12280342029591769,-0.21044125482628334,-0.23414182840276612,-0.11129044923996646
5,0.031227912139366744,-0.004562053406901384,0.05748612045278158,-0.04965706529295133
6,-0.09754952569951668,-0.07776679184903183,0.23724071485531795,-0.07609869672036614
7,-0.2290715970441906,0.08454598518724289,0.30270266935980794,-0.06731586240085954
8,-0.29482783629327497,-0.1070217157614586,0.19508894098614127,-0.07778518616990837
9,0.02240742321805082,0.0801197831562502,0.09013198358163521,-0.08531330211043198
15,0.05952927306444995,0.04153489087105081,0.17183151652123263,-0.00020425387193393797
16,0.30280039390391755,0.158621851930351,0.18384234269483457,0.014485314575699942
17,0.005790760207500398,0.004133998663283123,0.11663068280341862,-0.027282458722498976
18,-0.025064556279665716,0.10271428213311809,0.4287489911790173,-0.022956459834263754
19,0.07190633780944111,0.10379681427698985,0.16629073784794102,0.05426056459272388
20,0.06846137111615924,0.116195713255174,0.17983817440789154,0.009572572129475414
21,0.12334380619795127,0.07443568756768335,-0.009459458836033718,0.04325124381920157
22,0.12257267892067365,0.0741013108114939,-0.009138266981709126,0.04444806936354221
23,-0.08205693170790754,0.02514523363127511,0.20007559296650906,0.02844788225662557
24,0.11599000109691815,-0.04468265431008215,-0.22697610237638344,-0.04921729150644912
25,-0.10101933807965106,0.04852927772208322,0.11581940596703313,0.013470044050132891
26,-0.08715425676862527,0.049895133362706914,0.12737173460422704,0.00035714736389162206
27,0.059922477564268085,-0.1740080341421694,-0.11112124964045181,-0.030196046754049043
28,0.060227305830650835,-0.17251912688220014,-0.1111212496404666,-0.0313544238222813
29,0.04555652906215119,-0.06607312633804932,0.024817485987667226,0.0024203607561320943
30,0.03045384676416714,-0.06893407238186515,0.022686687849632278,0.000637343930865935
31,-0.1417306596509314,-0.0021376572833329277,0.0007726497180519468,-0.05744436865598186
32,0.12102732071625866,0.0394269685893569,0.033296889216040654,-0.008501688646558609
33,0.09570451532747566,0.048417345515359145,0.18038851434420936,-0.040410953639343106
34,0.09461795144710018,0.06213620709326702,0.17821771661938196,-0.04534083770795109
35,-0.3432784865476487,0.004397313583916446,0.19844533015494883,-0.03341631274841579
36,-0.34303850820924,-0.0011843256321585713,0.19841406001479098,-0.0438333398332927
37,-0.029905122073866267,-0.05353223872076699,-0.14864908912548397,-0.03565691712568567
38,-0.030939537812184184,-0.055008522793464465,-0.15903709714493292,-0.02651862656121532
39,-0.39272371099817543,-0.11263908391580853,-0.022727089218892736,0.054521327729675655
40,-0.2025668074341643,-0.20906893056918463,-0.1020269748226011,0.08216626099334925
41,0.2402196112203434,0.12953625277773995,0.2852272552257252,0.16910157019309105
42,0.114322647751892,0.2053550273210618,0.7264989837685576,0.14474541413699052
43,0.11556372690396621,0.08973801946569951,0.4725114475452165,0.14611195756041856
44,0.055095993987400504,0.028108645198282524,0.19464134856253068,0.14135967599968188
45,0.14378604497706546,0.011287041871716134,-0.04424993364813249,0.13649011542705064
46,-0.18287252160199152,-0.044646327837874956,-0.0052473686534420735,0.08071314759010839
47,0.5626612607287587,0.1493775976878915,0.11525623263867384,0.16857233414977438
48,0.1622995912671084,0.12721987555347405,0.22320886298912512,0.08694276926609135
49,0.14890641205573138,0.15764827459248326,0.05769062377046552,0.15109605837841517
50,0.12274559421642492,0.24266680861055848,0.3631374337158082,0.18390530573480926
51,0.10024879795556646,0.05795374268908304,0.2011023002717328,0.16383869301311668
52,0.09603324347088282,0.07312716289446483,0.18652493912283258,0.14800853931271557
53,0.5645880203521585,-0.0017781895707091877,-2.1342629392388325e-05,0.14011097696214314
54,0.5500434020456417,-0.001516599112507085,4.934372706581295e-06,0.16809340531345876
55,0.23239226937043317,0.09237159938126696,0.1556260805337685,0.12791542846613702
56,0.11531977976997727,-0.0035917193545422776,6.585759209206306e-05,0.12238482544527447
57,0.6399446754018243,0.2644888236138083,0.6163307891646573,0.20295993105260912
58,0.6364114065986417,0.2643481105393928,0.614408483513707,0.18390567150515774
59,0.24044859149969314,0.13092600194925968,0.54979895926759,0.10652387708735785
60,0.23053645640285048,0.12713569988801687,0.5492902423394496,0.10693509448668277
61,0.0772379188488923,0.2533369482133079,0.798668136038024,0.1778424250409755
62,0.0655039948010246,0.2333445002319744,0.8287277903255597,0.1817382218550409
63,0.34809381340342266,0.12367514443337471,0.2845265444280252,0.1749004556183748
64,0.3549078840377847,0.12691215417365123,0.2852644269470848,0.15732515914108564
65,-0.17385831479106764,0.010915790604880002,0.0197314434560667,-0.06733378774458505
66,-0.23952335525753315,-0.1545087450162666,-0.08629316878736877,-0.12179764808543325
67,-0.17263335373624855,-0.06558532123266521,-0.2261011620818003,-0.13301910485078375
68,-0.10586568981591782,-0.017627249551567324,0.026077238809013636,-0.09995559809023291
69,-0.0304060868844059,-0.040767174713224115,-0.16664257794367404,-0.06623912302279085
70,-0.38516760591738475,-0.11957073329933485,-0.14385972664581695,-0.04779725525296641
71,-0.005911860266958037,4.1832450458891e-05,-0.08174391864514044,-0.06535793186195824
72,0.00869267765928268,0.011211033992167899,-0.08152235616093328,-0.05585911355031629
73,0.0007212477189823355,-0.1601904015363183,-0.41615180617609876,-0.03818679148836601
74,-0.3012392922077094,0.015801001266057213,0.11294742260669169,-0.038304696322342714
75,0.17110993297903224,0.07349217334499987,0.1540883609793499,-0.05027937819538408
76,0.1695154691688163,0.0741497238290491,0.15408836097938128,-0.04684341280935259
77,0.18636293772031642,0.0006897352509529498,-8.130525463556637e-06,-0.029134956249999178
