TargetRowID,TechnicalBaselinePrediction_C,FullPipelinePrediction_C,OfficialOOFPrediction_C,ReconstructedPrediction_C,AdditivityDifference_C,ConditionalVsOfficialDifference_C
1,38.0848651244826,38.28416427221576,38.28416427221576,38.2841642722158,3.5527136788005016e-14,0.0
2,38.4474887167,38.203166793753695,38.203166793753695,38.2031667937537,7.105427357601002e-15,0.0
3,38.0793917575967,38.19038552558712,38.19038552558712,38.19038552558709,-2.8421709430404014e-14,0.0
4,38.1844032101023,38.1890721012592,38.1890721012592,38.18907210125921,7.105427357601002e-15,0.0
5,38.2068334961924,38.23929410248645,38.23929410248645,38.2392941024865,4.973799150320701e-14,0.0
6,38.0897292369962,38.332940183822224,38.332940183822224,38.3329401838222,-2.8421709430404014e-14,0.0
7,38.0867340785506,38.21965696754368,38.21965696754368,38.21965696754369,1.4210854715202004e-14,0.0
8,38.4687034798488,38.20378301792219,38.20378301792219,38.2037830179222,7.105427357601002e-15,0.0
9,38.438202371641,38.24756507879125,38.24756507879125,38.2475650787912,-4.973799150320701e-14,0.0
10,38.4638505603371,38.53230713981594,38.53230713981594,38.5323071398159,-4.263256414560601e-14,0.0
11,38.0701403455065,38.55884951596989,38.55884951596989,38.55884951596989,0.0,0.0
12,38.0893201938465,38.48979091960168,38.48979091960168,38.489790919601695,1.4210854715202004e-14,0.0
13,38.1902819590581,38.50923317470524,38.50923317470524,38.5092331747052,-4.263256414560601e-14,0.0
14,38.1105412690622,38.46813750456423,38.46813750456423,38.46813750456421,-2.8421709430404014e-14,0.0
15,38.0883964465247,38.4743731156197,38.4743731156197,38.4743731156197,0.0,0.0
16,38.1139000271058,38.46088448809713,38.46088448809713,38.4608844880971,-2.8421709430404014e-14,0.0
17,38.0296404160924,38.49375846830409,38.49375846830409,38.4937584683041,1.4210854715202004e-14,0.0
18,38.2077061231821,38.51672752346851,38.51672752346851,38.5167275234685,-1.4210854715202004e-14,0.0
19,38.4411400793465,38.574467859589305,38.574467859589305,38.574467859589305,0.0,0.0
20,38.1235553156148,38.74459719497534,38.74459719497534,38.7445971949753,-4.263256414560601e-14,0.0
21,38.2323691295468,38.63568394799033,38.63568394799033,38.63568394799029,-4.263256414560601e-14,0.0
22,38.4647023015824,39.13096977848674,39.13096977848674,39.1309697784867,-3.5527136788005016e-14,0.0
23,38.1944939293061,39.06691837786867,39.06691837786867,39.06691837786871,4.263256414560601e-14,0.0
24,38.0763464774823,39.1446313610854,39.1446313610854,39.1446313610854,-7.105427357601002e-15,0.0
25,38.1022434178748,39.05013981223831,39.05013981223831,39.05013981223831,0.0,0.0
26,38.1940580907205,38.97382488358415,38.97382488358415,38.9738248835842,4.973799150320701e-14,0.0
27,38.1017299292772,39.012800075942096,39.012800075942096,39.012800075942096,0.0,0.0
28,38.3999360318864,38.95127278281427,38.95127278281427,38.95127278281429,2.131628207280301e-14,0.0
29,38.1437268453737,38.96493319853481,38.96493319853481,38.9649331985348,-7.105427357601002e-15,0.0
30,38.4772963782576,39.04945387510666,39.04945387510666,39.0494538751067,4.263256414560601e-14,0.0
31,38.4319195831295,39.221920073099845,39.221920073099845,39.2219200730998,-4.263256414560601e-14,0.0
32,38.2267630821339,39.30717626107811,39.30717626107811,39.3071762610781,-1.4210854715202004e-14,0.0
33,38.5197219462651,39.16224619353821,39.16224619353821,39.16224619353821,0.0,0.0
34,38.1792917785224,39.31119063570729,39.31119063570729,39.3111906357073,7.105427357601002e-15,0.0
35,38.0907728195535,38.39980015193501,38.39980015193501,38.39980015193501,-7.105427357601002e-15,0.0
36,38.1030969603666,38.36201141642152,38.36201141642152,38.3620114164215,-1.4210854715202004e-14,0.0
37,38.4633380051231,38.306016222403294,38.306016222403294,38.3060162224033,7.105427357601002e-15,0.0
38,38.4698237050405,38.26787787227097,38.26787787227097,38.267877872271,2.8421709430404014e-14,0.0
39,38.1023366301434,38.28979243966296,38.28979243966296,38.289792439663,3.5527136788005016e-14,0.0
40,38.348377641904,38.27305987053797,38.27305987053797,38.27305987053799,2.131628207280301e-14,0.0
41,38.1271762245015,38.27072096624463,38.27072096624463,38.2707209662446,-3.5527136788005016e-14,0.0
42,38.1771780054065,38.280337880858205,38.280337880858205,38.2803378808582,-7.105427357601002e-15,0.0
43,38.1017817106226,38.42805913028835,38.42805913028835,38.4280591302883,-4.973799150320701e-14,0.0
44,38.2204883672667,38.43534321650056,38.43534321650056,38.43534321650059,2.8421709430404014e-14,0.0
45,38.1702175613942,38.56276610811963,38.56276610811963,38.5627661081196,-2.8421709430404014e-14,0.0
46,38.4654026640472,38.345999580330215,38.345999580330215,38.345999580330194,-2.131628207280301e-14,0.0
47,38.4535746731955,38.3186189388211,38.3186189388211,38.31861893882109,-1.4210854715202004e-14,0.0
48,38.0997306973178,38.45744118965826,38.45744118965826,38.457441189658304,4.263256414560601e-14,0.0
49,38.0452185120768,38.32583044181863,38.32583044181863,38.3258304418186,-2.8421709430404014e-14,0.0
50,38.1209635639226,38.16337994336986,38.16337994336986,38.16337994336991,4.973799150320701e-14,0.0
51,38.0908536669428,38.21336837808966,38.21336837808966,38.2133683780897,4.263256414560601e-14,0.0
52,38.1886130938869,38.172612603332055,38.172612603332055,38.1726126033321,4.263256414560601e-14,0.0
53,38.3900342337846,38.19855093859638,38.19855093859638,38.198550938596405,2.8421709430404014e-14,0.0
54,38.1305622570152,38.20459339238616,38.20459339238616,38.2045933923862,4.263256414560601e-14,0.0
55,38.4846499553036,38.17875770373334,38.17875770373334,38.1787577037333,-3.5527136788005016e-14,0.0
56,38.5196987687934,38.17825164593397,38.17825164593397,38.17825164593399,2.131628207280301e-14,0.0
57,38.4513389814063,38.370069073889056,38.370069073889056,38.3700690738891,4.263256414560601e-14,0.0
58,38.4537358899303,38.26085083510176,38.26085083510176,38.2608508351018,3.5527136788005016e-14,0.0
59,38.1092507898175,38.25241565769213,38.25241565769213,38.2524156576921,-2.8421709430404014e-14,0.0
60,38.0811027659543,38.19551840281464,38.19551840281464,38.19551840281459,-4.973799150320701e-14,0.0
61,38.1105420306569,38.93581047896491,38.93581047896491,38.9358104789649,-7.105427357601002e-15,0.0
62,38.1286039696845,38.87554600714214,38.87554600714214,38.8755460071421,-4.263256414560601e-14,0.0
63,38.1233401078801,39.919430514499815,39.919430514499815,39.9194305144998,-1.4210854715202004e-14,0.0
64,38.4744445698183,38.66638088017872,38.66638088017872,38.6663808801787,-2.131628207280301e-14,0.0
65,38.0766496464094,38.69978099644637,38.69978099644637,38.6997809964464,2.8421709430404014e-14,0.0
66,38.4608238819035,38.67149809482635,38.67149809482635,38.67149809482631,-4.263256414560601e-14,0.0
67,38.1151309097099,38.69323931396333,38.69323931396333,38.693239313963296,-3.5527136788005016e-14,0.0
68,38.4699255392058,38.80733756477122,38.80733756477122,38.8073375647712,-1.4210854715202004e-14,0.0
69,38.2833321813053,38.73774061794429,38.73774061794429,38.7377406179443,7.105427357601002e-15,0.0
70,38.0395284360951,38.95095026443894,38.95095026443894,38.950950264438895,-4.263256414560601e-14,0.0
71,38.5221878248941,38.99044776009627,38.99044776009627,38.990447760096295,2.8421709430404014e-14,0.0
72,38.4303498550259,38.98416579854637,38.98416579854637,38.9841657985464,2.8421709430404014e-14,0.0
73,38.4757648371394,38.63323171753824,38.63323171753824,38.6332317175382,-3.5527136788005016e-14,0.0
74,38.1326797263972,38.6388147024368,38.6388147024368,38.6388147024368,7.105427357601002e-15,0.0
75,38.1161090812865,38.58485454538234,38.58485454538234,38.58485454538231,-3.5527136788005016e-14,0.0
76,38.0931190436812,38.7595483230013,38.7595483230013,38.7595483230013,7.105427357601002e-15,0.0
77,38.2463765623645,38.763540433481225,38.763540433481225,38.7635404334812,-2.131628207280301e-14,0.0
78,38.0812987471777,38.67392221962339,38.67392221962339,38.6739222196234,7.105427357601002e-15,0.0
79,38.4732918895519,38.734075779691146,38.734075779691146,38.7340757796911,-4.263256414560601e-14,0.0
80,38.1925987875979,38.6557088664675,38.6557088664675,38.65570886646751,7.105427357601002e-15,0.0
81,38.0896076287446,38.6344145942498,38.6344145942498,38.634414594249805,7.105427357601002e-15,0.0
82,38.4612032200604,38.56706193054092,38.56706193054092,38.567061930540895,-2.8421709430404014e-14,0.0
83,38.5171838213293,38.55843806382964,38.55843806382964,38.5584380638296,-4.263256414560601e-14,0.0
84,38.144456284633,38.50469413472642,38.50469413472642,38.50469413472641,-1.4210854715202004e-14,0.0
85,38.0685818645477,38.44785529455858,38.44785529455858,38.447855294558615,3.5527136788005016e-14,0.0
