"FeatureGroup","MeanAbsSHAP_C","MeanSignedSHAP_C","MedianAbsSHAP_C","P90AbsSHAP_C","Rank_by_MeanAbsSHAP"
"Cow_identity",0.429459212988297,0.429459212988297,0.416080989486267,0.587147073300147,1
"Ambient_temperature",0.216515893098794,0.216515893098794,0.256673319496377,0.330368452996428,2
"Ear_temperature",0.0898199105520065,-0.0746052208383128,0.0667891701639422,0.167138547587543,3
"Time_diurnal",0.048206845848121,0.0110657221161845,0.0233770376111853,0.0929562279660231,4
