"FoldID","Source","N","R2","RMSE","MAE","Bias"
1,"ALL",127,0.842732090357121,0.308463558232028,0.187955186857627,0.033610142663513
1,"S01",127,0.842732090357121,0.308463558232028,0.187955186857627,0.033610142663513
2,"ALL",121,0.781458876842497,0.358244833163344,0.188079588304433,-0.0172223078160757
2,"S01",121,0.781458876842497,0.358244833163344,0.188079588304433,-0.0172223078160757
3,"ALL",97,0.769222124345665,0.332451036768333,0.226983223453844,-0.0793383531022967
3,"S01",97,0.769222124345665,0.332451036768333,0.226983223453844,-0.0793383531022967
4,"ALL",93,0.828848091726485,0.31927977165575,0.211983768661628,-0.0568885954179373
4,"S01",93,0.828848091726485,0.31927977165575,0.211983768661628,-0.0568885954179373
5,"ALL",82,0.881306782752825,0.271400924187238,0.162766508521418,0.0569978928812168
5,"S01",82,0.881306782752825,0.271400924187238,0.162766508521418,0.0569978928812168
