"FoldID","Model","Source","N","R2","RMSE","MAE","Bias"
1,"StrictHierarchicalEBResidualXGB","ALL",127,0.809717563884529,0.339299452065405,0.196927266894992,0.040714100893715
1,"StrictHierarchicalEBResidualXGB","S01",127,0.809717563884529,0.339299452065405,0.196927266894992,0.040714100893715
2,"StrictHierarchicalEBResidualXGB","ALL",121,0.823760682775105,0.321710140903106,0.161267302941685,-0.0263253583993335
2,"StrictHierarchicalEBResidualXGB","S01",121,0.823760682775105,0.321710140903106,0.161267302941685,-0.0263253583993335
3,"StrictHierarchicalEBResidualXGB","ALL",97,0.794699549974843,0.313563538479976,0.206014316409428,-0.0610978928200351
3,"StrictHierarchicalEBResidualXGB","S01",97,0.794699549974843,0.313563538479976,0.206014316409428,-0.0610978928200351
4,"StrictHierarchicalEBResidualXGB","ALL",93,0.840485532478113,0.308234020113341,0.190153695023089,-0.05636495118195
4,"StrictHierarchicalEBResidualXGB","S01",93,0.840485532478113,0.308234020113341,0.190153695023089,-0.05636495118195
5,"StrictHierarchicalEBResidualXGB","ALL",82,0.905406309859083,0.242286633292913,0.128839086313548,0.0525243145916799
5,"StrictHierarchicalEBResidualXGB","S01",82,0.905406309859083,0.242286633292913,0.128839086313548,0.0525243145916799
