"Scope","Source","N","CowCount","R2","RMSE","MAE","Bias","ErrorSD"
"ALL","ALL",520,30,0.821995250590965,0.321816524449444,0.195589722644357,-0.0117846991077119,0.321910356432806
"SOURCE","S01",520,30,0.821995250590965,0.321816524449444,0.195589722644357,-0.0117846991077119,0.321910356432806
