"FoldID","Source","SelectionRegime","ChosenModel","InnerOOF_RMSE","InnerOOF_N","eb_exact","eb_medium","eb_coarse","global_exact","global_medium","global_coarse","may_session","may_session_hour","tight_session","ridge","xgb_residual","direct_xgb"
1,"S01","stable_cool","may_session_hour+eb_exact+direct_xgb",0.309635605012925,219,0,0,0,0,0,0,0,0.8,0,0,0,0.2
1,"S01","stable_hot","may_session+tight_session+direct_xgb",0.364591901256588,174,0,0,0,0,0,0,0.3,0,0.45,0,0,0.25
2,"S01","stable_cool","may_session_hour+eb_exact+direct_xgb",0.279085648491147,219,0,0,0,0,0,0,0,0.8,0,0,0,0.2
2,"S01","stable_hot","tight_session+may_session+may_session_hour",0.332120078687704,180,0,0,0,0,0,0,0,0.0499999999999999,0.95,0,0,0
3,"S01","stable_cool","may_session_hour+direct_xgb+tight_session",0.288770724748781,238,0,0,0,0,0,0,0,0.7,0.25,0,0,0.05
3,"S01","stable_hot","tight_session+may_session+direct_xgb",0.325724457734747,185,0,0,0,0,0,0,0,0,0.85,0,0,0.15
4,"S01","stable_cool","may_session_hour+direct_xgb+eb_exact",0.326132682621985,239,0.0499999999999999,0,0,0,0,0,0,0.65,0,0,0,0.3
4,"S01","stable_hot","tight_session+may_session+may_session_hour",0.305785570628503,188,0,0,0,0,0,0,0.1,0.0499999999999999,0.85,0,0,0
5,"S01","stable_cool","may_session_hour+direct_xgb+tight_session",0.317996464288354,245,0,0,0,0,0,0,0,0.65,0.3,0,0,0.05
5,"S01","stable_hot","tight_session",0.295255866070005,193,0,0,0,0,0,0,0,0,1,0,0,0
