FoldID,SelectedLambda,InnerRMSE,Intercept,WeightA,WeightB
1,1.0,0.28005524065577825,-1.1380953605393882,0.5518874336586477,0.4778993767809011
2,1.0,0.2636047008831465,-0.21464500621019786,0.5971230616111481,0.40864312534289354
3,10.0,0.2546237490248875,0.5956597585947176,0.5011274098972963,0.48368059605130875
4,1.0,0.25182240250011,-1.5630625812384302,0.6225840312921747,0.4180061209665514
5,1.0,0.27158539040420543,-0.44942327124722553,0.5873912813845045,0.4245313947881517
