Configuration,RemovedModel,Delta_RMSE_C,Delta_RMSE_CI2.5_C,Delta_RMSE_CI97.5_C,Delta_MAE_C,Delta_MAE_CI2.5_C,Delta_MAE_CI97.5_C,BootstrapN
w/o A (B+C),A,0.19663014179898652,0.15026974165838106,0.2463273664378059,0.1870135483084759,0.1620034078761579,0.2127643294953049,10000
w/o B (A+C),B,0.1068853507893372,0.06283257768263142,0.15242457366065937,0.051230788134958904,0.03091610286012931,0.0729312728604288,10000
w/o C (A+B),C,0.012290804099517272,0.0049033552982961385,0.02008651419807173,0.010647509591548865,0.004843041616290036,0.016597677691478595,10000
