Method,FoldID,SelectedLambda,InnerRMSE,Beta_0,Beta_1,Beta_2
w/o thermal-state memory/retrieval,1,0.1,0.45963929427888195,-1.2799255088214165,-0.4993449227114356,1.5322417662076002
w/o thermal-state memory/retrieval,2,0.1,0.457185428765112,-1.1118368559416438,-0.37770216862614825,1.406108730896625
w/o thermal-state memory/retrieval,3,0.1,0.4391644964684364,-2.4148815458444735,-0.34055428446191854,1.403009628442495
w/o thermal-state memory/retrieval,4,0.1,0.4266513312810153,-5.171332336694964,-0.29491519912515324,1.4286273496011512
w/o thermal-state memory/retrieval,5,0.1,0.46181867389722026,-1.3356116117652233,-0.4967385955699684,1.5313540153181884
