Method,FoldID,SelectedLambda,InnerRMSE,Beta_0,Beta_1,Beta_2
w/o individual/session calibration,1,1.0,0.36055436399289054,-0.5561071142581689,0.4768403315776379,0.5374560989089454
w/o individual/session calibration,2,1.0,0.36488301570352305,-0.8149031894134952,0.500215441266955,0.521241669005947
w/o individual/session calibration,3,10.0,0.35722231736210136,0.994092122901911,0.4746906822679611,0.49986821234173984
w/o individual/session calibration,4,1.0,0.3550362746814154,-0.8469012597002824,0.5018044308967371,0.5203535554236585
w/o individual/session calibration,5,1.0,0.37046813066489903,-0.5917408395458583,0.45294508116927934,0.5625243658382383
