FoldID,OuterTrainN,OuterTestN,SelectedLambda,InnerRMSE,InnerR2,InnerMAE,Intercept,WeightSourceMemory,WeightBatchSession,WeightHierarchicalResidual
1,398,122,1.0,0.30786931476596896,0.8415934848183161,0.17101515650526003,-1.5695137593720574,0.11513260977517348,0.31723444075032603,0.6076783741009422
2,398,122,1.0,0.28725033265282196,0.8540032832999324,0.17318938462718123,-1.012078487809049,0.1739125017375045,0.3832543570897542,0.4687572950060712
3,423,97,1.0,0.2845073826798838,0.8565819521402303,0.15672511829865238,-0.9716796801367309,0.09971860351288342,0.45152057013183367,0.4731819555890979
4,426,94,1.0,0.29877643097014434,0.8456499589768505,0.16693855922508763,-1.348575035110116,0.11294946035923203,0.3065528521401575,0.6153539275983348
5,435,85,10.0,0.29948684731108227,0.8509444608915776,0.17364837071851716,-1.1696578572300496,0.2127407022362604,0.356522615202266,0.4606751502324187
