table,field
th_shrc_ablation_cow_cluster_bootstrap.csv,Delta_RMSE_CI97.5_C
th_shrc_ablation_cow_cluster_bootstrap.csv,Delta_MAE_C
th_shrc_ablation_cow_cluster_bootstrap.csv,Delta_MAE_CI2.5_C
th_shrc_ablation_cow_cluster_bootstrap.csv,Delta_MAE_CI97.5_C
th_shrc_ablation_cow_cluster_bootstrap.csv,BootstrapN
th_shrc_ablation_cow_cluster_bootstrap.csv,ResamplingUnit
th_shrc_ablation_metrics.csv,Display
th_shrc_ablation_metrics.csv,Configuration
th_shrc_ablation_metrics.csv,Method
th_shrc_ablation_metrics.csv,N
th_shrc_ablation_metrics.csv,R2
th_shrc_ablation_metrics.csv,RMSE_C
th_shrc_ablation_metrics.csv,MAE_C
th_shrc_ablation_metrics.csv,Bias_C
th_shrc_ablation_metrics.csv,MedianAE_C
th_shrc_ablation_metrics.csv,P95_AE_C
th_shrc_ablation_metrics.csv,Within_0_2C
th_shrc_ablation_metrics.csv,Within_0_3C
th_shrc_ablation_metrics.csv,Within_0_5C
th_shrc_ablation_metrics.csv,Delta_R2_vs_full
th_shrc_ablation_metrics.csv,Delta_RMSE_vs_full_C
th_shrc_ablation_metrics.csv,Delta_MAE_vs_full_C
th_shrc_ablation_metrics.csv,RemovedModel
th_shrc_ablation_metrics.csv,ModelDefinition
th_shrc_ablation_oof_predictions.csv,RecordID
th_shrc_ablation_oof_predictions.csv,MeasurementUnitID
th_shrc_ablation_oof_predictions.csv,RowID
th_shrc_ablation_oof_predictions.csv,CowKey
th_shrc_ablation_oof_predictions.csv,Source
th_shrc_ablation_oof_predictions.csv,FoldID
th_shrc_ablation_oof_predictions.csv,Actual_C
th_shrc_ablation_oof_predictions.csv,Predicted_Full_ABC_C
th_shrc_ablation_oof_predictions.csv,Predicted_Without_C_AB_C
th_shrc_ablation_oof_predictions.csv,Predicted_Without_B_AC_C
th_shrc_ablation_oof_predictions.csv,Predicted_Without_A_BC_C
th_shrc_conditional_shap_additivity_check.csv,RecordID
th_shrc_conditional_shap_additivity_check.csv,RowID
th_shrc_conditional_shap_additivity_check.csv,Seed
th_shrc_conditional_shap_additivity_check.csv,TechnicalBaselinePrediction_C
th_shrc_conditional_shap_additivity_check.csv,ConditionalFullPipelinePrediction_C
th_shrc_conditional_shap_additivity_check.csv,OfficialOOFPrediction_C
th_shrc_conditional_shap_additivity_check.csv,ReconstructedPrediction_C
th_shrc_conditional_shap_additivity_check.csv,AdditivityDifference_C
th_shrc_conditional_shap_additivity_check.csv,ReplayAnchorCorrection_C
th_shrc_conditional_shap_five_seed_long.csv,Seed
th_shrc_conditional_shap_five_seed_long.csv,RecordID
th_shrc_conditional_shap_five_seed_long.csv,RowID
th_shrc_conditional_shap_five_seed_long.csv,CowKey
th_shrc_conditional_shap_five_seed_long.csv,Ear_C
th_shrc_conditional_shap_five_seed_long.csv,Air_C
th_shrc_conditional_shap_five_seed_long.csv,Time_hour
th_shrc_conditional_shap_five_seed_long.csv,EarAirGap_C
th_shrc_conditional_shap_five_seed_long.csv,SHAP_Ear_temperature_C
th_shrc_conditional_shap_five_seed_long.csv,SHAP_Ambient_temperature_C
th_shrc_conditional_shap_five_seed_long.csv,SHAP_Time_diurnal_C
th_shrc_conditional_shap_five_seed_long.csv,SHAP_Cow_identity_C
th_shrc_conditional_shap_five_seed_long.csv,TechnicalBaselinePrediction_C
th_shrc_conditional_shap_five_seed_long.csv,ConditionalFullPipelinePrediction_C
th_shrc_conditional_shap_five_seed_long.csv,ReconstructedPrediction_C
th_shrc_conditional_shap_five_seed_long.csv,AdditivityDifference_C
th_shrc_conditional_shap_five_seed_long.csv,OfficialOOFPrediction_C
th_shrc_conditional_shap_five_seed_long.csv,ConditionalVsOfficialDifference_C
th_shrc_conditional_shap_five_seed_long.csv,RawTechnicalBaselinePrediction_C
th_shrc_conditional_shap_five_seed_long.csv,RawFullPipelinePrediction_C
th_shrc_conditional_shap_five_seed_long.csv,ReplayAnchorCorrection_C
th_shrc_conditional_shap_median_seed_selection.csv,SelectedSeed
th_shrc_conditional_shap_median_seed_selection.csv,RecordID
th_shrc_conditional_shap_median_seed_selection.csv,MedianSeedPredicted_C
th_shrc_conditional_shap_median_seed_selection.csv,PredictionRank
th_shrc_conditional_shap_median_seed_selection.csv,EnsembleWeight
th_shrc_cow_bootstrap_metrics.csv,BootstrapID
th_shrc_cow_bootstrap_metrics.csv,N
th_shrc_cow_bootstrap_metrics.csv,R2
th_shrc_cow_bootstrap_metrics.csv,RMSE
th_shrc_cow_bootstrap_metrics.csv,MAE
th_shrc_cow_bootstrap_metrics.csv,Bias
th_shrc_cow_permutation_r2.csv,PermutationID
th_shrc_cow_permutation_r2.csv,R2
th_shrc_five_seed_branch_oof_predictions.csv,Seed
th_shrc_five_seed_branch_oof_predictions.csv,RecordID
th_shrc_five_seed_branch_oof_predictions.csv,MeasurementUnitID
th_shrc_five_seed_branch_oof_predictions.csv,RowID
th_shrc_five_seed_branch_oof_predictions.csv,CowKey
th_shrc_five_seed_branch_oof_predictions.csv,Source
th_shrc_five_seed_branch_oof_predictions.csv,FoldID
th_shrc_five_seed_branch_oof_predictions.csv,Actual
th_shrc_five_seed_branch_oof_predictions.csv,SourceMemoryPredicted
th_shrc_five_seed_branch_oof_predictions.csv,BatchSessionPredicted
th_shrc_five_seed_branch_oof_predictions.csv,HierarchicalResidualPredicted
th_shrc_five_seed_branch_oof_predictions.csv,Predicted
th_shrc_five_seed_branch_oof_predictions.csv,Residual
th_shrc_leave_one_seed_metrics.csv,ExcludedSeed
th_shrc_leave_one_seed_metrics.csv,SeedCount
th_shrc_leave_one_seed_metrics.csv,N
th_shrc_leave_one_seed_metrics.csv,R2
th_shrc_leave_one_seed_metrics.csv,RMSE
th_shrc_leave_one_seed_metrics.csv,MAE
th_shrc_leave_one_seed_metrics.csv,Bias
th_shrc_oof_predictions.csv,RecordID
th_shrc_oof_predictions.csv,MeasurementUnitID
th_shrc_oof_predictions.csv,CowKey
th_shrc_oof_predictions.csv,Source
th_shrc_oof_predictions.csv,RowID
th_shrc_oof_predictions.csv,Ear
th_shrc_oof_predictions.csv,Air
th_shrc_oof_predictions.csv,Time
th_shrc_oof_predictions.csv,Actual
th_shrc_oof_predictions.csv,SourceMemoryPredicted
th_shrc_oof_predictions.csv,BatchSessionPredicted
th_shrc_oof_predictions.csv,HierarchicalResidualPredicted
th_shrc_oof_predictions.csv,Predicted_20260523
th_shrc_oof_predictions.csv,Predicted_20260607
th_shrc_oof_predictions.csv,Predicted_20260701
th_shrc_oof_predictions.csv,Predicted_20260811
th_shrc_oof_predictions.csv,Predicted_20260903
th_shrc_oof_predictions.csv,Predicted
th_shrc_oof_predictions.csv,Residual
th_shrc_oof_predictions.csv,DataClass
th_shrc_shap_summary.csv,FeatureGroup
th_shrc_shap_summary.csv,MeanAbsSHAP_C
th_shrc_shap_summary.csv,MeanSignedSHAP_C
th_shrc_shap_summary.csv,MedianAbsSHAP_C
th_shrc_shap_summary.csv,P90AbsSHAP_C
th_shrc_shap_summary.csv,Rank_by_MeanAbsSHAP
th_shrc_shap_values.csv,Seed
th_shrc_shap_values.csv,RecordID
th_shrc_shap_values.csv,RowID
th_shrc_shap_values.csv,CowKey
th_shrc_shap_values.csv,Ear_C
th_shrc_shap_values.csv,Air_C
th_shrc_shap_values.csv,Time_hour
th_shrc_shap_values.csv,EarAirGap_C
th_shrc_shap_values.csv,SHAP_Ear_temperature_C
th_shrc_shap_values.csv,SHAP_Ambient_temperature_C
th_shrc_shap_values.csv,SHAP_Time_diurnal_C
th_shrc_shap_values.csv,SHAP_Cow_identity_C
th_shrc_shap_values.csv,TechnicalBaselinePrediction_C
th_shrc_shap_values.csv,ConditionalFullPipelinePrediction_C
th_shrc_shap_values.csv,ReconstructedPrediction_C
th_shrc_shap_values.csv,AdditivityDifference_C
th_shrc_shap_values.csv,OfficialOOFPrediction_C
th_shrc_shap_values.csv,ConditionalVsOfficialDifference_C
th_shrc_shap_values.csv,RawTechnicalBaselinePrediction_C
th_shrc_shap_values.csv,RawFullPipelinePrediction_C
th_shrc_shap_values.csv,ReplayAnchorCorrection_C
th_shrc_stack_weight_summary.csv,Branch
th_shrc_stack_weight_summary.csv,mean
th_shrc_stack_weight_summary.csv,std
th_shrc_stack_weight_summary.csv,min
th_shrc_stack_weight_summary.csv,max
th_shrc_stack_weights_all_seeds.csv,Seed
th_shrc_stack_weights_all_seeds.csv,FoldID
th_shrc_stack_weights_all_seeds.csv,OuterTrainN
th_shrc_stack_weights_all_seeds.csv,OuterTestN
th_shrc_stack_weights_all_seeds.csv,SelectedLambda
th_shrc_stack_weights_all_seeds.csv,InnerRMSE
th_shrc_stack_weights_all_seeds.csv,InnerR2
th_shrc_stack_weights_all_seeds.csv,InnerMAE
th_shrc_stack_weights_all_seeds.csv,Intercept
th_shrc_stack_weights_all_seeds.csv,WeightSourceMemory
th_shrc_stack_weights_all_seeds.csv,WeightBatchSession
th_shrc_stack_weights_all_seeds.csv,WeightHierarchicalResidual
