Seed,FoldID,OuterTrainN,OuterTestN,SelectedLambda,InnerRMSE,InnerR2,InnerMAE,Intercept,WeightSourceMemory,WeightBatchSession,WeightHierarchicalResidual
20260523,1,403,117,1.0,0.3218808036543301,0.820346988909352,0.1797151785702682,0.2340175572608132,0.0512777112544426,0.3841162296157563,0.5585892052040435
20260523,2,398,122,1.0,0.2952881814890468,0.851556583839738,0.174364983937673,-0.6482143290922977,0.0381852755799627,0.3557801107381237,0.6220486503298162
20260523,3,430,90,1.0,0.3064116621518798,0.838885881529609,0.170576798506591,-0.7425904699775856,0.042231481802446,0.1357773223717231,0.8409809696458979
20260523,4,430,90,1.0,0.3034269362109387,0.8436271016610727,0.1691029657165345,-0.563328748656204,0.0281310360769566,0.2679124012793181,0.7181745280977339
20260523,5,419,101,1.0,0.3055863114851461,0.8369619823991656,0.1728112521535237,-0.7520899711525999,0.0233669592416845,0.3743158437719103,0.621326452572248
20260607,1,397,123,1.0,0.3126584748058202,0.8352797846083189,0.1731931178867703,-0.5699277406383771,-0.0012774225360772,0.416242701219744,0.5993183063546894
20260607,2,406,114,10.0,0.2862360971011164,0.8595157013938,0.1744545947516265,-0.2605582866090117,0.1934229036069155,0.3898067170084687,0.4226764277518668
20260607,3,420,100,0.1,0.2931781709021152,0.8515126844111967,0.1624188814518879,-1.0509517157042865,-0.0498000669795146,0.4278105246048653,0.6490780180174625
20260607,4,421,99,10.0,0.3124251473141695,0.8328684942547493,0.1767329019087638,-0.1818981319083832,0.1552722203414305,0.4273058816797856,0.4217617918002361
20260607,5,436,84,1.0,0.3020470355065879,0.8399789799978795,0.1690628618290074,-1.0080615429324098,-0.0246313861334783,0.2079630923253717,0.8420716963155428
20260701,1,398,122,1.0,0.3078693147659689,0.8415934848183161,0.17101515650526,-1.5695137593720574,0.1151326097751734,0.317234440750326,0.6076783741009422
20260701,2,398,122,1.0,0.2872503326528219,0.8540032832999324,0.1731893846271812,-1.012078487809049,0.1739125017375045,0.3832543570897542,0.4687572950060712
20260701,3,423,97,1.0,0.2845073826798838,0.8565819521402303,0.1567251182986523,-0.9716796801367308,0.0997186035128834,0.4515205701318336,0.4731819555890979
20260701,4,426,94,1.0,0.2987764309701443,0.8456499589768505,0.1669385592250876,-1.348575035110116,0.112949460359232,0.3065528521401575,0.6153539275983348
20260701,5,435,85,10.0,0.2994868473110822,0.8509444608915776,0.1736483707185171,-1.1696578572300496,0.2127407022362604,0.356522615202266,0.4606751502324187
20260811,1,393,127,1.0,0.3042143954688759,0.8379892254091574,0.1700541545634732,-0.2353737572557293,-0.0333427438217768,0.175943915019161,0.8627800116810249
20260811,2,399,121,1.0,0.3034912894183866,0.8409220338733663,0.1788933166568149,-0.6889253106783144,0.1523743775323964,0.4804951383994194,0.3846258935373043
20260811,3,423,97,10.0,0.3096244941634378,0.841452463852938,0.1693932213455116,-0.6703624885994941,0.2011507669394632,0.3964622243620397,0.419677571808279
20260811,4,427,93,1.0,0.3100873398144844,0.8337580656436608,0.1674234548758408,-0.864473575114971,0.0940900833666091,0.3826753526809625,0.5454161105735693
20260811,5,438,82,1.0,0.3196212427744408,0.8219950922037158,0.1780594103895909,-0.9768670771154576,0.1063661566076916,0.4058296478469856,0.5123164177493891
20260903,1,399,121,0.01,0.3124758063532142,0.8394210207586098,0.17688110347681,-1.4096156276355032,-0.0453378382349001,-0.3539274391660001,1.435558080964256
20260903,2,405,115,1.0,0.2934728351252638,0.8479143259820432,0.1585354498591348,-0.31712707587576,2.780886279651895e-05,0.1819906740711303,0.826081913561211
20260903,3,411,109,0.1,0.3190797461106792,0.830388029551278,0.1808557755757222,-0.9031125998008064,-0.0654452466915245,-0.0540523064264562,1.1427924469462596
20260903,4,428,92,0.1,0.2919522085857857,0.8502784664498562,0.1641106443204354,-1.3364995159208777,-0.0351207465173502,-0.1348330060427542,1.2038502838113343
20260903,5,437,83,0.1,0.2753654662362095,0.8661120769617747,0.1607381974722926,-0.9478559576091355,0.0032340403013222,0.0460482397465966,0.9749869832157856
