Method,R2,RMSE,MAE
Full TH-SHRC,0.8551359051012453,0.25195565941200593,0.1345534257161156
Alternative nested blend,0.8538796330171028,0.25304579009400424,0.14420626564612515
Hierarchical residual only,0.8436343152400183,0.2617667402225561,0.14525032142548552
Fixed dual fusion,0.8418680183421952,0.26324103879928634,0.14541499915281397
Source-memory route only,0.8389092111125174,0.26569237650411365,0.14286596902479531
Batch/session route only,0.8335701055638669,0.27005946818992604,0.15847242809801923
