"FoldID","Source","SelectionRegime","ChosenModel","InnerOOF_RMSE","InnerOOF_N","eb_exact","eb_medium","eb_coarse","global_exact","global_medium","global_coarse","may_session","may_session_hour","tight_session","ridge","xgb_residual","direct_xgb"
1,"S01","stable_cool","may_session_hour+tight_session+eb_exact",0.314722255576622,224,0.0499999999999999,0,0,0,0,0,0,0.6,0.35,0,0,0
1,"S01","stable_hot","tight_session+may_session+direct_xgb",0.357056997033723,174,0,0,0,0,0,0,0,0,0.8,0,0,0.2
2,"S01","stable_cool","may_session_hour+eb_exact+tight_session",0.270546556717223,219,0,0,0,0,0,0,0,0.7,0.3,0,0,0
2,"S01","stable_hot","tight_session+may_session+may_session_hour",0.366420402856156,179,0,0,0,0,0,0,0,0.1,0.9,0,0,0
3,"S01","stable_cool","may_session_hour+direct_xgb+tight_session",0.283336966347415,238,0,0,0,0,0,0,0,0.65,0.35,0,0,0
3,"S01","stable_hot","tight_session+may_session+may_session_hour",0.335707990896358,185,0,0,0,0,0,0,0.1,0.0499999999999999,0.85,0,0,0
4,"S01","stable_cool","may_session_hour+direct_xgb+tight_session",0.30595805698311,237,0,0,0,0,0,0,0,0.7,0.3,0,0,0
4,"S01","stable_hot","tight_session+may_session+may_session_hour",0.294549384687266,189,0,0,0,0,0,0,0.05,0.05,0.9,0,0,0
5,"S01","stable_cool","may_session_hour+eb_exact+direct_xgb",0.322856247803966,242,0.05,0,0,0,0,0,0,0.75,0,0,0,0.2
5,"S01","stable_hot","tight_session+may_session+may_session_hour",0.296986198838704,193,0,0,0,0,0,0,0.25,0,0.75,0,0,0
