"FoldID","Source","N","R2","RMSE","MAE","Bias"
1,"ALL",122,0.868698503345368,0.262617170821773,0.181715115243401,0.00226670753111941
1,"S01",122,0.868698503345368,0.262617170821773,0.181715115243401,0.00226670753111941
2,"ALL",122,0.814413631729077,0.343470206827757,0.189945536525549,-0.0149453767675682
2,"S01",122,0.814413631729077,0.343470206827757,0.189945536525549,-0.0149453767675682
3,"ALL",97,0.814766839183829,0.348194804493459,0.233705749045476,0.0629390023330788
3,"S01",97,0.814766839183829,0.348194804493459,0.233705749045476,0.0629390023330788
4,"ALL",94,0.860582122866995,0.288104917206134,0.189015457984629,-0.0646115583791623
4,"S01",94,0.860582122866995,0.288104917206134,0.189015457984629,-0.0646115583791623
5,"ALL",85,0.826091060202286,0.288007266603663,0.179595350021299,-0.0054631966384217
5,"S01",85,0.826091060202286,0.288007266603663,0.179595350021299,-0.0054631966384217
