Configuration,R²,RMSE,MAE,P95 AE,≤0.5 °C
Full A+B+C,1.0,1.0,1.0,1.0,1.0
w/o C (A+B),0.9830692006589715,0.9534873468647906,0.9266705164881484,0.892763942276216,0.9831223628691983
w/o B (A+C),0.825782319627817,0.7021373038456092,0.7242457414814281,0.619533930803674,0.9135021097046413
w/o A (B+C),0.6324120081563088,0.5616665947335648,0.4184304875345372,0.65445831927056,0.8481012658227848
