RecordID,RowID,CowKey,Ear_C,Air_C,Time_hour,EarAirGap_C,SHAP_Ear_temperature_C,SHAP_Ambient_temperature_C,SHAP_Time_diurnal_C,SHAP_Cow_identity_C,TechnicalBaselinePrediction_C,ConditionalFullPipelinePrediction_C,ReconstructedPrediction_C,AdditivityDifference_C,OfficialOOFPrediction_C,ConditionalVsOfficialDifference_C
TEMP_R000001,1,C021,30.0,13.1,11,16.9,-0.1757071027924161,-0.18119793955963281,0.061466211543616936,-0.0681291750567651,38.6848807263822,38.321312720517,38.321312720517,0.0,38.31836257583106,0.0029501446859399
TEMP_R000002,2,C021,30.4,16.0,12,14.4,-0.1712775582194741,0.1752902355382589,0.010147770592159471,-0.04277616152044139,38.2857459781361,38.2571302645266,38.2571302645266,0.0,38.239046553636335,0.0180837108902665
TEMP_R000003,3,C021,31.5,18.3,13,13.2,-0.1203308814832103,-0.08954127760009219,-0.10158301381164372,-0.12455339998655883,38.6828024744819,38.2467939016004,38.2467939016004,0.0,38.220371748559785,0.0264221530406132
TEMP_R000004,4,C021,32.6,20.8,14,11.8,0.12280342029591769,-0.21044125482628334,-0.23414182840276612,-0.11129044923996646,38.6824175419294,38.2493474297563,38.2493474297563,0.0,38.22350973321692,0.0258376965393765
TEMP_R000005,5,C021,32.8,22.0,15,10.8,0.031227912139366744,-0.004562053406901384,0.05748612045278158,-0.04965706529295133,38.3017124399135,38.3362073538058,38.3362073538058,0.0,38.32399629916014,0.012211054645654
TEMP_R000006,6,C021,28.1,13.4,21,14.7,-0.09754952569951668,-0.07776679184903183,0.23724071485531795,-0.07609869672036614,38.2886663659261,38.2744920665125,38.2744920665125,0.0,38.25845076640236,0.0160413001101389
TEMP_R000007,7,C021,29.3,11.8,22,17.5,-0.2290715970441906,0.08454598518724289,0.30270266935980794,-0.06731586240085954,38.303369148603,38.394230343705,38.394230343705,0.0,38.39323599312763,0.000994350577364855
TEMP_R000008,8,C021,29.2,10.9,23,18.3,-0.29482783629327497,-0.1070217157614586,0.19508894098614127,-0.07778518616990837,38.6826352792508,38.3980894820123,38.3980894820123,0.0,38.38710429692514,0.010985185087165
TEMP_R000009,9,C021,28.6,10.9,24,17.7,0.02240742321805082,0.0801197831562502,0.09013198358163521,-0.08531330211043198,38.2889890548965,38.396334942742,38.396334942742,0.0,38.3890887191768,0.00724622356520399
TEMP_R000015,15,C003,31.4,5.4,0,26,0.05952927306444995,0.04153489087105081,0.17183151652123263,-0.00020425387193393797,38.6865711620344,38.9592625886192,38.9592625886192,0.0,38.95473981710774,0.00452277151145353
TEMP_R000016,16,C003,31.4,5.4,0,26,0.30280039390391755,0.158621851930351,0.18384234269483457,0.014485314575699942,38.2874159968763,38.9471658999811,38.9471658999811,0.0,38.92993450291876,0.0172313970623392
TEMP_R000017,17,C003,33.3,6.1,11,27.2,0.005790760207500398,0.004133998663283123,0.11663068280341862,-0.027282458722498976,38.6854097676478,38.7846827505995,38.7846827505995,0.0,38.78222102416623,0.00246172643326759
TEMP_R000018,18,C003,33.3,6.1,11,27.2,-0.025064556279665716,0.10271428213311809,0.4287489911790173,-0.022956459834263754,38.290421822212,38.7738640794102,38.7738640794102,0.0,38.76850171194542,0.0053623674647838
TEMP_R000019,19,C003,31.8,6.9,12,24.9,0.07190633780944111,0.10379681427698985,0.16629073784794102,0.05426056459272388,38.2867209631881,38.6829754177152,38.6829754177152,0.0,38.6812178001867,0.00175761752849724
TEMP_R000020,20,C003,31.8,6.9,12,24.9,0.06846137111615924,0.116195713255174,0.17983817440789154,0.009572572129475414,38.2895821365267,38.6636499674354,38.6636499674354,0.0,38.6488919961134,0.0147579713219983
TEMP_R000021,21,C003,33.6,6.8,12,26.8,0.12334380619795127,0.07443568756768335,-0.009459458836033718,0.04325124381920157,38.2855024366761,38.5170737154249,38.5170737154249,0.0,38.509484393243504,0.00758932218139563
TEMP_R000022,22,C003,33.6,6.8,12,26.8,0.12257267892067365,0.0741013108114939,-0.009138266981709126,0.04444806936354221,38.2852084995937,38.5171922917077,38.5171922917077,0.0,38.50822558478585,0.00896670692185353
TEMP_R000023,23,C003,33.3,9.3,13,24,-0.08205693170790754,0.02514523363127511,0.20007559296650906,0.02844788225662557,38.3026234495007,38.4742352266472,38.4742352266472,0.0,38.47061350896372,0.00362171768347963
TEMP_R000024,24,C003,33.3,9.3,13,24,0.11599000109691815,-0.04468265431008215,-0.22697610237638344,-0.04921729150644912,38.682569765729,38.477683718633,38.477683718633,0.0,38.48687001972206,-0.00918630108905916
TEMP_R000025,25,C003,33.6,8.0,13,25.6,-0.10101933807965106,0.04852927772208322,0.11581940596703313,0.013470044050132891,38.3022670261608,38.3790664158204,38.3790664158204,0.0,38.380270879474686,-0.00120446365428961
TEMP_R000026,26,C003,33.6,8.0,13,25.6,-0.08715425676862527,0.049895133362706914,0.12737173460422704,0.00035714736389162206,38.2887677924434,38.3792375510056,38.3792375510056,0.0,38.37529688957202,0.00394066143358174
TEMP_R000027,27,C003,33.1,11.2,14,21.9,0.059922477564268085,-0.1740080341421694,-0.11112124964045181,-0.030196046754049043,38.6824767831238,38.4270739301514,38.4270739301514,0.0,38.40743439177061,0.0196395383807939
TEMP_R000028,28,C003,33.1,11.2,14,21.9,0.060227305830650835,-0.17251912688220014,-0.1111212496404666,-0.0313544238222813,38.6820621518365,38.4272946573222,38.4272946573222,0.0,38.40760825079331,0.0196864065288906
TEMP_R000029,29,C003,33.9,11.2,15,22.7,0.04555652906215119,-0.06607312633804932,0.024817485987667226,0.0024203607561320943,38.2846656481531,38.291386897621,38.291386897621,0.0,38.24254197259352,0.0488449250274812
TEMP_R000030,30,C003,33.9,11.2,15,22.7,0.03045384676416714,-0.06893407238186515,0.022686687849632278,0.000637343930865935,38.3012443168366,38.2860881229994,38.2860881229994,0.0,38.28565487779542,0.000433245203979027
TEMP_R000031,31,C003,36.4,9.1,15,27.3,-0.1417306596509314,-0.0021376572833329277,0.0007726497180519468,-0.05744436865598186,38.6822410097766,38.4817009739044,38.4817009739044,0.0,38.49413076274226,-0.0124297888378564
TEMP_R000032,32,C003,36.4,9.1,15,27.3,0.12102732071625866,0.0394269685893569,0.033296889216040654,-0.008501688646558609,38.3010527762341,38.4863022661092,38.4863022661092,0.0,38.489354126558105,-0.00305186044890604
TEMP_R000033,33,C003,32.0,9.0,19,23,0.09570451532747566,0.048417345515359145,0.18038851434420936,-0.040410953639343106,38.6849331105769,38.9690325321246,38.9690325321246,0.0,38.962160966703074,0.00687156542152678
TEMP_R000034,34,C003,32.0,9.0,19,23,0.09461795144710018,0.06213620709326702,0.17821771661938196,-0.04534083770795109,38.6832030585402,38.972834095992,38.972834095992,0.0,38.96082170406776,0.0120123919242374
TEMP_R000035,35,C003,32.0,6.0,21,26,-0.3432784865476487,0.004397313583916446,0.19844533015494883,-0.03341631274841579,38.6840187691921,38.5101666136349,38.5101666136349,0.0,38.50578860405646,0.00437800957843848
TEMP_R000036,36,C003,32.0,6.0,21,26,-0.34303850820924,-0.0011843256321585713,0.19841406001479098,-0.0438333398332927,38.681205625369,38.4915635117091,38.4915635117091,0.0,38.484832072230496,0.00673143947860666
TEMP_R000037,37,C003,33.7,5.5,23,28.2,-0.029905122073866267,-0.05353223872076699,-0.14864908912548397,-0.03565691712568567,38.301493107608,38.0337497405622,38.0337497405622,0.0,38.035493782269306,-0.00174404170710574
TEMP_R000038,38,C003,33.7,5.5,23,28.2,-0.030939537812184184,-0.055008522793464465,-0.15903709714493292,-0.02651862656121532,38.2851142836563,38.0136104993445,38.0136104993445,0.0,38.02339733181096,-0.00978683246646028
TEMP_R000039,39,C002,32.9,5.4,0,27.5,-0.39272371099817543,-0.11263908391580853,-0.022727089218892736,0.054521327729675655,38.6823694016983,38.2088008452951,38.2088008452951,0.0,38.21974518842628,-0.0109443431311789
TEMP_R000040,40,C002,32.9,5.4,0,27.5,-0.2025668074341643,-0.20906893056918463,-0.1020269748226011,0.08216626099334925,38.680450874998,38.2489544231654,38.2489544231654,0.0,38.2788023270613,-0.0298479038958988
TEMP_R000041,41,C002,30.8,6.1,11,24.7,0.2402196112203434,0.12953625277773995,0.2852272552257252,0.16910157019309105,38.6848483792676,39.5089330686845,39.5089330686845,0.0,39.502422869043045,0.00651019964145405
TEMP_R000042,42,C002,30.8,6.1,11,24.7,0.114322647751892,0.2053550273210618,0.7264989837685576,0.14474541413699052,38.3041996909664,39.4951217639449,39.4951217639449,0.0,39.49293148460538,0.00219027933952276
TEMP_R000043,43,C002,33.1,5.0,11,28.1,0.11556372690396621,0.08973801946569951,0.4725114475452165,0.14611195756041856,38.2873610899777,39.111286241453,39.111286241453,0.0,39.11682032614151,-0.00553408468850591
TEMP_R000044,44,C002,33.1,5.0,11,28.1,0.055095993987400504,0.028108645198282524,0.19464134856253068,0.14135967599968188,38.6855195323359,39.1047251960838,39.1047251960838,0.0,39.10317362580324,0.00155157028056152
TEMP_R000045,45,C002,34.2,6.9,12,27.3,0.14378604497706546,0.011287041871716134,-0.04424993364813249,0.13649011542705064,38.2902931177969,38.5376063864246,38.5376063864246,0.0,38.556526832904375,-0.0189204464797754
TEMP_R000046,46,C002,34.2,6.9,12,27.3,-0.18287252160199152,-0.044646327837874956,-0.0052473686534420735,0.08071314759010839,38.6825232640727,38.5304701935695,38.5304701935695,0.0,38.5359615666764,-0.00549137310689929
TEMP_R000047,47,C002,36.2,6.8,12,29.4,0.5626612607287587,0.1493775976878915,0.11525623263867384,0.16857233414977438,38.2853108908844,39.2811783160895,39.2811783160895,0.0,39.28526959426917,-0.00409127817966493
TEMP_R000048,48,C002,36.2,6.8,12,29.4,0.1622995912671084,0.12721987555347405,0.22320886298912512,0.08694276926609135,38.6823124368505,39.2819835359263,39.2819835359263,0.0,39.28041075290801,0.00157278301828967
TEMP_R000049,49,C002,32.8,8.0,13,24.8,0.14890641205573138,0.15764827459248326,0.05769062377046552,0.15109605837841517,38.6830298303755,39.1983711991726,39.1983711991726,0.0,39.18927872552604,0.00909247364656096
