RecordID,CowKey,Source,RowID,SourceRowID,EarTemperature_C,CoreReferenceTemperature_C,AmbientTemperature_C,MeasurementTime_hour,SourceType,EarStatus,SourceWeight,SeqInCowSource,CowSourceN,EarLag1_C,EarLag2_C,AmbientLag1_C,EarDelta1_C,AmbientDelta1_C,TimeSin,TimeCos,ThermalLoad,EarAirGap_C,HotFlag,NightFlag
TEMP_R000031,C003,S03,31,9,36.4,38.5,9.1,15,reference_stratum_1,ear_status_2,0.85,17,24,33.9,33.9,11.2,2.5,-2.1,-0.707106781186547,-0.707106781186548,0,27.3,0,0
TEMP_R000032,C003,S03,32,143,36.4,38.5,9.1,15,reference_stratum_1,ear_status_2,0.85,18,24,36.4,33.9,9.1,0,0,-0.707106781186547,-0.707106781186548,0,27.3,0,0
TEMP_R000033,C003,S03,33,10,32.0,39.0,9.0,19,reference_stratum_1,ear_status_2,0.85,19,24,36.4,36.4,9.1,-4.4,-0.0999999999999996,-0.965925826289068,0.25881904510252,0,23,0,0
TEMP_R000034,C003,S03,34,144,32.0,39.0,9.0,19,reference_stratum_1,ear_status_2,0.85,20,24,32,36.4,9,0,0,-0.965925826289068,0.25881904510252,0,23,0,0
TEMP_R000035,C003,S03,35,11,32.0,38.6,6.0,21,reference_stratum_1,ear_status_2,0.85,21,24,32,32,9,0,-3,-0.707106781186548,0.707106781186547,0,26,0,1
TEMP_R000036,C003,S03,36,145,32.0,38.6,6.0,21,reference_stratum_1,ear_status_2,0.85,22,24,32,32,6,0,0,-0.707106781186548,0.707106781186547,0,26,0,1
TEMP_R000037,C003,S03,37,12,33.7,38.0,5.5,23,reference_stratum_1,ear_status_2,0.85,23,24,32,32,6,1.7,-0.5,-0.258819045102522,0.965925826289068,0,28.2,0,1
TEMP_R000038,C003,S03,38,146,33.7,38.0,5.5,23,reference_stratum_1,ear_status_2,0.85,24,24,33.7,32,5.5,0,0,-0.258819045102522,0.965925826289068,0,28.2,0,1
TEMP_R000039,C002,S03,39,13,32.9,38.2,5.4,0,reference_stratum_1,ear_status_2,0.85,1,26,32.9,32.9,5.4,0,0,0,1,0,27.5,0,1
TEMP_R000040,C002,S03,40,147,32.9,38.2,5.4,0,reference_stratum_1,ear_status_2,0.85,2,26,32.9,32.9,5.4,0,0,0,1,0,27.5,0,1
TEMP_R000041,C002,S03,41,15,30.8,39.5,6.1,11,reference_stratum_1,ear_status_2,0.85,3,26,32.9,32.9,5.4,-2.1,0.699999999999999,0.258819045102521,-0.965925826289068,0,24.7,0,0
TEMP_R000042,C002,S03,42,149,30.8,39.5,6.1,11,reference_stratum_1,ear_status_2,0.85,4,26,30.8,32.9,6.1,0,0,0.258819045102521,-0.965925826289068,0,24.7,0,0
TEMP_R000043,C002,S03,43,14,33.1,39.1,5.0,11,reference_stratum_1,ear_status_2,0.85,5,26,30.8,30.8,6.1,2.3,-1.1,0.258819045102521,-0.965925826289068,0,28.1,0,0
TEMP_R000044,C002,S03,44,148,33.1,39.1,5.0,11,reference_stratum_1,ear_status_2,0.85,6,26,33.1,30.8,5,0,0,0.258819045102521,-0.965925826289068,0,28.1,0,0
TEMP_R000045,C002,S03,45,16,34.2,38.5,6.9,12,reference_stratum_1,ear_status_2,0.85,7,26,33.1,33.1,5,1.1,1.9,1.22460635382238e-16,-1,0,27.3,0,0
TEMP_R000046,C002,S03,46,150,34.2,38.5,6.9,12,reference_stratum_1,ear_status_2,0.85,8,26,34.2,33.1,6.9,0,0,1.22460635382238e-16,-1,0,27.3,0,0
TEMP_R000047,C002,S03,47,17,36.2,39.3,6.8,12,reference_stratum_1,ear_status_2,0.85,9,26,34.2,34.2,6.9,2,-0.100000000000001,1.22460635382238e-16,-1,0,29.4,0,0
TEMP_R000048,C002,S03,48,151,36.2,39.3,6.8,12,reference_stratum_1,ear_status_2,0.85,10,26,36.2,34.2,6.8,0,0,1.22460635382238e-16,-1,0,29.4,0,0
TEMP_R000049,C002,S03,49,19,32.8,39.2,8.0,13,reference_stratum_1,ear_status_2,0.85,11,26,36.2,36.2,6.8,-3.40000000000001,1.2,-0.258819045102521,-0.965925826289068,0,24.8,0,0
TEMP_R000050,C002,S03,50,153,32.8,39.2,8.0,13,reference_stratum_1,ear_status_2,0.85,12,26,32.8,36.2,8,0,0,-0.258819045102521,-0.965925826289068,0,24.8,0,0
TEMP_R000051,C002,S03,51,18,33.9,38.8,9.3,13,reference_stratum_1,ear_status_2,0.85,13,26,32.8,32.8,8,1.1,1.3,-0.258819045102521,-0.965925826289068,0,24.6,0,0
TEMP_R000052,C002,S03,52,152,33.9,38.8,9.3,13,reference_stratum_1,ear_status_2,0.85,14,26,33.9,32.8,9.3,0,0,-0.258819045102521,-0.965925826289068,0,24.6,0,0
TEMP_R000053,C002,S03,53,20,36.2,39.0,8.8,14,reference_stratum_1,ear_status_2,0.85,15,26,33.9,33.9,9.3,2.3,-0.5,-0.5,-0.866025403784439,0,27.4,0,0
TEMP_R000054,C002,S03,54,154,36.2,39.0,8.8,14,reference_stratum_1,ear_status_2,0.85,16,26,36.2,33.9,8.8,0,0,-0.5,-0.866025403784439,0,27.4,0,0
TEMP_R000055,C002,S03,55,21,36.0,38.9,9.1,15,reference_stratum_1,ear_status_2,0.85,17,26,36.2,36.2,8.8,-0.200000000000003,0.299999999999999,-0.707106781186547,-0.707106781186548,0,26.9,0,0
TEMP_R000056,C002,S03,56,155,36.0,38.9,9.1,15,reference_stratum_1,ear_status_2,0.85,18,26,36,36.2,9.1,0,0,-0.707106781186547,-0.707106781186548,0,26.9,0,0
TEMP_R000057,C002,S03,57,22,33.7,40.0,9.0,19,reference_stratum_1,ear_status_2,0.85,19,26,36,36,9.1,-2.3,-0.0999999999999996,-0.965925826289068,0.25881904510252,0,24.7,0,0
TEMP_R000058,C002,S03,58,156,33.7,40.0,9.0,19,reference_stratum_1,ear_status_2,0.85,20,26,33.7,36,9,0,0,-0.965925826289068,0.25881904510252,0,24.7,0,0
TEMP_R000059,C002,S03,59,23,32.6,39.7,6.0,21,reference_stratum_1,ear_status_2,0.85,21,26,33.7,33.7,9,-1.1,-3,-0.707106781186548,0.707106781186547,0,26.6,0,1
TEMP_R000060,C002,S03,60,157,32.6,39.7,6.0,21,reference_stratum_1,ear_status_2,0.85,22,26,32.6,33.7,6,0,0,-0.707106781186548,0.707106781186547,0,26.6,0,1
TEMP_R000061,C002,S03,61,24,33.2,39.6,5.4,22,reference_stratum_1,ear_status_2,0.85,23,26,32.6,32.6,6,0.600000000000001,-0.6,-0.5,0.866025403784438,0,27.8,0,1
TEMP_R000062,C002,S03,62,158,33.2,39.6,5.4,22,reference_stratum_1,ear_status_2,0.85,24,26,33.2,32.6,5.4,0,0,-0.5,0.866025403784438,0,27.8,0,1
TEMP_R000063,C002,S03,63,25,33.5,39.2,5.5,23,reference_stratum_1,ear_status_2,0.85,25,26,33.2,33.2,5.4,0.299999999999997,0.0999999999999996,-0.258819045102522,0.965925826289068,0,28,0,1
TEMP_R000064,C002,S03,64,159,33.5,39.2,5.5,23,reference_stratum_1,ear_status_2,0.85,26,26,33.5,33.2,5.5,0,0,-0.258819045102522,0.965925826289068,0,28,0,1
TEMP_R000065,C029,S03,65,26,31.8,38.1,5.4,0,reference_stratum_1,ear_status_2,0.85,1,24,31.8,31.8,5.4,0,0,0,1,0,26.4,0,1
TEMP_R000066,C029,S03,66,160,31.8,38.1,5.4,0,reference_stratum_1,ear_status_2,0.85,2,24,31.8,31.8,5.4,0,0,0,1,0,26.4,0,1
TEMP_R000067,C029,S03,67,27,35.7,38.1,6.1,11,reference_stratum_1,ear_status_2,0.85,3,24,31.8,31.8,5.4,3.9,0.699999999999999,0.258819045102521,-0.965925826289068,0,29.6,0,0
TEMP_R000068,C029,S03,68,161,35.7,38.1,6.1,11,reference_stratum_1,ear_status_2,0.85,4,24,35.7,31.8,6.1,0,0,0.258819045102521,-0.965925826289068,0,29.6,0,0
TEMP_R000069,C029,S03,69,28,32.9,38.0,6.9,12,reference_stratum_1,ear_status_2,0.85,5,24,35.7,35.7,6.1,-2.8,0.800000000000001,1.22460635382238e-16,-1,0,26,0,0
TEMP_R000070,C029,S03,70,162,32.9,38.0,6.9,12,reference_stratum_1,ear_status_2,0.85,6,24,32.9,35.7,6.9,0,0,1.22460635382238e-16,-1,0,26,0,0
TEMP_R000071,C029,S03,71,29,33.1,38.2,6.8,12,reference_stratum_1,ear_status_2,0.85,7,24,32.9,32.9,6.9,0.200000000000003,-0.100000000000001,1.22460635382238e-16,-1,0,26.3,0,0
TEMP_R000072,C029,S03,72,163,33.1,38.2,6.8,12,reference_stratum_1,ear_status_2,0.85,8,24,33.1,32.9,6.8,0,0,1.22460635382238e-16,-1,0,26.3,0,0
TEMP_R000073,C029,S03,73,30,33.2,38.1,9.3,13,reference_stratum_1,ear_status_2,0.85,9,24,33.1,33.1,6.8,0.100000000000001,2.5,-0.258819045102521,-0.965925826289068,0,23.9,0,0
TEMP_R000074,C029,S03,74,164,33.2,38.1,9.3,13,reference_stratum_1,ear_status_2,0.85,10,24,33.2,33.1,9.3,0,0,-0.258819045102521,-0.965925826289068,0,23.9,0,0
TEMP_R000075,C029,S03,75,31,36.3,38.5,8.0,13,reference_stratum_1,ear_status_2,0.85,11,24,33.2,33.2,9.3,3.09999999999999,-1.3,-0.258819045102521,-0.965925826289068,0,28.3,0,0
TEMP_R000076,C029,S03,76,165,36.3,38.5,8.0,13,reference_stratum_1,ear_status_2,0.85,12,24,36.3,33.2,8,0,0,-0.258819045102521,-0.965925826289068,0,28.3,0,0
TEMP_R000077,C029,S03,77,32,33.6,38.5,8.8,14,reference_stratum_1,ear_status_2,0.85,13,24,36.3,36.3,8,-2.7,0.800000000000001,-0.5,-0.866025403784439,0,24.8,0,0
TEMP_R000078,C029,S03,78,166,33.6,38.5,8.8,14,reference_stratum_1,ear_status_2,0.85,14,24,33.6,36.3,8.8,0,0,-0.5,-0.866025403784439,0,24.8,0,0
TEMP_R000079,C029,S03,79,33,35.0,38.5,11.2,15,reference_stratum_1,ear_status_2,0.85,15,24,33.6,33.6,8.8,1.4,2.4,-0.707106781186547,-0.707106781186548,0,23.8,0,0
TEMP_R000080,C029,S03,80,167,35.0,38.5,11.2,15,reference_stratum_1,ear_status_2,0.85,16,24,35,33.6,11.2,0,0,-0.707106781186547,-0.707106781186548,0,23.8,0,0
TEMP_R000081,C029,S03,81,34,33.2,38.5,9.0,19,reference_stratum_1,ear_status_2,0.85,17,24,35,35,11.2,-1.8,-2.2,-0.965925826289068,0.25881904510252,0,24.2,0,0
TEMP_R000082,C029,S03,82,168,33.2,38.5,9.0,19,reference_stratum_1,ear_status_2,0.85,18,24,33.2,35,9,0,0,-0.965925826289068,0.25881904510252,0,24.2,0,0
TEMP_R000083,C029,S03,83,35,31.3,38.4,6.0,21,reference_stratum_1,ear_status_2,0.85,19,24,33.2,33.2,9,-1.9,-3,-0.707106781186548,0.707106781186547,0,25.3,0,1
TEMP_R000084,C029,S03,84,169,31.3,38.4,6.0,21,reference_stratum_1,ear_status_2,0.85,20,24,31.3,33.2,6,0,0,-0.707106781186548,0.707106781186547,0,25.3,0,1
TEMP_R000085,C029,S03,85,36,32.1,38.4,5.4,22,reference_stratum_1,ear_status_2,0.85,21,24,31.3,31.3,6,0.800000000000001,-0.6,-0.5,0.866025403784438,0,26.7,0,1
TEMP_R000086,C029,S03,86,170,32.1,38.4,5.4,22,reference_stratum_1,ear_status_2,0.85,22,24,32.1,31.3,5.4,0,0,-0.5,0.866025403784438,0,26.7,0,1
TEMP_R000087,C029,S03,87,37,32.2,38.9,5.5,23,reference_stratum_1,ear_status_2,0.85,23,24,32.1,32.1,5.4,0.100000000000001,0.0999999999999996,-0.258819045102522,0.965925826289068,0,26.7,0,1
TEMP_R000088,C029,S03,88,171,32.2,38.9,5.5,23,reference_stratum_1,ear_status_2,0.85,24,24,32.2,32.1,5.5,0,0,-0.258819045102522,0.965925826289068,0,26.7,0,1
TEMP_R000089,C001,S03,89,38,29.8,38.0,5.4,0,reference_stratum_1,ear_status_2,0.85,1,28,29.8,29.8,5.4,0,0,0,1,0,24.4,0,1
TEMP_R000090,C001,S03,90,172,29.8,38.0,5.4,0,reference_stratum_1,ear_status_2,0.85,2,28,29.8,29.8,5.4,0,0,0,1,0,24.4,0,1
TEMP_R000091,C001,S03,91,39,26.6,38.9,5.0,11,reference_stratum_1,ear_status_2,0.85,3,28,29.8,29.8,5.4,-3.2,-0.4,0.258819045102521,-0.965925826289068,0,21.6,0,0
TEMP_R000092,C001,S03,92,173,26.6,38.9,5.0,11,reference_stratum_1,ear_status_2,0.85,4,28,26.6,29.8,5,0,0,0.258819045102521,-0.965925826289068,0,21.6,0,0
TEMP_R000093,C001,S03,93,40,33.1,39.2,6.1,11,reference_stratum_1,ear_status_2,0.85,5,28,26.6,26.6,5,6.5,1.1,0.258819045102521,-0.965925826289068,0,27,0,0
TEMP_R000094,C001,S03,94,174,33.1,39.2,6.1,11,reference_stratum_1,ear_status_2,0.85,6,28,33.1,26.6,6.1,0,0,0.258819045102521,-0.965925826289068,0,27,0,0
TEMP_R000095,C001,S03,95,41,31.3,38.3,6.9,12,reference_stratum_1,ear_status_2,0.85,7,28,33.1,33.1,6.1,-1.8,0.800000000000001,1.22460635382238e-16,-1,0,24.4,0,0
TEMP_R000096,C001,S03,96,175,31.3,38.3,6.9,12,reference_stratum_1,ear_status_2,0.85,8,28,31.3,33.1,6.9,0,0,1.22460635382238e-16,-1,0,24.4,0,0
TEMP_R000097,C001,S03,97,42,31.9,38.0,6.8,12,reference_stratum_1,ear_status_2,0.85,9,28,31.3,31.3,6.9,0.599999999999998,-0.100000000000001,1.22460635382238e-16,-1,0,25.1,0,0
TEMP_R000098,C001,S03,98,176,31.9,38.0,6.8,12,reference_stratum_1,ear_status_2,0.85,10,28,31.9,31.3,6.8,0,0,1.22460635382238e-16,-1,0,25.1,0,0
TEMP_R000099,C001,S03,99,43,31.6,38.0,9.3,13,reference_stratum_1,ear_status_2,0.85,11,28,31.9,31.9,6.8,-0.299999999999997,2.5,-0.258819045102521,-0.965925826289068,0,22.3,0,0
TEMP_R000100,C001,S03,100,177,31.6,38.0,9.3,13,reference_stratum_1,ear_status_2,0.85,12,28,31.6,31.9,9.3,0,0,-0.258819045102521,-0.965925826289068,0,22.3,0,0
TEMP_R000101,C001,S03,101,44,33.3,38.2,8.0,13,reference_stratum_1,ear_status_2,0.85,13,28,31.6,31.6,9.3,1.7,-1.3,-0.258819045102521,-0.965925826289068,0,25.3,0,0
TEMP_R000102,C001,S03,102,178,33.3,38.2,8.0,13,reference_stratum_1,ear_status_2,0.85,14,28,33.3,31.6,8,0,0,-0.258819045102521,-0.965925826289068,0,25.3,0,0
TEMP_R000103,C001,S03,103,45,31.8,38.0,8.8,14,reference_stratum_1,ear_status_2,0.85,15,28,33.3,33.3,8,-1.5,0.800000000000001,-0.5,-0.866025403784439,0,23,0,0
TEMP_R000104,C001,S03,104,179,31.8,38.0,8.8,14,reference_stratum_1,ear_status_2,0.85,16,28,31.8,33.3,8.8,0,0,-0.5,-0.866025403784439,0,23,0,0
TEMP_R000105,C001,S03,105,47,32.0,38.4,9.1,15,reference_stratum_1,ear_status_2,0.85,17,28,31.8,31.8,8.8,0.199999999999999,0.299999999999999,-0.707106781186547,-0.707106781186548,0,22.9,0,0
TEMP_R000106,C001,S03,106,181,32.0,38.4,9.1,15,reference_stratum_1,ear_status_2,0.85,18,28,32,31.8,9.1,0,0,-0.707106781186547,-0.707106781186548,0,22.9,0,0
TEMP_R000107,C001,S03,107,46,33.9,38.1,11.2,15,reference_stratum_1,ear_status_2,0.85,19,28,32,32,9.1,1.9,2.1,-0.707106781186547,-0.707106781186548,0,22.7,0,0
TEMP_R000108,C001,S03,108,180,33.9,38.1,11.2,15,reference_stratum_1,ear_status_2,0.85,20,28,33.9,32,11.2,0,0,-0.707106781186547,-0.707106781186548,0,22.7,0,0
TEMP_R000109,C001,S03,109,48,30.5,38.2,9.0,19,reference_stratum_1,ear_status_2,0.85,21,28,33.9,33.9,11.2,-3.4,-2.2,-0.965925826289068,0.25881904510252,0,21.5,0,0
