Display,Configuration,Method,N,R2,RMSE_C,MAE_C,Bias_C,MedianAE_C,P95_AE_C,Within_0_2C,Within_0_3C,Within_0_5C,Delta_R2_vs_full,Delta_RMSE_vs_full_C,Delta_MAE_vs_full_C,RemovedModel,ModelDefinition
Full A+B+C,Full A+B+C,Full TH-SHRC,520,0.849451603205801,0.295958360438717,0.16102075834525345,0.0016091382182982792,0.0629414508693813,0.6949797583169921,0.7384615384615385,0.8384615384615385,0.9230769230769231,0.0,0.0,0.0,,A=thermal-state memory/retrieval; B=individual/session calibration; C=hierarchical residual-correction route
A+B,w/o C (A+B),w/o hierarchical residual correction,520,0.8405972934544645,0.3045372283272473,0.1713134379981863,0.0030875925288514376,0.0741574310848101,0.7047058814483447,0.7365384615384616,0.8365384615384616,0.9173076923076923,-0.008854309751336498,0.008578867888530295,0.010292679652932846,C,A=thermal-state memory/retrieval; B=individual/session calibration; C=hierarchical residual-correction route
A+C,w/o B (A+C),w/o individual/session calibration,520,0.1527692318370748,0.7020909983091257,0.5608173923056844,-0.00304660221379347,0.4831966204634739,1.447514719652009,0.22115384615384615,0.3326923076923077,0.5230769230769231,-0.6966823713687262,0.4061326378704087,0.39979663396043097,B,A=thermal-state memory/retrieval; B=individual/session calibration; C=hierarchical residual-correction route
B+C,w/o A (B+C),w/o thermal-state memory/retrieval,520,0.7421230467835763,0.387345763590592,0.25003769998806785,-0.0031250055302772138,0.15324972859563601,0.8508105349856391,0.5846153846153846,0.7134615384615385,0.8653846153846154,-0.10732855642222472,0.09138740315187499,0.0890169416428144,A,A=thermal-state memory/retrieval; B=individual/session calibration; C=hierarchical residual-correction route
