BootstrapID,N,R2,RMSE,MAE,Bias
1,524,0.8039573232188133,0.35083416038503445,0.1777890247330567,-0.002499573660098281
2,518,0.8552962788323029,0.28133281550344713,0.15683496844183298,0.010393490620714402
3,522,0.881029540481653,0.265174898238961,0.15480912788176623,-0.0018812346583092583
4,525,0.8176682742299359,0.32296283531930675,0.1805775202877368,-0.002062930398360617
5,521,0.8545717290337191,0.29006992890303634,0.16573469626284743,0.0072909325007708215
6,519,0.8463853377703052,0.30159825945880814,0.17072709522088406,0.006171888047311567
7,517,0.9191891080727221,0.23642508537081564,0.12393254769540556,-0.001571674908464838
8,524,0.8940028958156158,0.2775601459717056,0.16392010058005302,0.004768849220206748
9,517,0.8551621398479772,0.28577485954888654,0.16257735343833274,-0.003353375531055568
10,516,0.8532361351823403,0.30663298405755945,0.17729295043396898,0.010373812536242406
11,524,0.7775041168141041,0.32103599441841285,0.1636465391479312,-0.003266217443154364
12,519,0.8495040736601376,0.3019286960398627,0.166397605526188,-0.006890541362766829
13,516,0.9443635879321216,0.1942312103849356,0.1077544621597921,0.009840334013558013
14,521,0.9017564211146082,0.2178216453539606,0.11579213202533373,0.0021703860405154147
15,519,0.8240571678266098,0.2604897703888469,0.15078767617831534,-0.0010631899066972355
16,518,0.869470324689286,0.28115951219500074,0.15186108980811364,0.004704370872602308
17,525,0.7880800880324385,0.3121529137017475,0.16564773126300522,-0.003561768555132985
18,522,0.784714818996888,0.34032549520905714,0.18983963750155625,0.002463510457948629
19,516,0.7930374447227247,0.30932356480858586,0.1746521550787137,0.00914980703367862
20,516,0.8532719862025286,0.26995953095131836,0.14842609157849715,0.0020953657039192446
21,520,0.7987236006505984,0.32459109934390734,0.14799331159632512,0.006572602565152262
22,520,0.7953212962594416,0.3152336114162265,0.17785039395554753,0.007794489167578843
23,523,0.9051743578133441,0.2512574218113855,0.12702166055511233,-0.009039689765828845
24,527,0.7487844654784217,0.36614858646132725,0.21748462108041358,0.009946700922538151
