Method,FoldID,Source,ChosenCandidates,InnerRMSE,TrainingN,Weight_direct_xgb,Weight_ridge,Configuration,Weight_global_exact,Weight_global_medium,Weight_global_coarse,Weight_may_session_hour,Weight_xgb_residual,Weight_eb_exact,Weight_eb_medium,Weight_may_session,SelectedLambda,InnerR2,InnerMAE,Beta_0,Beta_1,Beta_2,Beta_3
w/o source-adaptive hierarchical selection,2,ALL,may_session_hour+global_exact+xgb_residual,0.3329703599867655,395.0,,,,0.5,,,0.5,0.0,,,,,,,,,,
w/o source-adaptive hierarchical selection,3,ALL,global_exact+may_session_hour+xgb_residual,0.3240338818676895,399.0,,,,0.55,,,0.45,-5.551115123125783e-17,,,,,,,,,,
w/o source-adaptive hierarchical selection,4,ALL,global_exact+may_session_hour+xgb_residual,0.3311236470171541,407.0,,,,0.55,,,0.45,-5.551115123125783e-17,,,,,,,,,,
w/o source-adaptive hierarchical selection,5,ALL,global_exact+may_session_hour+xgb_residual,0.3382905994486234,420.0,,,,0.55,,,0.45,-5.551115123125783e-17,,,,,,,,,,
C without XGB candidates,1,S03,eb_exact+global_exact+eb_medium,0.1409654384770181,202.0,,,,0.5,,,,,0.5,0.0,,,,,,,,
C without XGB candidates,1,S04,global_exact+global_medium+global_coarse,0.1036876100920521,87.0,,,,1.0,0.0,0.0,,,,,,,,,,,,
C without XGB candidates,1,S01,may_session+may_session_hour+ridge,0.4746627875002047,102.0,,0.0,,,,,0.25,,,,0.75,,,,,,,
C without XGB candidates,2,S03,global_exact+eb_exact+eb_medium,0.1567859585101854,204.0,,,,0.5,,,,,0.5,0.0,,,,,,,,
C without XGB candidates,2,S04,global_exact+global_medium+global_coarse,0.1084808302576705,87.0,,,,1.0,0.0,0.0,,,,,,,,,,,,
C without XGB candidates,2,S01,may_session_hour,0.4249271004488096,104.0,,,,,,,1.0,,,,,,,,,,,
C without XGB candidates,3,S03,eb_exact+global_exact+eb_medium,0.1327970700427939,204.0,,,,0.45,,,,,0.55,-5.551115123125783e-17,,,,,,,,
C without XGB candidates,3,S04,global_exact,0.0763224347410926,90.0,,,,1.0,,,,,,,,,,,,,,
C without XGB candidates,3,S01,may_session+may_session_hour+ridge,0.4344167696747772,105.0,,0.0,,,,,0.25,,,,0.75,,,,,,,
C without XGB candidates,4,S03,eb_exact+global_exact+eb_medium,0.1405007837479143,208.0,,,,0.45,,,,,0.55,-5.551115123125783e-17,,,,,,,,
C without XGB candidates,4,S04,global_exact,0.1001560588141203,92.0,,,,1.0,,,,,,,,,,,,,,
C without XGB candidates,4,S01,may_session+may_session_hour+ridge,0.4163070848882464,107.0,,0.1499999999999999,,,,,0.55,,,,0.3,,,,,,,
C without XGB candidates,5,S03,global_exact+eb_exact+eb_medium,0.1528227818678731,214.0,,,,0.5,,,,,0.5,0.0,,,,,,,,
C without XGB candidates,5,S04,global_exact,0.1081104520677553,96.0,,,,1.0,,,,,,,,,,,,,,
C without XGB candidates,5,S01,may_session+may_session_hour+ridge,0.4457816723496003,110.0,,-5.551115123125783e-17,,,,,0.35,,,,0.65,,,,,,,
w/o thermal-state memory/retrieval,1,,,0.4596392942837516,,,,,,,,,,,,,0.1,0.5211593074724261,0.3258965360504115,-1.2799255073302152,-0.4993449227962196,1.5322417662410768,
w/o thermal-state memory/retrieval,2,,,0.4571854287778149,,,,,,,,,,,,,0.1,0.5174502129437941,0.330840513978975,-1.111836856018387,-0.3777021687421784,1.4061087310115288,
w/o thermal-state memory/retrieval,3,,,0.4391644964518457,,,,,,,,,,,,,0.1,0.5466549183960955,0.316614885316007,-2.4148815453302928,-0.3405542845512452,1.4030096285045788,
w/o thermal-state memory/retrieval,4,,,0.4266513312565394,,,,,,,,,,,,,0.1,0.5840387688729952,0.3095499560529943,-5.171332344202495,-0.2949151991084661,1.4286273497945794,
w/o thermal-state memory/retrieval,5,,,0.4618186739171616,,,,,,,,,,,,,0.1,0.5288378520883144,0.3285605713572796,-1.3356116095443669,-0.496738595629101,1.5313540153139182,
w/o individual/session calibration,1,,,0.3605543639912839,,,,,,,,,,,,,1.0,0.7053555501787843,0.1861680512155464,-0.5561071149594388,0.476840331580459,0.5374560989229366,
w/o individual/session calibration,2,,,0.364883015706543,,,,,,,,,,,,,1.0,0.6926277437939097,0.1923712484330594,-0.8149031883220916,0.5002154412681393,0.5212416689752608,
w/o individual/session calibration,3,,,0.3572223173538738,,,,,,,,,,,,,10.0,0.7000480916878844,0.1898238388221974,0.9940921249540235,0.474690682263272,0.4998682122899904,
w/o individual/session calibration,4,,,0.3550362746968177,,,,,,,,,,,,,1.0,0.711960465280232,0.1847565752973303,-0.8469012600335194,0.501804430898141,0.5203535554329534,
w/o individual/session calibration,5,,,0.3704681306441291,,,,,,,,,,,,,1.0,0.6968000530102343,0.1929443934817199,-0.5917408404827993,0.4529450811742788,0.5625243658546459,
w/o hierarchical residual correction,1,,,0.280285771757443,,,,,,,,,,,,,1.0,0.8219430802885787,0.1529156305460745,-1.1380953606798534,0.5518874336641484,0.4778993767977477,
w/o hierarchical residual correction,2,,,0.2641731113716098,,,,,,,,,,,,,1.0,0.8388855139656128,0.149166925795771,-0.2146450072242702,0.5971230615775064,0.4086431254092765,
w/o hierarchical residual correction,3,,,0.2542105769236906,,,,,,,,,,,,,10.0,0.8480986285789728,0.1449456470976751,0.5956597588103545,0.5011274098896281,0.4836805960480332,
w/o hierarchical residual correction,4,,,0.2518652381120113,,,,,,,,,,,,,1.0,0.8550416932820447,0.1393524803998201,-1.5630625822771012,0.6225840313140354,0.4180061209468663,
w/o hierarchical residual correction,5,,,0.2723750813184797,,,,,,,,,,,,,1.0,0.8361063380452376,0.1507327522643732,-0.4494232712188342,0.5873912814190151,0.4245313946978958,
w/o source-adaptive hierarchical selection,1,,,0.2774730142348566,,,,,,,,,,,,,10.0,0.8254988650704205,0.158746118027972,-2.929254952730844,0.4108646943896019,0.3812583430044469,0.2836725259294326
w/o source-adaptive hierarchical selection,2,,,0.2627462022222802,,,,,,,,,,,,,10.0,0.8406213064666114,0.1552322327367183,-2.037431336939335,0.4175058391629136,0.376803591447242,0.258366593527171
w/o source-adaptive hierarchical selection,3,,,0.2529846226474729,,,,,,,,,,,,,10.0,0.8495602128800777,0.1455981684476127,-2.089017622463871,0.4061247052413819,0.400871810335957,0.2469667278910492
w/o source-adaptive hierarchical selection,4,,,0.2503465762513078,,,,,,,,,,,,,1.0,0.8567845217940802,0.1434779382817655,-3.489810727420263,0.5388327171385754,0.3602203715854557,0.191173993574921
w/o source-adaptive hierarchical selection,5,,,0.2696883595592846,,,,,,,,,,,,,1.0,0.8393237022322968,0.1544765179718879,-3.429778878693469,0.4610241203190526,0.3468139697652077,0.2808421894806088
w/o XGB candidates only,1,,,0.2697595900279858,,,,,,,,,,,,,1.0,0.8350658685780439,0.1408461398524413,-2.665381788945524,0.2189430732250912,0.3022110093006631,0.5476469888162683
w/o XGB candidates only,2,,,0.2488579040733209,,,,,,,,,,,,,1.0,0.8570249536806792,0.1329042202435404,-2.671375956822885,0.2241667425114428,0.2362102009938098,0.6083773622231092
w/o XGB candidates only,3,,,0.2456871962779142,,,,,,,,,,,,,10.0,0.8581140112719071,0.1321091367856201,-1.0774779175699225,0.3136792225122917,0.3285888809805328,0.3855239711901959
w/o XGB candidates only,4,,,0.2382155316366567,,,,,,,,,,,,,1.0,0.870327825747004,0.130210834709296,-3.2242928213236155,0.2431547284213593,0.2540124097577063,0.5860126104635128
w/o XGB candidates only,5,,,0.2586527165486249,,,,,,,,,,,,,1.0,0.8522044012648794,0.1370610271663457,-2.451356313773431,0.2108626829576678,0.2721723225986352,0.5801260841435578
