Ear_surface_temperature_C,Local_ambient_temperature_C,Core_temperature_C,Compensation_gap_C
30.7,6.0,39.1,8.400000000000002
30.7,5.5,38.6,7.900000000000002
28.7,5.4,38.9,10.2
32.2,6.9,38.0,5.799999999999997
33.0,8.8,38.3,5.299999999999997
32.1,9.0,39.4,7.299999999999997
25.4,5.4,38.1,12.700000000000003
29.7,6.9,38.1,8.400000000000002
31.2,8.8,39.0,7.800000000000001
32.3,9.1,39.5,7.200000000000003
31.1,5.4,38.2,7.100000000000001
32.1,5.5,38.5,6.399999999999999
32.0,6.9,38.2,6.200000000000003
33.2,8.8,38.0,4.799999999999997
33.5,11.2,38.0,4.5
32.1,9.0,39.0,6.899999999999999
31.5,5.4,38.8,7.299999999999997
30.7,5.4,38.3,7.599999999999998
33.2,6.8,39.0,5.799999999999997
33.2,6.8,39.0,5.799999999999997
32.4,11.2,39.1,6.700000000000003
35.3,9.1,39.0,3.700000000000003
32.1,9.0,39.1,7.0
30.2,13.4,38.4,8.2
30.6,10.9,38.2,7.600000000000001
31.8,6.9,38.7,6.900000000000002
36.4,9.1,38.5,2.1000000000000014
33.7,5.5,38.0,4.299999999999997
32.8,8.0,39.2,6.400000000000006
36.0,9.1,38.9,2.8999999999999986
33.7,9.0,40.0,6.299999999999997
31.8,5.4,38.1,6.300000000000001
33.2,9.3,38.1,4.899999999999999
31.3,6.0,38.4,7.099999999999998
26.6,5.0,38.9,12.299999999999997
30.5,9.0,38.2,7.700000000000003
29.6,6.0,38.3,8.699999999999996
31.5,5.0,38.7,7.200000000000003
32.8,9.3,38.5,5.700000000000003
32.3,9.0,39.1,6.800000000000004
28.7,5.4,38.9,10.2
31.8,5.5,38.8,6.9999999999999964
29.7,6.9,38.1,8.400000000000002
31.2,8.8,39.0,7.800000000000001
31.5,6.0,38.2,6.700000000000003
31.0,6.1,38.0,7.0
33.2,8.8,38.0,4.799999999999997
32.1,9.0,39.0,6.899999999999999
33.7,8.8,38.6,4.899999999999999
32.1,9.0,39.1,7.0
33.5,6.0,39.9,6.399999999999999
36.6,34.5,39.3,2.6999999999999957
36.0,32.9,39.3,3.299999999999997
36.6,33.9,39.4,2.799999999999997
37.7,36.9,39.1,1.3999999999999986
36.6,35.0,39.1,2.5
36.2,33.9,40.2,4.0
39.3,38.8,39.5,0.20000000000000284
33.4,26.5,40.8,7.399999999999999
37.7,36.2,39.5,1.7999999999999972
37.5,35.7,39.8,2.299999999999997
36.8,35.0,40.0,3.200000000000003
30.1,23.5,39.8,9.699999999999996
35.1,31.4,38.5,3.3999999999999986
32.8,27.7,40.0,7.200000000000003
34.7,32.0,38.2,3.5
36.6,35.5,38.3,1.6999999999999957
35.5,33.1,39.0,3.5
34.2,30.8,38.4,4.199999999999996
35.7,29.0,40.1,4.399999999999999
38.3,35.7,39.7,1.4000000000000057
35.0,28.7,39.2,4.200000000000003
34.6,27.1,40.2,5.600000000000001
35.8,32.1,39.3,3.5
34.5,29.7,39.2,4.700000000000003
38.2,37.2,38.4,0.19999999999999574
37.7,35.7,38.7,1.0
36.3,33.3,38.5,2.200000000000003
34.0,28.8,40.2,6.200000000000003
31.5,18.3,38.2,6.700000000000003
32.6,20.8,38.4,5.799999999999997
33.3,9.3,38.5,5.200000000000003
33.1,11.2,38.5,5.399999999999999
33.1,11.2,38.5,5.399999999999999
36.4,9.1,38.5,2.1000000000000014
32.0,9.0,39.0,7.0
32.9,5.4,38.2,5.300000000000004
30.8,6.1,39.5,8.7
33.1,5.0,39.1,6.0
32.8,8.0,39.2,6.400000000000006
36.0,9.1,38.9,2.8999999999999986
31.8,5.4,38.1,6.300000000000001
35.7,6.1,38.1,2.3999999999999986
33.6,8.8,38.5,4.899999999999999
33.2,9.0,38.5,5.299999999999997
32.2,5.5,38.9,6.699999999999996
31.3,6.9,38.3,6.9999999999999964
31.9,6.8,38.0,6.100000000000001
31.6,9.3,38.0,6.399999999999999
29.6,6.0,38.3,8.699999999999996
29.6,6.0,38.3,8.699999999999996
30.5,5.5,38.1,7.600000000000001
29.5,5.4,38.9,9.399999999999999
31.1,8.0,38.6,7.5
31.1,8.0,38.6,7.5
32.8,9.3,38.5,5.700000000000003
33.9,9.1,38.5,4.600000000000001
33.9,11.2,38.6,4.700000000000003
30.7,6.0,39.1,8.400000000000002
30.7,5.5,38.6,7.900000000000002
31.8,6.1,39.2,7.400000000000002
31.9,9.3,38.1,6.200000000000003
31.9,9.3,38.1,6.200000000000003
32.1,9.0,39.4,7.299999999999997
32.8,6.8,38.7,5.900000000000006
32.8,6.8,38.7,5.900000000000006
31.3,9.3,38.2,6.900000000000002
31.3,9.3,38.2,6.900000000000002
33.3,11.2,38.0,4.700000000000003
31.5,6.0,38.2,6.700000000000003
