Display,Configuration,Method,N,R2,RMSE_C,MAE_C,Bias_C,MedianAE_C,P95_AE_C,Within_0_2C,Within_0_3C,Within_0_5C,Delta_R2_vs_full,Delta_RMSE_vs_full_C,Delta_MAE_vs_full_C,RemovedModel,ModelDefinition
Full A+B+C,Full A+B+C,Full TH-SHRC,503,0.8551359051012453,0.25195565941200593,0.1345534257161156,0.0010513101999981807,0.047017205146403285,0.535071510238173,0.8031809145129225,0.8707753479125249,0.9423459244532804,0.0,0.0,0.0,,Complete thermal-state memory + individual/session calibration + hierarchical residual correction
A+B,w/o C (A+B),w/o hierarchical residual correction,503,0.8406577706826672,0.2642464635115232,0.14520093530766445,-0.0004003796620261208,0.05187064577702216,0.5993426536402665,0.7793240556660039,0.8449304174950298,0.9264413518886679,-0.014478134418578037,0.012290804099517272,0.010647509591548865,C,Hierarchical residual-correction route
A+C,w/o B (A+C),w/o individual/session calibration,503,0.7061561113115391,0.3588410102013431,0.1857842138510745,-7.300995970039322e-05,0.018959399697088486,0.8636678051580905,0.7137176938369781,0.7813121272365805,0.8608349900596421,-0.14897979378970616,0.1068853507893372,0.051230788134958904,B,Individual/session calibration
B+C,w/o A (B+C),w/o thermal-state memory/retrieval,503,0.540798214991641,0.44858580121099245,0.3215669740245915,0.00035857573352047437,0.23555847653476292,0.8175792017351816,0.4254473161033797,0.6003976143141153,0.7992047713717694,-0.3143376901096042,0.19663014179898652,0.1870135483084759,A,Thermal-state memory/retrieval
