"Scope","Source","N","CowCount","R2","RMSE","MAE","Bias","ErrorSD"
"ALL","ALL",520,30,0.828028808542865,0.316315442969314,0.193133875954794,-0.0166116968076609,0.316183118434695
"SOURCE","S01",520,30,0.828028808542865,0.316315442969314,0.193133875954794,-0.0166116968076609,0.316183118434695
