"FoldID","Model","Source","N","R2","RMSE","MAE","Bias"
1,"StrictHierarchicalEBResidualXGB","ALL",123,0.870876781373036,0.264754093424004,0.155858583482729,-0.0134945049623504
1,"StrictHierarchicalEBResidualXGB","S01",123,0.870876781373036,0.264754093424004,0.155858583482729,-0.0134945049623504
2,"StrictHierarchicalEBResidualXGB","ALL",114,0.790005304128836,0.347890708233441,0.182389787449182,0.0390071850402033
2,"StrictHierarchicalEBResidualXGB","S01",114,0.790005304128836,0.347890708233441,0.182389787449182,0.0390071850402033
3,"StrictHierarchicalEBResidualXGB","ALL",100,0.818191994681732,0.3279805658064,0.193068601878801,-0.0881332705631464
3,"StrictHierarchicalEBResidualXGB","S01",100,0.818191994681732,0.3279805658064,0.193068601878801,-0.0881332705631464
4,"StrictHierarchicalEBResidualXGB","ALL",99,0.897517714326869,0.242182936516911,0.161593115705684,-0.0220828110583632
4,"StrictHierarchicalEBResidualXGB","S01",99,0.897517714326869,0.242182936516911,0.161593115705684,-0.0220828110583632
5,"StrictHierarchicalEBResidualXGB","ALL",84,0.845203769812457,0.313306758226327,0.176131046349025,0.00415083613584718
5,"StrictHierarchicalEBResidualXGB","S01",84,0.845203769812457,0.313306758226327,0.176131046349025,0.00415083613584718
