"FoldID","Source","SelectionRegime","ChosenModel","InnerOOF_RMSE","InnerOOF_N","eb_exact","eb_medium","eb_coarse","global_exact","global_medium","global_coarse","may_session","may_session_hour","tight_session","ridge","xgb_residual","direct_xgb"
1,"S01","stable_cool","may_session_hour+eb_exact+tight_session",0.314242956574583,218,0,0,0,0,0,0,0,0.65,0.35,0,0,0
1,"S01","stable_hot","tight_session+may_session+direct_xgb",0.354393790921063,179,0,0,0,0,0,0,0.1,0,0.75,0,0,0.15
2,"S01","stable_cool","may_session_hour+direct_xgb+tight_session",0.275156499657496,225,0,0,0,0,0,0,0,0.65,0.25,0,0,0.1
2,"S01","stable_hot","tight_session+may_session+direct_xgb",0.350041484601238,181,0,0,0,0,0,0,0.05,0,0.75,0,0,0.2
3,"S01","stable_cool","may_session_hour+direct_xgb+tight_session",0.294992325023356,237,0,0,0,0,0,0,0,0.65,0.3,0,0,0.05
3,"S01","stable_hot","tight_session+may_session+ridge",0.299024124367176,183,0,0,0,0,0,0,0,0,0.85,0.15,0,0
4,"S01","stable_cool","may_session_hour+direct_xgb+tight_session",0.304182031344589,234,0,0,0,0,0,0,0,0.75,0.25,0,0,0
4,"S01","stable_hot","tight_session+may_session+may_session_hour",0.352498128069373,187,0,0,0,0,0,0,0.25,0.0499999999999999,0.7,0,0,0
5,"S01","stable_cool","may_session_hour+eb_exact+direct_xgb",0.313113671586114,246,0.1,0,0,0,0,0,0,0.8,0,0,0,0.1
5,"S01","stable_hot","tight_session",0.305177998470705,190,0,0,0,0,0,0,0,0,1,0,0,0
