"FoldID","TestN","ExactFeatureMatchN","ExactFeatureMatchRate","MedianNearestDistance","P90NearestDistance"
1,112,72,0.642857142857143,0,0.554616984954482
2,108,76,0.703703703703704,0,0.502581080447937
3,104,61,0.586538461538462,0,0.5081119736611
4,96,59,0.614583333333333,0,0.531722577645191
5,83,59,0.710843373493976,0,0.500739351164178
