"FoldID","Source","N","R2","RMSE","MAE","Bias"
1,"ALL",112,0.786033376546872,0.354732090592767,0.199633074555169,0.0306967864876387
1,"S01",30,0.401147161547491,0.572862422813694,0.429399443780661,0.205272719151214
1,"S03",56,0.858851938948926,0.23461871931284,0.125008470465541,-0.0453128467277831
1,"S04",26,0.906578671541928,0.211750069050594,0.095247949641879,-0.00702392581403926
2,"ALL",108,0.785585783698097,0.238379383781501,0.144976588410064,-0.0457525956446467
2,"S01",28,0.486226513820971,0.405043447318259,0.327907157189097,-0.159643528233661
2,"S03",54,0.848179606420991,0.166617433119391,0.111000892517607,-0.00495159589211888
2,"S04",26,0.992870485805587,0.0412644105488114,0.0185393442708237,-0.00784136003480503
3,"ALL",104,0.825218850559755,0.259079210584263,0.171076594225448,0.0201847067664903
3,"S01",27,0.722109855162413,0.348887868696979,0.28714184283363,0.0156582701736136
3,"S03",54,0.793333255535488,0.226265523102658,0.139809841023864,0.0212675732702517
3,"S04",23,0.822420691241563,0.201039589130973,0.108234983810865,0.0229559674971231
4,"ALL",96,0.929626612537266,0.188929242665188,0.124225269987574,-0.00171924020106344
4,"S01",25,0.840646058398591,0.2647744996263,0.197069348377966,-0.0135985470703125
4,"S03",50,0.921227723065797,0.181669186987735,0.12876381829837,0.00567029348367683
4,"S04",21,0.995779848055702,0.0336832388159691,0.026700061639973,-0.00517133603467237
5,"ALL",83,0.824152837144009,0.269916073884223,0.144309201404626,-0.0301302349990604
5,"S01",22,0.653960174669733,0.45950134941783,0.335158946155034,-0.0689217920480451
5,"S03",44,0.853637792159869,0.164523361297866,0.0771696167721811,-0.00478720284841765
5,"S04",17,0.954012964672397,0.111365067756359,0.0711002213645453,-0.0455231267373318
