"Scope","Source","N","CowCount","R2","RMSE","MAE","Bias","ErrorSD"
"ALL","ALL",503,30,0.841814412010424,0.2632856540333,0.14544610917002,0.0114696257029628,0.263297564697265
"SOURCE","S01",132,9,0.624896470149839,0.43269127676221,0.302568943414238,0.0258436895312714,0.433564204989163
"SOURCE","S03",258,12,0.893228714661787,0.17557096553012,0.0993565849882256,0.00990714134722951,0.175631924340019
"SOURCE","S04",113,9,0.936639328987156,0.139577862647853,0.0671353403086572,-0.00175387395683865,0.140188524673854
