"Source","Model","N","CowCount","R2","RMSE","MAE","Bias","ErrorSD"
"S01","StrictHierarchicalEBResidualXGB",132,9,0.587006372420449,0.454019221343692,0.339107750120381,0.012940047388691,0.455563681750595
"S03","StrictHierarchicalEBResidualXGB",258,12,0.921517631723908,0.150525996836092,0.0830854713742715,-0.0231100267885547,0.149030493516346
"S04","StrictHierarchicalEBResidualXGB",113,9,0.959387507830104,0.111747156263638,0.0607313012970422,-0.0192966788662098,0.110558741590205
