"Scope","Source","N","CowCount","R2","RMSE","MAE","Bias","ErrorSD"
"ALL","ALL",503,30,0.833570105563866,0.270059468189926,0.158472428098019,-0.00411508410241636,0.27029693266715
"SOURCE","S01",132,9,0.633854330065393,0.427493499764658,0.319063969667291,0.00192949224898994,0.429117681334957
"SOURCE","S03",258,12,0.863228745077692,0.198711443362421,0.117743829496915,-0.00613790267241558,0.199002663880278
"SOURCE","S04",113,9,0.931664503361971,0.144953877528559,0.0638697285576715,-0.00655753443273345,0.145450490621203
"HEAT_SEGMENT","S03",258,12,0.863228745077692,0.198711443362421,0.117743829496915,-0.00613790267241558,0.199002663880278
"HEAT_SEGMENT","S04",113,9,0.931664503361971,0.144953877528559,0.0638697285576715,-0.00655753443273345,0.145450490621203
"HEAT_SEGMENT","may_hot_air30",111,9,0.6447741118045,0.420284469476647,0.316967733692057,0.00832149958222234,0.422107768014549
"HEAT_SEGMENT","may_other",21,7,0.505426950750655,0.463740407297734,0.330144074107815,-0.031856832226667,0.474069955788391
