PermutationID,R2
1,-0.6922110284896565
2,-0.6872091197607726
3,-0.57746344835655
4,-0.5740130991887935
5,-0.96128805839369
6,-1.2483809692113979
7,-1.1604355509569482
8,-1.122872615264824
9,-0.8943144457688152
10,-0.09083262437822959
11,-0.41693053413422554
12,-0.5658586761921949
13,-0.6631739531626375
14,-1.253849881127993
15,-1.4603342515906679
16,-0.4556830115053796
17,-0.824511964220908
18,-0.9470328703070985
19,-1.0152383432006729
20,-0.3415523474635471
21,-1.3956031004721519
22,-0.9440735962903937
23,-1.0563956482819177
24,-0.862547694005064
25,-0.7990302571843388
26,-1.4835768019370592
27,-0.9843621367653248
28,-1.1484103659998803
29,-0.9220967017214239
30,-0.8236429353241757
31,-1.1605392607348106
32,-1.2171430382482606
33,-0.9078547854790098
34,-0.4366857318948363
35,-0.7479196169430828
36,-0.7290028803896584
37,-0.531784815601674
38,-0.9701498889491089
39,-1.2131359935907837
40,-1.0795327387300686
41,-0.8636125062095179
42,-0.18331666731119078
43,-1.461398819038564
44,-0.9273299006441333
45,-1.0593283829456324
46,-0.8820995947620558
47,-0.8740218143951852
48,-1.0705193934843105
49,-0.2414941643350872
50,-0.7143642830214578
51,-0.5544320962098876
52,-0.7659366592105978
53,-1.3773311113844655
54,-0.93068899951584
55,-0.7668139560837672
56,-1.1877774154855274
57,-0.483439894405826
58,-0.6684168460812614
59,-0.5872552386965053
60,-0.48575711701318336
61,-0.7175922060044608
62,-1.6152288001367143
63,-0.6418670984028494
64,-1.1759832255501226
65,-0.6275753329275344
66,-0.28810231146537557
67,-1.2120406970423176
68,-0.8066670781545424
69,-0.647348695068142
70,-0.8375075804440657
71,-0.49758910521383326
72,-1.209029670460973
73,-0.7426619909799712
74,-0.9853384006491659
75,-0.9080206079538229
76,-0.4991280750042293
77,-0.7603986588440881
78,-1.1099956031167473
79,-0.5243738720312734
80,-0.6902029836186172
81,-0.7127153103927191
82,-0.868622958608622
83,-1.1381787504100003
84,-1.1664275865222007
85,-1.1842147789057584
86,-0.7445436495462256
87,-0.774040254314976
88,-0.5144670821571993
89,-0.25100933041701
90,-0.9779618033941218
91,-0.7891380933439334
92,-1.0740861847257341
93,-1.3102335680271437
94,-0.8305041128804327
95,-0.6130674763575272
96,-0.7540563126907707
97,-0.97819764183565
98,-0.7992186888622681
99,-0.9825262897992888
100,-1.0477480723779014
101,-1.0157538603249954
102,-0.4351145816067814
103,-0.7465261476226295
104,-1.0467089821057605
105,-0.7146940307782739
106,-0.6891302133356809
107,-0.6452666351018894
108,-0.9656120111088353
109,-0.9067893313122017
110,-1.1394162389709512
111,-1.0053329548719043
112,-1.3017339934280892
113,-1.1852097902629506
114,-0.6686549804430972
115,-0.5069040885187621
116,-0.9427346655010191
117,-0.9531500479343766
118,-0.33278631955914584
119,-1.097394605044269
120,-0.842373707599454
121,-1.1344860771480882
122,-1.101709985543455
123,-0.9933540553016922
124,-0.5651135829085092
125,-0.8075630654667505
126,-0.6524284390564783
127,-0.6962259781315736
128,-0.9284852975870563
129,-1.061661176275213
130,-0.7233606586965957
131,-0.8009575194413727
132,-0.4034221242097513
133,-0.798629502782557
134,-0.8283421081205586
135,-0.7546316113914697
136,-0.7524534356797516
137,-0.9458115189304241
138,-1.3302365562600853
139,-0.8479371909316447
140,-0.7913827569881824
141,-0.9250772778980629
142,-1.2723854576564495
143,-0.7039154492720012
144,-1.0462973784323704
145,-1.0676419683823144
146,-1.0279769437307578
147,-1.2771044041366846
148,-0.8353510671271389
149,-0.9428452387305741
150,-0.6864686649446172
151,-1.2686619646599566
152,-0.6628594171063604
153,-1.0725791328115153
154,-0.9236451436632724
155,-0.6265325257120058
156,-0.959680557996146
157,-0.6576069698529967
158,-0.8469788403445151
159,-1.0262414344411033
160,-0.7565144234117194
161,-0.4041858123523159
162,-0.6429877848579963
163,-1.0273685315286971
164,-0.8554917596289928
165,-0.38846627476570794
166,-0.5570137292519934
167,-0.6898890139969092
168,-0.8786793715796135
169,-0.8180733997748018
170,-0.42166667855680773
171,-0.8012408337515378
172,-0.6712221490434467
173,-1.083988857436164
174,-0.4877049962219957
175,-1.3057885800122428
176,-0.6119318692414684
177,-0.4573985732224448
178,-0.9161371744006965
179,-0.7081024888146235
180,-0.9677181408536824
181,-1.282169980401005
182,-0.6526632079746901
183,-0.7617616765018418
184,-1.166380855122993
185,-0.6472681751463198
186,-0.6518662284161099
187,-0.33028812893086856
188,-0.6725552599598776
189,-0.7542507084232906
190,-0.7650062531243433
191,-0.813977932881826
192,-0.8578192425086373
193,-0.9631250264006277
194,-0.7959649288068469
195,-1.2652579171242215
196,-0.5655832165054446
197,-0.8928220855694138
198,-0.44827904571791355
