TargetRowID,TechnicalBaselinePrediction_C,FullPipelinePrediction_C,ReconstructedPrediction_C,AdditivityDifference_C
1,38.6848807263822,38.321312720517,38.321312720517,0.0
2,38.2857459781361,38.2571302645266,38.2571302645266,0.0
3,38.6828024744819,38.2467939016004,38.2467939016004,0.0
4,38.6824175419294,38.2493474297563,38.2493474297563,0.0
5,38.3017124399135,38.3362073538058,38.3362073538058,0.0
6,38.2886663659261,38.2744920665125,38.2744920665125,0.0
7,38.303369148603,38.394230343705,38.394230343705,0.0
8,38.6826352792508,38.3980894820123,38.3980894820123,0.0
9,38.2889890548965,38.396334942742,38.396334942742,0.0
15,38.6865711620344,38.9592625886192,38.9592625886192,0.0
16,38.2874159968763,38.9471658999811,38.9471658999811,0.0
17,38.6854097676478,38.7846827505995,38.7846827505995,0.0
18,38.290421822212,38.7738640794102,38.7738640794102,0.0
19,38.2867209631881,38.6829754177152,38.6829754177152,0.0
20,38.2895821365267,38.6636499674354,38.6636499674354,0.0
21,38.2855024366761,38.5170737154249,38.5170737154249,0.0
22,38.2852084995937,38.5171922917077,38.5171922917077,0.0
23,38.3026234495007,38.4742352266472,38.4742352266472,0.0
24,38.682569765729,38.477683718633,38.477683718633,0.0
25,38.3022670261608,38.3790664158204,38.3790664158204,0.0
26,38.2887677924434,38.3792375510056,38.3792375510056,0.0
27,38.6824767831238,38.4270739301514,38.4270739301514,0.0
28,38.6820621518365,38.4272946573222,38.4272946573222,0.0
29,38.2846656481531,38.291386897621,38.291386897621,0.0
30,38.3012443168366,38.2860881229994,38.2860881229994,0.0
31,38.6822410097766,38.4817009739044,38.4817009739044,0.0
32,38.3010527762341,38.4863022661092,38.4863022661092,0.0
33,38.6849331105769,38.9690325321246,38.9690325321246,0.0
34,38.6832030585402,38.972834095992,38.972834095992,0.0
35,38.6840187691921,38.5101666136349,38.5101666136349,0.0
36,38.681205625369,38.4915635117091,38.4915635117091,0.0
37,38.301493107608,38.0337497405622,38.0337497405622,0.0
38,38.2851142836563,38.0136104993445,38.0136104993445,0.0
