FeatureGroup,MeanAbsSHAP_C,MeanSignedSHAP_C,MedianAbsSHAP_C,P90AbsSHAP_C
CowID_raw,0.6577542921276877,0.5560728515155644,0.5522241355083415,1.433876588371884
Time,0.1101377363871477,0.0901742901233427,0.0864804085248026,0.249455958099397
Ear,0.0383574149012155,0.0147471493945783,0.0230277402707669,0.0931435928956997
Air,0.0378121976596907,0.012058835777053,0.0187298773896307,0.1035620303218686
