TargetRowID,CowID,Ear,Air,Time,EarAirGap,SHAP_Ear,SHAP_Air,SHAP_Time,SHAP_CowID
1,0,30.0,13.1,11,16.9,-0.1757071027924161,-0.1811979395596328,0.0614662115436169,-0.0681291750567651
2,0,30.4,16.0,12,14.4,-0.1712775582194741,0.1752902355382589,0.0101477705921594,-0.0427761615204413
3,0,31.5,18.3,13,13.2,-0.1203308814832103,-0.0895412776000921,-0.1015830138116437,-0.1245533999865588
4,0,32.6,20.8,14,11.8,0.1228034202959176,-0.2104412548262833,-0.2341418284027661,-0.1112904492399664
5,0,32.8,22.0,15,10.8,0.0312279121393667,-0.0045620534069013,0.0574861204527815,-0.0496570652929513
6,0,28.1,13.4,21,14.7,-0.0975495256995166,-0.0777667918490318,0.2372407148553179,-0.0760986967203661
7,0,29.3,11.8,22,17.5,-0.2290715970441906,0.0845459851872428,0.3027026693598079,-0.0673158624008595
8,0,29.2,10.9,23,18.3,-0.2948278362932749,-0.1070217157614586,0.1950889409861412,-0.0777851861699083
9,0,28.6,10.9,24,17.7,0.0224074232180508,0.0801197831562502,0.0901319835816352,-0.0853133021104319
15,10,31.4,5.4,0,26.0,0.0595292730644499,0.0415348908710508,0.1718315165212326,-0.0002042538719339
16,10,31.4,5.4,0,26.0,0.3028003939039175,0.158621851930351,0.1838423426948345,0.0144853145756999
17,10,33.3,6.1,11,27.2,0.0057907602075003,0.0041339986632831,0.1166306828034186,-0.0272824587224989
18,10,33.3,6.1,11,27.2,-0.0250645562796657,0.102714282133118,0.4287489911790173,-0.0229564598342637
19,10,31.8,6.9,12,24.9,0.0719063378094411,0.1037968142769898,0.166290737847941,0.0542605645927238
20,10,31.8,6.9,12,24.9,0.0684613711161592,0.116195713255174,0.1798381744078915,0.0095725721294754
21,10,33.6,6.8,12,26.8,0.1233438061979512,0.0744356875676833,-0.0094594588360337,0.0432512438192015
22,10,33.6,6.8,12,26.8,0.1225726789206736,0.0741013108114939,-0.0091382669817091,0.0444480693635422
23,10,33.3,9.3,13,24.0,-0.0820569317079075,0.0251452336312751,0.200075592966509,0.0284478822566255
24,10,33.3,9.3,13,24.0,0.1159900010969181,-0.0446826543100821,-0.2269761023763834,-0.0492172915064491
25,10,33.6,8.0,13,25.6,-0.101019338079651,0.0485292777220832,0.1158194059670331,0.0134700440501328
26,10,33.6,8.0,13,25.6,-0.0871542567686252,0.0498951333627069,0.127371734604227,0.0003571473638916
27,10,33.1,11.2,14,21.9,0.059922477564268,-0.1740080341421694,-0.1111212496404518,-0.030196046754049
28,10,33.1,11.2,14,21.9,0.0602273058306508,-0.1725191268822001,-0.1111212496404666,-0.0313544238222813
29,10,33.9,11.2,15,22.7,0.0455565290621511,-0.0660731263380493,0.0248174859876672,0.002420360756132
30,10,33.9,11.2,15,22.7,0.0304538467641671,-0.0689340723818651,0.0226866878496322,0.0006373439308659
31,10,36.4,9.1,15,27.3,-0.1417306596509314,-0.0021376572833329,0.0007726497180519,-0.0574443686559818
32,10,36.4,9.1,15,27.3,0.1210273207162586,0.0394269685893569,0.0332968892160406,-0.0085016886465586
33,10,32.0,9.0,19,23.0,0.0957045153274756,0.0484173455153591,0.1803885143442093,-0.0404109536393431
34,10,32.0,9.0,19,23.0,0.0946179514471001,0.062136207093267,0.1782177166193819,-0.045340837707951
35,10,32.0,6.0,21,26.0,-0.3432784865476487,0.0043973135839164,0.1984453301549488,-0.0334163127484157
36,10,32.0,6.0,21,26.0,-0.34303850820924,-0.0011843256321585,0.1984140600147909,-0.0438333398332927
37,10,33.7,5.5,23,28.2,-0.0299051220738662,-0.0535322387207669,-0.1486490891254839,-0.0356569171256856
38,10,33.7,5.5,23,28.2,-0.0309395378121841,-0.0550085227934644,-0.1590370971449329,-0.0265186265612153
39,11,32.9,5.4,0,27.5,-0.3927237109981754,-0.1126390839158085,-0.0227270892188927,0.0545213277296756
40,11,32.9,5.4,0,27.5,-0.2025668074341643,-0.2090689305691846,-0.1020269748226011,0.0821662609933492
41,11,30.8,6.1,11,24.7,0.2402196112203434,0.1295362527777399,0.2852272552257252,0.169101570193091
42,11,30.8,6.1,11,24.7,0.114322647751892,0.2053550273210618,0.7264989837685576,0.1447454141369905
43,11,33.1,5.0,11,28.1,0.1155637269039662,0.0897380194656995,0.4725114475452165,0.1461119575604185
44,11,33.1,5.0,11,28.1,0.0550959939874005,0.0281086451982825,0.1946413485625306,0.1413596759996818
45,11,34.2,6.9,12,27.3,0.1437860449770654,0.0112870418717161,-0.0442499336481324,0.1364901154270506
46,11,34.2,6.9,12,27.3,-0.1828725216019915,-0.0446463278378749,-0.005247368653442,0.0807131475901083
47,11,36.2,6.8,12,29.4,0.5626612607287587,0.1493775976878915,0.1152562326386738,0.1685723341497743
48,11,36.2,6.8,12,29.4,0.1622995912671084,0.127219875553474,0.2232088629891251,0.0869427692660913
49,11,32.8,8.0,13,24.8,0.1489064120557313,0.1576482745924832,0.0576906237704655,0.1510960583784151
50,11,32.8,8.0,13,24.8,0.1227455942164249,0.2426668086105584,0.3631374337158082,0.1839053057348092
51,11,33.9,9.3,13,24.6,0.1002487979555664,0.057953742689083,0.2011023002717328,0.1638386930131166
52,11,33.9,9.3,13,24.6,0.0960332434708828,0.0731271628944648,0.1865249391228325,0.1480085393127155
53,11,36.2,8.8,14,27.4,0.5645880203521585,-0.0017781895707091,-2.1342629392388325e-05,0.1401109769621431
54,11,36.2,8.8,14,27.4,0.5500434020456417,-0.001516599112507,4.934372706581295e-06,0.1680934053134587
55,11,36.0,9.1,15,26.9,0.2323922693704331,0.0923715993812669,0.1556260805337685,0.127915428466137
56,11,36.0,9.1,15,26.9,0.1153197797699772,-0.0035917193545422,6.585759209206306e-05,0.1223848254452744
57,11,33.7,9.0,19,24.7,0.6399446754018243,0.2644888236138083,0.6163307891646573,0.2029599310526091
58,11,33.7,9.0,19,24.7,0.6364114065986417,0.2643481105393928,0.614408483513707,0.1839056715051577
59,11,32.6,6.0,21,26.6,0.2404485914996931,0.1309260019492596,0.54979895926759,0.1065238770873578
60,11,32.6,6.0,21,26.6,0.2305364564028504,0.1271356998880168,0.5492902423394496,0.1069350944866827
61,11,33.2,5.4,22,27.8,0.0772379188488923,0.2533369482133079,0.798668136038024,0.1778424250409755
62,11,33.2,5.4,22,27.8,0.0655039948010246,0.2333445002319744,0.8287277903255597,0.1817382218550409
63,11,33.5,5.5,23,28.0,0.3480938134034226,0.1236751444333747,0.2845265444280252,0.1749004556183748
64,11,33.5,5.5,23,28.0,0.3549078840377847,0.1269121541736512,0.2852644269470848,0.1573251591410856
65,12,31.8,5.4,0,26.4,-0.1738583147910676,0.01091579060488,0.0197314434560667,-0.067333787744585
