SelectedSeed,RecordID,MedianSeedPredicted_C,PredictionRank,EnsembleWeight
20260523,MEAS_R000001,38.28416427221576,3,1.0
20260903,MEAS_R000002,38.203166793753695,3,1.0
20260607,MEAS_R000003,38.19038552558712,3,1.0
20260607,MEAS_R000004,38.1890721012592,3,1.0
20260523,MEAS_R000005,38.23929410248645,3,1.0
20260607,MEAS_R000006,38.332940183822224,3,1.0
20260607,MEAS_R000007,38.21965696754368,3,1.0
20260811,MEAS_R000008,38.20378301792219,3,1.0
20260811,MEAS_R000009,38.24756507879125,3,1.0
20260811,MEAS_R000010,38.53230713981594,3,1.0
20260701,MEAS_R000011,38.55884951596989,3,1.0
20260523,MEAS_R000012,38.48979091960168,3,1.0
20260607,MEAS_R000013,38.50923317470524,3,1.0
20260523,MEAS_R000014,38.46813750456423,3,1.0
20260523,MEAS_R000015,38.4743731156197,3,1.0
20260523,MEAS_R000016,38.46088448809713,3,1.0
20260903,MEAS_R000017,38.49375846830409,3,1.0
20260523,MEAS_R000018,38.51672752346851,3,1.0
20260811,MEAS_R000019,38.574467859589305,3,1.0
20260811,MEAS_R000020,38.74459719497534,3,1.0
20260903,MEAS_R000021,38.63568394799033,3,1.0
20260701,MEAS_R000022,39.13096977848674,3,1.0
20260701,MEAS_R000023,39.06691837786867,3,1.0
20260701,MEAS_R000024,39.1446313610854,3,1.0
20260523,MEAS_R000025,39.05013981223831,3,1.0
20260701,MEAS_R000026,38.97382488358415,3,1.0
20260701,MEAS_R000027,39.012800075942096,3,1.0
20260607,MEAS_R000028,38.95127278281427,3,1.0
20260701,MEAS_R000029,38.96493319853481,3,1.0
20260811,MEAS_R000030,39.04945387510666,3,1.0
20260607,MEAS_R000031,39.221920073099845,3,1.0
20260903,MEAS_R000032,39.30717626107811,3,1.0
20260903,MEAS_R000033,39.16224619353821,3,1.0
20260701,MEAS_R000034,39.31119063570729,3,1.0
20260811,MEAS_R000035,38.39980015193501,3,1.0
20260811,MEAS_R000036,38.36201141642152,3,1.0
20260903,MEAS_R000037,38.306016222403294,3,1.0
20260811,MEAS_R000038,38.26787787227097,3,1.0
20260811,MEAS_R000039,38.28979243966296,3,1.0
20260607,MEAS_R000040,38.27305987053797,3,1.0
20260811,MEAS_R000041,38.27072096624463,3,1.0
20260607,MEAS_R000042,38.280337880858205,3,1.0
20260523,MEAS_R000043,38.42805913028835,3,1.0
20260903,MEAS_R000044,38.43534321650056,3,1.0
20260701,MEAS_R000045,38.56276610811963,3,1.0
20260811,MEAS_R000046,38.345999580330215,3,1.0
20260811,MEAS_R000047,38.3186189388211,3,1.0
20260523,MEAS_R000048,38.45744118965826,3,1.0
20260701,MEAS_R000049,38.32583044181863,3,1.0
20260811,MEAS_R000050,38.16337994336986,3,1.0
20260811,MEAS_R000051,38.21336837808966,3,1.0
20260523,MEAS_R000052,38.172612603332055,3,1.0
20260607,MEAS_R000053,38.19855093859638,3,1.0
20260701,MEAS_R000054,38.20459339238616,3,1.0
20260701,MEAS_R000055,38.17875770373334,3,1.0
20260903,MEAS_R000056,38.17825164593397,3,1.0
20260523,MEAS_R000057,38.370069073889056,3,1.0
20260903,MEAS_R000058,38.26085083510176,3,1.0
20260523,MEAS_R000059,38.25241565769213,3,1.0
20260523,MEAS_R000060,38.19551840281464,3,1.0
20260523,MEAS_R000061,38.93581047896491,3,1.0
20260523,MEAS_R000062,38.87554600714214,3,1.0
20260607,MEAS_R000063,39.919430514499815,3,1.0
20260811,MEAS_R000064,38.66638088017872,3,1.0
20260811,MEAS_R000065,38.69978099644637,3,1.0
20260523,MEAS_R000066,38.67149809482635,3,1.0
20260607,MEAS_R000067,38.69323931396333,3,1.0
20260701,MEAS_R000068,38.80733756477122,3,1.0
20260811,MEAS_R000069,38.73774061794429,3,1.0
20260701,MEAS_R000070,38.95095026443894,3,1.0
20260701,MEAS_R000071,38.99044776009627,3,1.0
20260607,MEAS_R000072,38.98416579854637,3,1.0
20260811,MEAS_R000073,38.63323171753824,3,1.0
20260701,MEAS_R000074,38.6388147024368,3,1.0
20260523,MEAS_R000075,38.58485454538234,3,1.0
20260811,MEAS_R000076,38.7595483230013,3,1.0
20260811,MEAS_R000077,38.763540433481225,3,1.0
20260701,MEAS_R000078,38.67392221962339,3,1.0
20260811,MEAS_R000079,38.734075779691146,3,1.0
20260701,MEAS_R000080,38.6557088664675,3,1.0
20260523,MEAS_R000081,38.6344145942498,3,1.0
20260523,MEAS_R000082,38.56706193054092,3,1.0
20260903,MEAS_R000083,38.55843806382964,3,1.0
20260701,MEAS_R000084,38.50469413472642,3,1.0
20260701,MEAS_R000085,38.44785529455858,3,1.0
20260523,MEAS_R000086,38.68907333177586,3,1.0
20260903,MEAS_R000087,38.8824102210488,3,1.0
20260811,MEAS_R000088,38.65883484320667,3,1.0
20260811,MEAS_R000089,38.422021963000645,3,1.0
20260903,MEAS_R000090,38.31777963133626,3,1.0
20260607,MEAS_R000091,38.47284873307486,3,1.0
20260701,MEAS_R000092,38.53649365696457,3,1.0
20260701,MEAS_R000093,38.43270307893928,3,1.0
20260903,MEAS_R000094,38.51755239491003,3,1.0
20260607,MEAS_R000095,38.48604966164369,3,1.0
20260811,MEAS_R000096,38.37264100492538,3,1.0
20260811,MEAS_R000097,38.349995945455774,3,1.0
20260607,MEAS_R000098,38.60778592700649,3,1.0
20260701,MEAS_R000099,38.428889802633776,3,1.0
20260903,MEAS_R000100,38.44459143431168,3,1.0
20260811,MEAS_R000101,38.45424391259132,3,1.0
20260607,MEAS_R000102,38.36318433144928,3,1.0
20260607,MEAS_R000103,38.33679545673239,3,1.0
20260607,MEAS_R000104,38.22786300771914,3,1.0
20260903,MEAS_R000105,38.32472031694071,3,1.0
20260701,MEAS_R000106,38.1043841766802,3,1.0
20260523,MEAS_R000107,38.07633875932123,3,1.0
20260607,MEAS_R000108,38.17166639568383,3,1.0
20260523,MEAS_R000109,38.13325831082927,3,1.0
20260701,MEAS_R000110,38.15475444500058,3,1.0
20260811,MEAS_R000111,38.1147753458541,3,1.0
20260811,MEAS_R000112,38.43920586951219,3,1.0
20260811,MEAS_R000113,38.45389509373629,3,1.0
20260607,MEAS_R000114,38.374086271061294,3,1.0
20260903,MEAS_R000115,38.57597676179018,3,1.0
20260607,MEAS_R000116,38.994140447269245,3,1.0
20260523,MEAS_R000117,39.16966388038293,3,1.0
20260811,MEAS_R000118,38.80622540911842,3,1.0
20260701,MEAS_R000119,38.90863413744387,3,1.0
20260811,MEAS_R000120,38.93924676698183,3,1.0
20260607,MEAS_R000121,38.921226270008844,3,1.0
20260811,MEAS_R000122,38.92602258249424,3,1.0
20260811,MEAS_R000123,38.953036099359295,3,1.0
20260903,MEAS_R000124,38.91913710434464,3,1.0
20260523,MEAS_R000125,38.92724126909148,3,1.0
20260903,MEAS_R000126,39.23011069601368,3,1.0
