Seed,RecordID,RowID,CowKey,Ear_C,Air_C,Time_hour,EarAirGap_C,SHAP_Ear_temperature_C,SHAP_Ambient_temperature_C,SHAP_Time_diurnal_C,SHAP_Cow_identity_C,TechnicalBaselinePrediction_C,ConditionalFullPipelinePrediction_C,ReconstructedPrediction_C,AdditivityDifference_C,OfficialOOFPrediction_C,ConditionalVsOfficialDifference_C,RawTechnicalBaselinePrediction_C,RawFullPipelinePrediction_C,ReplayAnchorCorrection_C
20260701,MEAS_R000011,11,C003,33.3,6.1,11,27.2,0.0414866299008748,0.0356416140037545,0.138087668666407,0.273493257892358,38.0701403455065,38.55884951596989,38.55884951596989,0.0,38.55884951596989,0.0,38.0852356324442,38.5739448029076,-0.0150952869377079
20260523,MEAS_R000012,12,C003,31.8,6.9,12,24.9,0.0269692942908991,0.0029284734780314,-0.0054189217651827,0.375991879751451,38.0893201938465,38.48979091960168,38.489790919601695,1.4210854715202004e-14,38.48979091960168,0.0,38.0905863750676,38.4910571008228,-0.0012661812211192
20260607,MEAS_R000013,13,C003,33.6,6.8,12,26.8,0.0152071992858739,0.0094238960523422,0.0073145282113908,0.28700559209749,38.1902819590581,38.50923317470524,38.509233174705194,-4.263256414560601e-14,38.50923317470524,0.0,38.190824757675,38.5097759733221,-0.0005427986168626
20260523,MEAS_R000014,14,C003,33.3,9.3,13,24.0,0.0105100327979937,0.0081500753306915,-0.0056195909704429,0.344555718343759,38.1105412690622,38.46813750456423,38.468137504564204,-2.842170943040401e-14,38.46813750456423,0.0,38.1110217282882,38.4686179637902,-0.0004804592259759
20260523,MEAS_R000015,15,C003,33.6,8.0,13,25.6,0.0147037030159668,0.0051351913833327,-0.0057246471849327,0.371862421880634,38.0883964465247,38.4743731156197,38.4743731156197,0.0,38.4743731156197,0.0,38.0887531868414,38.4747298559364,-0.0003567403167039
20260523,MEAS_R000016,16,C003,33.1,11.2,14,21.9,0.0127931408852167,-0.0003518631504508,-0.008282473847433,0.342825657103968,38.1139000271058,38.46088448809713,38.4608844880971,-2.842170943040401e-14,38.46088448809713,0.0,38.1111247327538,38.4581091937451,0.0027752943520269
20260903,MEAS_R000017,17,C003,33.9,11.2,15,22.7,0.0068560134094592,-1.79934558743137e-05,1.80668220419733e-05,0.457261965436076,38.0296404160924,38.49375846830409,38.4937584683041,1.4210854715202004e-14,38.49375846830409,0.0,38.0300341510439,38.4941522032556,-0.0003937349515155
20260523,MEAS_R000018,18,C003,36.4,9.1,15,27.3,0.0278008571690661,0.0106657272930478,-0.0005762070520661,0.27113102287635,38.2077061231821,38.51672752346851,38.5167275234685,-1.4210854715202004e-14,38.51672752346851,0.0,38.2124790841776,38.521500484464,-0.0047729609954885
20260811,MEAS_R000019,19,C003,32.0,9.0,19,23.0,0.032277700327515,-0.0022244878831821,0.105821686539767,-0.0025471187412981,38.4411400793465,38.574467859589305,38.574467859589305,0.0,38.574467859589305,0.0,38.4429205760377,38.5762483562805,-0.0017804966911967
20260811,MEAS_R000020,20,C003,32.0,6.0,21,26.0,0.0705546109368272,0.0278188030602913,0.383446919319342,0.139221546044044,38.1235553156148,38.74459719497534,38.7445971949753,-4.263256414560601e-14,38.74459719497534,0.0,38.1264843550565,38.747526234417,-0.0029290394416605
20260903,MEAS_R000021,21,C003,33.7,5.5,23,28.2,0.0087548149675325,0.0085824659007336,0.142942014093167,0.243035523482065,38.2323691295468,38.63568394799033,38.63568394799029,-4.263256414560601e-14,38.63568394799033,0.0,38.2245914232045,38.627906241648,0.0077777063423312
20260701,MEAS_R000022,22,C002,32.9,5.4,0,27.5,0.00460535426699,0.0011919169088917,0.162961530413324,0.497508675315089,38.4647023015824,39.13096977848674,39.1309697784867,-3.552713678800501e-14,39.13096977848674,0.0,38.4920910235514,39.1583585004557,-0.0273887219689541
20260701,MEAS_R000023,23,C002,30.8,6.1,11,24.7,0.0445482078863263,0.0221422770824914,0.173241222402211,0.632492741191576,38.1944939293061,39.06691837786867,39.06691837786871,4.263256414560601e-14,39.06691837786867,0.0,38.1979896131994,39.070414061762,-0.0034956838933339
20260701,MEAS_R000024,24,C002,33.1,5.0,11,28.1,0.0327750240639831,0.026907237311983,0.117527861325633,0.891074760901499,38.0763464774823,39.1446313610854,39.144631361085395,-7.105427357601002e-15,39.1446313610854,0.0,38.0843932434941,39.1526781270972,-0.0080467660117946
20260523,MEAS_R000025,25,C002,34.2,6.9,12,27.3,0.0201594133564444,0.0123826948766101,-0.0076647794824928,0.923019065612942,38.1022434178748,39.05013981223831,39.05013981223831,0.0,39.05013981223831,0.0,38.1058637966504,39.0537601910139,-0.0036203787755937
20260701,MEAS_R000026,26,C002,36.2,6.8,12,29.4,0.0467428201455646,0.0325557975730337,-0.0005468804400165,0.701015055585115,38.1940580907205,38.97382488358415,38.9738248835842,4.973799150320701e-14,38.97382488358415,0.0,38.1962178333357,38.9759846261994,-0.0021597426152482
20260701,MEAS_R000027,27,C002,32.8,8.0,13,24.8,0.0875194242256262,0.0301970666679766,-0.0119069855121238,0.805260641283426,38.1017299292772,39.012800075942096,39.012800075942096,0.0,39.012800075942096,0.0,38.1103368357377,39.0214069824026,-0.0086069064605069
20260607,MEAS_R000028,28,C002,33.9,9.3,13,24.6,0.0478822327245171,0.0012930020963975,-0.0092505810469513,0.511412097153932,38.3999360318864,38.95127278281427,38.95127278281429,2.1316282072803006e-14,38.95127278281427,0.0,38.398752358849,38.9500891097769,0.0011836730373744
20260701,MEAS_R000029,29,C002,36.2,8.8,14,27.4,0.0582531330783678,0.0508415798528006,-0.0075704244304001,0.719682064660334,38.1437268453737,38.96493319853481,38.9649331985348,-7.105427357601002e-15,38.96493319853481,0.0,38.1466273970428,38.9678337502039,-0.0029005516690929
20260811,MEAS_R000030,30,C002,36.0,9.1,15,26.9,0.0139865887501844,0.0223764368811672,0.0001764872731821,0.535617983944568,38.4772963782576,39.04945387510666,39.0494538751067,4.263256414560601e-14,39.04945387510666,0.0,38.4739705534651,39.0461280503142,0.003325824792455
