FeatureGroup,MeanAbsSHAP_C,MeanSignedSHAP_C,MedianAbsSHAP_C,P90AbsSHAP_C,Rank_by_MeanAbsSHAP
Cow_identity,0.6577542921276877,0.5560728515155644,0.5522241355083415,1.433876588371884,1
Time_diurnal,0.11013773638714777,0.09017429012334276,0.08648040852480265,0.24945595809939702,2
Ear_temperature,0.03835741490121553,0.014747149394578312,0.02302774027076695,0.09314359289569975,3
Ambient_temperature,0.037812197659690794,0.012058835777053023,0.0187298773896307,0.10356203032186861,4
