"Scope","Source","N","CowCount","R2","RMSE","MAE","Bias","ErrorSD"
"ALL","ALL",520,30,0.819595309082761,0.323978699832795,0.200585223046193,-0.013563396002493,0.324006353448133
"SOURCE","S01",520,30,0.819595309082761,0.323978699832795,0.200585223046193,-0.013563396002493,0.324006353448133
