"FoldID","Model","Source","N","R2","RMSE","MAE","Bias"
1,"StrictHierarchicalEBResidualXGB","ALL",117,0.900061716823031,0.244442184954877,0.161389543366492,-0.0328177407767695
1,"StrictHierarchicalEBResidualXGB","S01",117,0.900061716823031,0.244442184954877,0.161389543366492,-0.0328177407767695
2,"StrictHierarchicalEBResidualXGB","ALL",122,0.801343232958349,0.334608211094477,0.1732548119063,0.0356350279143779
2,"StrictHierarchicalEBResidualXGB","S01",122,0.801343232958349,0.334608211094477,0.1732548119063,0.0356350279143779
3,"StrictHierarchicalEBResidualXGB","ALL",90,0.829192788615489,0.313736358025622,0.189761851656739,-0.042059533957082
3,"StrictHierarchicalEBResidualXGB","S01",90,0.829192788615489,0.313736358025622,0.189761851656739,-0.042059533957082
4,"StrictHierarchicalEBResidualXGB","ALL",90,0.806655604467524,0.325492441005124,0.195760647589421,-0.0133189696649123
4,"StrictHierarchicalEBResidualXGB","S01",90,0.806655604467524,0.325492441005124,0.195760647589421,-0.0133189696649123
5,"StrictHierarchicalEBResidualXGB","ALL",101,0.845374868669436,0.307283320767098,0.168381768672621,-0.00338045404019583
5,"StrictHierarchicalEBResidualXGB","S01",101,0.845374868669436,0.307283320767098,0.168381768672621,-0.00338045404019583
