"RecordID","RowID","CowKey","Ear_C","Air_C","Time_hour","EarAirGap_C","SHAP_Ear_temperature_C","SHAP_Ambient_temperature_C","SHAP_Time_diurnal_C","SHAP_Cow_identity_C","TechnicalBaselinePrediction_C","ConditionalFullPipelinePrediction_C","ReconstructedPrediction_C","AdditivityDifference_C","OfficialOOFPrediction_C","ConditionalVsOfficialDifference_C"
"TEMP_R000997",997,"C017",34.4,30.1,1,4.3,-0.0667891701639422,0.336656507333192,0.106702252343594,0.681959570347058,38.8794665769247,39.9379957367846,39.9379957367846,0,39.966278601643,-0.0282828648584399
"TEMP_R000998",998,"C017",31.5,30,12,1.5,-0.141967665451058,0.256673319496377,-0.0205156179301742,0.37076949522666,38.6672883716033,39.1322479029451,39.1322479029451,0,39.1310975158856,0.00115038705950354
"TEMP_R001000",1000,"C017",36.1,33.9,14,2.2,-0.0183868571822649,0.0921166104927185,-0.0723371913996669,0.233557682151716,38.724437647542,38.9593878916045,38.9593878916045,0,38.9428774591025,0.016510432502038
"TEMP_R001002",1002,"C017",36.6,34.5,18,2.1,0.0380367242842343,0.0761966566804002,0.0233770376111853,0.444928327729782,38.8918540333243,39.4743927796299,39.4743927796299,0,39.4692871230674,0.00510565656249184
"TEMP_R001003",1003,"C017",35.9,33,19,2.9,-0.183919135678533,0.320936371491283,0.0181021299559845,0.416080989486267,38.8214432546912,39.3926436099462,39.3926436099462,0,39.3719100254379,0.0207335845083279
