"FoldID","RowID","Source","AbsResidual"
1,997,"S01",0.133721398356961
1,1005,"S01",0.0240875244391602
1,1006,"S01",0.033458759871813
1,1010,"S01",0.106661900130994
1,1013,"S01",0.183918498462653
1,1015,"S01",0.109901468099224
1,1024,"S01",0.287692593177653
1,1027,"S01",0.123251052907648
1,1029,"S01",0.096187456266378
1,1031,"S01",0.0387353804018388
1,1040,"S01",0.0930925214460813
1,1044,"S01",0.356759249616964
1,1049,"S01",0.269230423811223
1,1055,"S01",0.286141459909871
1,1058,"S01",0.703494800294948
1,1063,"S01",0.0963701067393429
1,1065,"S01",0.311432505251155
1,1069,"S01",0.217103818237625
1,1074,"S01",0.11882030234473
1,1077,"S01",0.415903504022836
1,1085,"S01",0.167970032468425
1,1086,"S01",0.606955620530329
1,1087,"S01",0.395934459858324
1,1091,"S01",0.0281955576476207
1,1104,"S01",0.210597039353054
1,1105,"S01",0.151429784170254
1,1113,"S01",0.36888286299591
1,1121,"S01",0.50404820797651
1,1123,"S01",0.0229207034057381
1,1125,"S01",0.289215197773139
1,2,"S03",0.060953446363662
1,6,"S03",0.0415492335976424
1,19,"S03",0.0187821998133017
1,21,"S03",0.109484393243505
1,22,"S03",0.108225584785849
1,29,"S03",0.0574580274064828
1,38,"S03",0.0233973318109548
1,43,"S03",0.0168203261415058
1,47,"S03",0.0147304057308303
1,50,"S03",0.0040236337723342
1,54,"S03",0.0075646534663817
1,57,"S03",0.0166608149801064
1,63,"S03",0.027580793054426
1,65,"S03",0.0254908875778028
1,75,"S03",0.145700039002563
1,76,"S03",0.149320174337234
1,79,"S03",0.0546170458539307
1,86,"S03",0.0129247821502431
1,91,"S03",0.027737749641794
1,102,"S03",0.0282020946334142
1,103,"S03",0.0153497854124324
1,109,"S03",0.0152299138202636
1,113,"S03",0.0293032013601646
1,115,"S03",0.0367506898456753
1,117,"S03",0.0098636212430278
1,131,"S03",0.020739356011866
1,135,"S03",0.0504821872616716
1,136,"S03",0.0682487351520393
1,138,"S03",0.0326231282878595
1,143,"S03",0.0014114827647091
1,151,"S03",0.663532359079866
1,152,"S03",0.663414923850141
1,157,"S03",0.0296318224012495
1,166,"S03",0.0354728972244089
1,169,"S03",0.0358288872591572
1,171,"S03",0.0086742385579015
1,176,"S03",0.0059944077387541
1,180,"S03",0.0039817359087308
1,185,"S03",0.045950774275127
