"FoldID","RowID","Source","AbsResidual"
1,997,"S01",0.133721398356961
2,1002,"S01",0.169287123067413
3,1003,"S01",0.271910025437869
4,1000,"S01",0.257122540897541
5,998,"S01",0.231097515885601
