FoldID,OuterTrainN,OuterTestN,SelectedLambda,InnerRMSE,InnerR2,InnerMAE,Intercept,WeightSourceMemory,WeightBatchSession,WeightHierarchicalResidual
1,393,127,1.0,0.3042143954688759,0.8379892254091574,0.17005415456347323,-0.2353737572557293,-0.03334274382177682,0.17594391501916107,0.8627800116810249
2,399,121,1.0,0.30349128941838666,0.8409220338733663,0.17889331665681493,-0.6889253106783144,0.15237437753239647,0.4804951383994194,0.38462589353730436
3,423,97,10.0,0.30962449416343785,0.841452463852938,0.1693932213455116,-0.6703624885994941,0.2011507669394632,0.3964622243620397,0.419677571808279
4,427,93,1.0,0.31008733981448444,0.8337580656436608,0.1674234548758408,-0.864473575114971,0.09409008336660918,0.38267535268096253,0.5454161105735693
5,438,82,1.0,0.3196212427744408,0.8219950922037158,0.17805941038959094,-0.9768670771154575,0.10636615660769166,0.4058296478469856,0.5123164177493891
