RecordID,Ear,Air,Actual,Predicted
MEAS_R000110,33.2,8.8,38.0,38.15475444500058
MEAS_R000111,33.5,11.2,38.0,38.1147753458541
MEAS_R000112,32.1,9.0,39.0,38.43920586951219
MEAS_R000113,31.2,6.0,39.2,38.45389509373629
MEAS_R000114,31.5,5.4,38.8,38.374086271061294
MEAS_R000115,31.0,5.5,38.4,38.57597676179018
MEAS_R000116,30.7,5.4,38.3,38.994140447269245
MEAS_R000117,30.4,5.0,38.3,39.16966388038293
MEAS_R000118,32.6,6.1,39.4,38.80622540911842
MEAS_R000119,31.7,6.9,39.2,38.90863413744387
MEAS_R000120,33.2,6.8,39.0,38.93924676698183
MEAS_R000121,32.8,9.3,38.8,38.921226270008844
MEAS_R000122,33.0,8.0,38.9,38.92602258249424
MEAS_R000123,33.7,8.8,38.6,38.953036099359295
MEAS_R000124,32.4,11.2,39.1,38.91913710434464
MEAS_R000125,35.3,9.1,39.0,38.92724126909148
MEAS_R000126,32.1,9.0,39.1,39.23011069601368
MEAS_R000127,33.5,6.0,39.9,39.04730436558757
MEAS_R000128,33.8,5.4,39.4,39.084395173839376
MEAS_R000129,33.3,5.5,39.3,39.13139197864812
MEAS_R000130,28.2,13.1,38.1,38.23450038897976
MEAS_R000131,30.2,16.0,38.0,38.09940857770664
MEAS_R000132,30.8,18.3,37.9,38.125311975106186
MEAS_R000133,31.9,20.8,38.1,38.08073416569751
MEAS_R000134,32.6,22.0,38.1,38.12271842629136
MEAS_R000135,30.2,13.4,38.4,38.32401753785025
MEAS_R000136,30.7,11.8,39.1,38.19835703158087
MEAS_R000137,30.6,10.9,38.2,38.4117574320878
MEAS_R000138,29.6,10.9,38.1,38.40348456843965
MEAS_R000139,28.8,7.9,37.8,37.81600364140706
MEAS_R000140,27.6,3.5,37.6,37.61415823078586
MEAS_R000141,32.4,4.6,37.5,37.57004035585347
MEAS_R000142,30.6,9.4,37.6,37.65194033105964
MEAS_R000143,32.3,5.3,37.6,37.62034570034517
MEAS_R000144,31.2,8.8,37.5,37.580196878709
MEAS_R000145,32.9,5.5,37.6,37.66161835430108
MEAS_R000146,31.1,11.3,37.5,37.5908823678578
MEAS_R000147,31.0,8.6,37.5,37.55466557646991
MEAS_R000148,34.3,12.7,37.7,37.80268754600943
MEAS_R000149,30.1,9.5,37.7,37.719054006873
MEAS_R000150,30.6,4.5,37.6,37.7063816846527
MEAS_R000151,34.5,29.7,40.3,40.26257501351625
MEAS_R000152,36.6,36.5,40.2,40.16489906790218
MEAS_R000153,37.6,35.5,40.2,40.16903434317023
MEAS_R000154,38.6,37.4,40.2,40.187990029465695
MEAS_R000155,37.7,40.4,39.8,39.85413892185714
MEAS_R000156,39.9,38.3,40.3,40.23185814668927
MEAS_R000157,38.4,38.5,40.1,40.09057422856595
MEAS_R000158,37.3,36.7,40.3,40.216494608642655
MEAS_R000159,36.8,36.2,40.1,40.070018273812494
MEAS_R000160,37.2,37.5,40.1,40.12988398658676
MEAS_R000161,38.6,37.3,40.2,40.25629255445597
MEAS_R000162,37.2,34.8,40.3,40.28737176282005
MEAS_R000163,35.4,33.2,40.3,40.306765214885054
MEAS_R000164,33.6,2.9,38.3,38.34829996971686
MEAS_R000165,31.2,4.6,38.2,38.20697429992499
MEAS_R000166,32.1,6.5,38.1,38.11667994782451
MEAS_R000167,33.2,8.4,38.1,38.11657593059765
MEAS_R000168,36.6,9.3,38.1,38.1441347730041
MEAS_R000169,33.3,5.5,38.1,38.13263091588776
MEAS_R000170,34.3,10.8,38.1,38.12725914688117
MEAS_R000171,35.5,11.3,38.2,38.17575348820145
MEAS_R000172,35.0,9.6,38.2,38.18007928460969
MEAS_R000173,34.4,7.5,38.2,38.21207362768904
MEAS_R000174,31.6,3.5,38.3,38.28543378610041
MEAS_R000175,33.6,7.9,38.2,38.18401196052071
MEAS_R000176,27.8,6.9,40.1,39.97001328885465
MEAS_R000177,30.0,2.5,40.2,40.0979315357637
MEAS_R000178,32.0,6.6,40.3,40.24505025197847
MEAS_R000179,30.6,4.3,40.3,40.23115125278594
MEAS_R000180,31.0,5.4,40.3,40.2310464269987
MEAS_R000181,30.4,10.5,40.3,40.21752952181606
MEAS_R000182,31.7,11.8,40.2,40.13654929957802
MEAS_R000183,34.2,8.3,40.2,40.109798620563296
MEAS_R000184,32.5,11.7,40.2,40.12705085606956
MEAS_R000185,32.8,8.5,40.2,40.09283456282336
MEAS_R000186,32.2,3.5,40.2,40.15296876186318
MEAS_R000187,32.2,7.9,40.2,40.15675418447479
MEAS_R000188,30.6,3.0,40.1,40.00268270074507
MEAS_R000189,27.8,6.9,40.2,40.14459603841316
MEAS_R000190,30.4,3.9,38.8,38.80875806843834
MEAS_R000191,32.3,6.6,38.8,38.78721125879037
MEAS_R000192,30.8,4.4,38.8,38.812263217246326
MEAS_R000193,32.6,5.3,38.8,38.78816464952538
MEAS_R000194,32.9,8.8,38.8,38.75857094971322
MEAS_R000195,32.9,6.5,38.8,38.7669101220045
MEAS_R000196,32.7,11.7,38.8,38.76862085423866
MEAS_R000197,34.9,13.7,38.8,38.75602854433555
MEAS_R000198,36.0,10.6,38.8,38.78319353051002
MEAS_R000199,31.0,7.5,38.8,38.79232473380617
MEAS_R000200,32.4,7.5,38.8,38.75370817500504
MEAS_R000201,34.1,4.0,38.8,38.762340538286495
MEAS_R000202,29.2,13.6,39.4,39.382603763414345
MEAS_R000203,29.5,16.5,39.5,39.360184740985765
MEAS_R000204,31.5,16.8,39.5,39.36315615092318
MEAS_R000205,31.2,21.3,39.4,39.34331161377239
MEAS_R000206,31.9,24.5,39.4,39.371888734831295
MEAS_R000207,29.8,14.9,39.4,39.35796162027185
MEAS_R000208,31.4,14.3,39.4,39.38425430371758
MEAS_R000209,31.3,12.4,39.5,39.38200043947195
MEAS_R000210,30.0,8.4,39.4,39.40942921027592
MEAS_R000211,35.0,28.5,38.7,38.72658419037585
MEAS_R000212,37.5,32.6,38.6,38.59860480831958
MEAS_R000213,37.8,34.3,38.7,38.66805995105924
MEAS_R000214,35.5,31.2,38.6,38.59072218271349
MEAS_R000215,38.4,33.8,38.7,38.71228691822048
MEAS_R000216,37.8,33.0,38.6,38.58329894558052
MEAS_R000217,39.6,36.7,38.7,38.67479709955116
MEAS_R000218,39.0,34.2,38.6,38.59003902283588
MEAS_R000219,38.5,37.4,38.7,38.70992062422677
MEAS_R000220,38.0,32.9,38.6,38.61121467040434
MEAS_R000221,37.2,33.7,38.6,38.61352999185327
MEAS_R000222,37.3,32.3,38.6,38.5857755750245
MEAS_R000223,37.3,31.9,38.7,38.705646890433954
MEAS_R000224,38.7,32.6,38.7,38.79578096308249
MEAS_R000225,31.5,25.1,39.5,39.50936915328578
MEAS_R000226,36.8,31.0,39.5,39.43161779171739
MEAS_R000227,36.8,36.9,39.4,39.36696573295467
MEAS_R000228,38.9,41.3,39.5,39.48700013241723
MEAS_R000229,35.4,34.3,39.4,39.38655717460137
MEAS_R000230,35.7,34.8,39.5,39.50477940646744
MEAS_R000231,37.1,30.5,39.6,39.47907877189032
MEAS_R000232,34.1,25.0,39.5,39.48045560262915
MEAS_R000233,35.6,31.1,39.5,39.53024946825205
MEAS_R000234,31.6,21.1,39.5,39.53041001439894
MEAS_R000235,35.4,34.0,39.5,39.4757213695417
MEAS_R000236,36.2,36.9,39.4,39.37484126197481
MEAS_R000237,39.7,36.3,39.5,39.48485521690173
MEAS_R000238,29.7,26.0,37.8,37.83745030490542
MEAS_R000239,34.1,33.9,37.8,37.78078920371752
MEAS_R000240,35.4,31.0,37.9,37.90569985649121
MEAS_R000241,36.0,31.3,37.8,37.75042707177471
MEAS_R000242,38.4,33.6,37.9,37.91028845096068
MEAS_R000243,39.1,35.0,37.8,37.78325315602556
MEAS_R000244,34.3,33.6,38.2,38.23272282175874
MEAS_R000245,36.8,31.9,38.0,38.014087159101855
MEAS_R000246,35.4,29.3,37.8,37.84047013943663
MEAS_R000247,34.6,31.0,38.2,38.206834035636994
MEAS_R000248,33.6,31.4,37.8,37.8194126404395
MEAS_R000249,34.1,32.1,38.0,38.02411032214519
MEAS_R000250,34.0,27.5,37.8,37.82035073485833
MEAS_R000251,32.4,27.2,37.8,37.87640422054452
MEAS_R000252,34.4,30.1,40.1,39.8827874853818
MEAS_R000253,31.5,30.0,38.9,39.07702507568536
MEAS_R000254,38.1,37.8,39.4,39.17821458821589
MEAS_R000255,36.1,33.9,39.2,39.0052552296256
MEAS_R000256,38.2,37.7,39.0,39.3855728400228
MEAS_R000257,36.6,34.5,39.3,39.42844721561707
MEAS_R000258,35.9,33.0,39.1,39.431335753986886
MEAS_R000259,36.7,34.5,39.6,39.31162818129387
MEAS_R000260,36.7,34.4,39.4,39.42393153467011
MEAS_R000261,35.5,33.1,39.9,39.93882297635368
MEAS_R000262,36.0,32.9,39.3,39.46294898798658
MEAS_R000263,36.6,33.9,39.4,39.33620008278477
MEAS_R000264,35.3,32.3,40.0,39.91114325727593
