"FoldID","Model","Source","N","R2","RMSE","MAE","Bias"
1,"StrictHierarchicalEBResidualXGB","ALL",121,0.88868589762904,0.234382660573668,0.147450603171159,-0.0238468902036278
1,"StrictHierarchicalEBResidualXGB","S01",121,0.88868589762904,0.234382660573668,0.147450603171159,-0.0238468902036278
2,"StrictHierarchicalEBResidualXGB","ALL",115,0.833446348097302,0.325358806069739,0.203290851467824,-0.0103345074854843
2,"StrictHierarchicalEBResidualXGB","S01",115,0.833446348097302,0.325358806069739,0.203290851467824,-0.0103345074854843
3,"StrictHierarchicalEBResidualXGB","ALL",109,0.924344094258249,0.196513189090372,0.120011868524419,-0.0297412022372921
3,"StrictHierarchicalEBResidualXGB","S01",109,0.924344094258249,0.196513189090372,0.120011868524419,-0.0297412022372921
4,"StrictHierarchicalEBResidualXGB","ALL",92,0.829258298206272,0.326893579342872,0.186320347281282,0.0634303907747818
4,"StrictHierarchicalEBResidualXGB","S01",92,0.829258298206272,0.326893579342872,0.186320347281282,0.0634303907747818
5,"StrictHierarchicalEBResidualXGB","ALL",83,0.765445631652802,0.394295741335257,0.197838986233633,-0.0051867431135443
5,"StrictHierarchicalEBResidualXGB","S01",83,0.765445631652802,0.394295741335257,0.197838986233633,-0.0051867431135443
