"FoldID","Source","N","R2","RMSE","MAE","Bias"
1,"ALL",121,0.861370265492321,0.261564368018372,0.174265583215259,-0.0364751282098086
1,"S01",121,0.861370265492321,0.261564368018372,0.174265583215259,-0.0364751282098086
2,"ALL",115,0.798170759184025,0.358160369339038,0.242549650327543,-0.0251744206690445
2,"S01",115,0.798170759184025,0.358160369339038,0.242549650327543,-0.0251744206690445
3,"ALL",109,0.906166170514517,0.218851741352564,0.142818207651958,-0.0315721963116119
3,"S01",109,0.906166170514517,0.218851741352564,0.142818207651958,-0.0315721963116119
4,"ALL",92,0.817507938755695,0.337954766352432,0.215398962612124,0.0600922500326002
4,"S01",92,0.817507938755695,0.337954766352432,0.215398962612124,0.0600922500326002
5,"ALL",83,0.727168096097703,0.425253503628364,0.22046131538601,0.0282011891699784
5,"S01",83,0.727168096097703,0.425253503628364,0.22046131538601,0.0282011891699784
