"Scope","Source","N","CowCount","R2","RMSE","MAE","Bias","ErrorSD"
"ALL","ALL",520,30,0.822278806202877,0.321560100810503,0.197426007169484,-0.00553987035420237,0.32182196965812
"SOURCE","S01",520,30,0.822278806202877,0.321560100810503,0.197426007169484,-0.00553987035420237,0.32182196965812
