Ear_surface_temperature_C,Local_ambient_temperature_C,Measured_core_temperature_C,Predicted_core_temperature_C,Raw_temperature_gap_C,Residual_measured_minus_predicted_C,Raw_absolute_error_C,Compensated_absolute_error_C,Bland_Altman_mean_C
30.4,16.0,38.3,38.239046553636335,7.899999999999999,0.06095344636366207,7.899999999999999,0.06095344636366207,38.26952327681816
28.1,13.4,38.3,38.25845076640236,10.199999999999996,0.04154923359763529,10.199999999999996,0.04154923359763529,38.27922538320118
31.8,6.9,38.7,38.6812178001867,6.900000000000002,0.01878219981330176,6.900000000000002,0.01878219981330176,38.69060890009335
33.6,6.8,38.4,38.509484393243504,4.799999999999997,-0.10948439324350545,4.799999999999997,0.10948439324350545,38.45474219662175
33.6,6.8,38.4,38.50822558478585,4.799999999999997,-0.1082255847858491,4.799999999999997,0.1082255847858491,38.45411279239292
33.9,11.2,38.3,38.24254197259352,4.399999999999999,0.057458027406475765,4.399999999999999,0.057458027406475765,38.271270986296756
33.7,5.5,38.0,38.02339733181096,4.299999999999997,-0.02339733181096193,4.299999999999997,0.02339733181096193,38.011698665905485
33.1,5.0,39.1,39.11682032614151,6.0,-0.01682032614150586,6.0,0.01682032614150586,39.10841016307076
36.2,6.8,39.3,39.28526959426917,3.0999999999999943,0.014730405730830398,3.0999999999999943,0.014730405730830398,39.29263479713458
32.8,8.0,39.2,39.20402363377234,6.400000000000006,-0.0040236337723342785,6.400000000000006,0.0040236337723342785,39.20201181688617
36.2,8.8,39.0,39.00756465346638,2.799999999999997,-0.007564653466381799,2.799999999999997,0.007564653466381799,39.00378232673319
33.7,9.0,40.0,40.016660814980106,6.299999999999997,-0.01666081498010641,6.299999999999997,0.01666081498010641,40.00833040749005
33.5,5.5,39.2,39.22758079305443,5.700000000000003,-0.027580793054426067,5.700000000000003,0.027580793054426067,39.213790396527216
31.8,5.4,38.1,38.0745091124222,6.300000000000001,0.025490887577802823,6.300000000000001,0.025490887577802823,38.0872545562111
36.3,8.0,38.5,38.64570003900256,2.200000000000003,-0.14570003900256268,2.200000000000003,0.14570003900256268,38.57285001950128
36.3,8.0,38.5,38.649320174337234,2.200000000000003,-0.14932017433723388,2.200000000000003,0.14932017433723388,38.57466008716862
35.0,11.2,38.5,38.44538295414607,3.5,0.05461704585393079,3.5,0.05461704585393079,38.472691477073035
32.1,5.4,38.4,38.38707521784976,6.299999999999997,0.01292478215023607,6.299999999999997,0.01292478215023607,38.39353760892488
26.6,5.0,38.9,38.872262250358204,12.299999999999997,0.027737749641794096,12.299999999999997,0.027737749641794096,38.886131125179105
33.3,8.0,38.2,38.17179790536659,4.900000000000006,0.028202094633414276,4.900000000000006,0.028202094633414276,38.185898952683296
31.8,8.8,38.0,37.98465021458757,6.199999999999999,0.015349785412432482,6.199999999999999,0.015349785412432482,37.99232510729378
30.5,9.0,38.2,38.18477008617974,7.700000000000003,0.015229913820263619,7.700000000000003,0.015229913820263619,38.19238504308987
30.6,5.4,38.1,38.07069679863984,7.5,0.02930320136016462,7.5,0.02930320136016462,38.08534839931992
30.5,5.5,38.1,38.063249310154326,7.600000000000001,0.03675068984567531,7.600000000000001,0.03675068984567531,38.081624655077164
29.5,5.4,38.9,38.89013637875697,9.399999999999999,0.009863621243027865,9.399999999999999,0.009863621243027865,38.895068189378485
30.7,11.2,38.5,38.520739356011866,7.800000000000001,-0.02073935601186605,7.800000000000001,0.02073935601186605,38.51036967800593
32.3,9.0,39.1,39.04951781273833,6.800000000000004,0.05048218726167164,6.800000000000004,0.05048218726167164,39.07475890636917
