Configuration,RemovedModel,Delta_RMSE_C,Delta_RMSE_CI2.5_C,Delta_RMSE_CI97.5_C,Delta_MAE_C,Delta_MAE_CI2.5_C,Delta_MAE_CI97.5_C,BootstrapN,ResamplingUnit
w/o A (B+C),A,0.09138740315187499,0.04776110925319664,0.14788798114147844,0.0890169416428144,0.058172170481655336,0.12453128229132687,10000,cow_cluster
w/o B (A+C),B,0.4061326378704087,0.2565194173367263,0.5711578584004501,0.39979663396043097,0.27855895862796726,0.5395100541110704,10000,cow_cluster
w/o C (A+B),C,0.008578867888530295,0.0011635096924049835,0.01570898653980282,0.010292679652932846,0.003055976131572024,0.018141366456590997,10000,cow_cluster
