Configuration,RemovedModel,Delta_RMSE_C,Delta_RMSE_CI2.5_C,Delta_RMSE_CI97.5_C,Delta_MAE_C,Delta_MAE_CI2.5_C,Delta_MAE_CI97.5_C,BootstrapN,ResamplingUnit
w/o A (B+C),A,0.09138740315187499,0.0632969879470058,0.12220288031072193,0.0890169416428144,0.07219555488207666,0.10610978631275532,10000,record
w/o B (A+C),B,0.4061326378704087,0.352905178975805,0.46084789449466135,0.39979663396043097,0.3606366251306213,0.4390942909121242,10000,record
w/o C (A+B),C,0.008578867888530295,-0.0034363479423631924,0.018679014327396614,0.010292679652932846,0.004479949103233889,0.01624628508126484,10000,record
