Seed,Configuration,N,R2,RMSE_C,MAE_C,Bias_C,MedianAE_C,P95_AE_C,Within_0_2C,Within_0_3C,Within_0_5C
20260523,Full A+B+C,520,0.8369929173751623,0.3079610435735792,0.17242068752960413,-0.0006860850645055167,0.06994361483480205,0.714595866063154,0.7269230769230769,0.823076923076923,0.9173076923076923
20260523,w/o C (A+B),520,0.8275148143061437,0.3167877982804373,0.18316465913524344,0.0002609383981791643,0.08581354096612515,0.6998582928347408,0.7115384615384616,0.8134615384615385,0.9019230769230769
20260523,w/o B (A+C),520,0.15106154008353234,0.7027982149866911,0.5630735068393053,-0.0002382131127911217,0.48093713571604013,1.439284993519956,0.2173076923076923,0.3230769230769231,0.5115384615384615
20260523,w/o A (B+C),520,0.7414609808607466,0.38784267507995035,0.2507246814856473,-0.0007190232157437748,0.15238023481786556,0.8561292770835226,0.5826923076923077,0.7096153846153846,0.8538461538461538
20260607,Full A+B+C,520,0.8403535121092023,0.30477001023449707,0.1690268601623962,-0.0008945443135434225,0.07179913069624533,0.7054223224045958,0.7403846153846154,0.8384615384615385,0.9115384615384615
20260607,w/o C (A+B),520,0.8371018213415933,0.3078581530054431,0.17460071890914555,-9.154067755242377e-05,0.0806971176107929,0.7336326038301504,0.7346153846153847,0.8326923076923077,0.9076923076923077
20260607,w/o B (A+C),520,0.15113671771124737,0.7027670961984609,0.5637228788003876,0.00014943674957363076,0.48593796051356364,1.464741346063941,0.2076923076923077,0.3230769230769231,0.5173076923076924
20260607,w/o A (B+C),520,0.7437118777232964,0.3861506629831559,0.24705291220489453,0.0007279681809281513,0.1489244396936158,0.8079353887240147,0.5980769230769231,0.7288461538461538,0.8692307692307693
20260701,Full A+B+C,520,0.8499401556845452,0.29547775523297737,0.1675958967011845,0.0007597469175912727,0.07233918302127407,0.6933197455553687,0.7346153846153847,0.8288461538461539,0.9211538461538461
20260701,w/o C (A+B),520,0.8432286918695444,0.3020131383657938,0.17769878890010588,1.8862498012759068e-06,0.09288701730471871,0.7058821594457327,0.7365384615384616,0.8192307692307692,0.9153846153846154
20260701,w/o B (A+C),520,0.15296053207505023,0.7020117296124537,0.5603811090310368,-1.699949160324147e-05,0.4923108231901594,1.43698976612489,0.2326923076923077,0.325,0.5096153846153846
20260701,w/o A (B+C),520,0.7421992783406999,0.3872885073044745,0.25337558582115216,0.00017007117285837618,0.16132597770790014,0.8242513173099477,0.575,0.7269230769230769,0.8653846153846154
20260811,Full A+B+C,520,0.8288746343488982,0.315536598700279,0.175636805700643,0.0010638733027962717,0.0779128478966733,0.7410777719043901,0.7557692307692307,0.8403846153846154,0.9115384615384615
20260811,w/o C (A+B),520,0.828506849750575,0.3158754941467665,0.18004746298664562,0.0008620787501912676,0.08577512227589068,0.7059030133357115,0.7384615384615385,0.8307692307692308,0.9096153846153846
20260811,w/o B (A+C),520,0.13476679971107475,0.7095110000662598,0.5673382994830052,0.0013661799231753727,0.4782932044152268,1.4399984069122609,0.20961538461538462,0.31153846153846154,0.525
20260811,w/o A (B+C),520,0.714419155239322,0.407621499417699,0.26293789233994413,-0.0005828872201852038,0.1660846269344134,0.8207562444551695,0.5692307692307692,0.7115384615384616,0.8461538461538461
20260903,Full A+B+C,520,0.8436658203054355,0.30159178994323727,0.16917872043754187,-0.0007988982523188317,0.07356956781684332,0.7070849271429099,0.7384615384615385,0.8326923076923077,0.925
20260903,w/o C (A+B),520,0.826689947877298,0.31754437327072976,0.183718667077423,-0.0014229959621514965,0.08698151417928557,0.7382689888296697,0.7269230769230769,0.8384615384615385,0.9173076923076923
20260903,w/o B (A+C),520,0.14600465083326697,0.7048882934228086,0.5613361730731039,-0.0019454424544543432,0.4866375468034754,1.4474463832224447,0.20576923076923076,0.32884615384615384,0.5230769230769231
20260903,w/o A (B+C),520,0.7268294454732875,0.39866626498577945,0.25781991075762223,-0.0019671943812545494,0.1586907333115235,0.8229077612586938,0.5884615384615385,0.7192307692307692,0.8442307692307692
