RecordID,RowID,FoldID,Actual,Predicted,SHAP_base_value_C,SHAP_sum_C,SHAP_reconstructed_unclipped_C,SHAP_SourceMemoryPredicted_C,SHAP_BatchSessionPredicted_C,SHAP_HierarchicalResidualPredicted_C
TEMP_R000001,1,4,38.3,38.31836257583106,38.79926289983865,-0.48090032400760196,38.31836257583105,-0.1630008179057236,-0.178653643568335,-0.1392458625335434
TEMP_R000002,2,1,38.3,38.239046553636335,38.780562658734105,-0.5415161050977735,38.239046553636335,-0.14901656781005218,-0.20870165073924823,-0.1837978865484731
TEMP_R000003,3,3,38.2,38.220371748559785,38.793984962448135,-0.5736132138883513,38.220371748559785,-0.20759550713307198,-0.21878163781907348,-0.14723606893620583
TEMP_R000004,4,3,38.4,38.22350973321692,38.793984962448135,-0.570475229231223,38.223509733216915,-0.20544664470599164,-0.21779251558902546,-0.14723606893620583
TEMP_R000005,5,2,38.1,38.32399629916014,38.78227848047716,-0.45828218131702214,38.323996299160136,-0.14326856089596907,-0.1491102794387421,-0.16590334098231094
TEMP_R000006,6,1,38.3,38.25845076640236,38.780562658734105,-0.5221118923317492,38.258450766402355,-0.1436908584850216,-0.1995977188898094,-0.17882331495691814
TEMP_R000007,7,2,38.3,38.39323599312763,38.78227848047716,-0.3890424873495369,38.393235993127625,-0.09789366099362895,-0.125245485373597,-0.16590334098231094
TEMP_R000008,8,4,38.2,38.38710429692514,38.79926289983865,-0.4121586029135178,38.38710429692514,-0.1402680563868061,-0.13087005435697643,-0.14102049216973525
TEMP_R000009,9,5,38.0,38.3890887191768,38.79452380910577,-0.40543508992897925,38.38908871917679,-0.09022831671210317,-0.1281090765651709,-0.18709769665170514
TEMP_R000015,15,4,39.0,38.95473981710774,38.79926289983865,0.15547691726908366,38.954739817107736,0.03688981997548163,0.024583136901783046,0.09400396039181899
TEMP_R000016,16,5,39.0,38.92993450291876,38.79452380910577,0.13541069381298382,38.929934502918755,0.029098351995299563,0.015347004123584772,0.0909653376940995
TEMP_R000017,17,4,38.8,38.78222102416623,38.79926289983865,-0.01704187567242426,38.782221024166226,0.0049908120636327725,-0.010169098285134896,-0.011863589450922137
TEMP_R000018,18,5,38.8,38.76850171194542,38.79452380910577,-0.026022097160362433,38.768501711945405,0.0043537579805332524,-0.011922238912245975,-0.01845361622864971
TEMP_R000019,19,1,38.7,38.6812178001867,38.780562658734105,-0.09934485854740183,38.6812178001867,-0.01405920728493252,-0.02253187885737505,-0.06275377240509425
TEMP_R000020,20,5,38.7,38.6488919961134,38.79452380910577,-0.14563181299237704,38.64889199611339,-0.02073306003181683,-0.04577681754563684,-0.07912193541492339
TEMP_R000021,21,1,38.4,38.509484393243504,38.780562658734105,-0.2710782654906059,38.5094843932435,-0.06820238135486603,-0.09523318020524063,-0.10764270393049921
TEMP_R000022,22,1,38.4,38.50822558478585,38.780562658734105,-0.27233707394825807,38.50822558478585,-0.06690538541040486,-0.097518497918896,-0.10791319061895722
TEMP_R000023,23,2,38.5,38.47061350896372,38.78227848047716,-0.3116649715134523,38.47061350896371,-0.0679423665269107,-0.06703218531905983,-0.17669041966748178
TEMP_R000024,24,3,38.5,38.48687001972206,38.793984962448135,-0.3071149427260742,38.48687001972206,-0.08919619617648089,-0.09779934933232147,-0.12011939721727183
TEMP_R000025,25,2,38.4,38.380270879474686,38.78227848047716,-0.40200760100248195,38.38027087947468,-0.08813187986945104,-0.08155673687311275,-0.23231898425991815
TEMP_R000026,26,5,38.4,38.37529688957202,38.79452380910577,-0.4192269195337568,38.37529688957201,-0.07187521462770015,-0.10216113939281705,-0.2451905655132396
TEMP_R000027,27,3,38.5,38.40743439177061,38.793984962448135,-0.38655057067753007,38.40743439177061,-0.1452166082995216,-0.15076330582619177,-0.09057065655181674
TEMP_R000028,28,3,38.5,38.40760825079331,38.793984962448135,-0.3863767116548238,38.40760825079331,-0.14496520730465706,-0.15084084779835,-0.09057065655181674
TEMP_R000029,29,1,38.3,38.24254197259352,38.780562658734105,-0.5380206861405957,38.24254197259351,-0.08576719746489705,-0.17076189222923277,-0.28149159644646593
TEMP_R000030,30,2,38.3,38.28565487779542,38.78227848047716,-0.4966236026817465,38.285654877795416,-0.10223681457223983,-0.10228857463762302,-0.29209821347188364
TEMP_R000031,31,3,38.5,38.49413076274226,38.793984962448135,-0.299854199705872,38.494130762742266,-0.08826524662019017,-0.09054379405216481,-0.12104515903351704
TEMP_R000032,32,2,38.5,38.489354126558105,38.78227848047716,-0.2929243539190586,38.489354126558105,-0.06077584131886471,-0.056697131562329715,-0.17545138103786415
TEMP_R000033,33,3,39.0,38.962160966703074,38.793984962448135,0.1681760042549393,38.962160966703074,0.06623657428149769,0.04259589262685947,0.05934353734658216
TEMP_R000034,34,4,39.0,38.96082170406776,38.79926289983865,0.1615588042291004,38.960821704067754,0.04183735624097208,0.021995405182637085,0.09772604280549123
TEMP_R000035,35,4,38.6,38.50578860405646,38.79926289983865,-0.29347429578219486,38.505788604056455,-0.08600451857921698,-0.08582922037936638,-0.12164055682361152
TEMP_R000036,36,4,38.6,38.484832072230496,38.79926289983865,-0.3144308276081647,38.48483207223049,-0.09203194519485046,-0.10063975861150176,-0.12175912380181246
TEMP_R000037,37,2,38.0,38.035493782269306,38.78227848047716,-0.7467846982078548,38.035493782269306,-0.15706167083290182,-0.14276324637845506,-0.4469597809964979
TEMP_R000038,38,1,38.0,38.02339733181096,38.780562658734105,-0.7571653269231556,38.02339733181095,-0.13559269780690303,-0.18336087335856596,-0.43821175575768667
TEMP_R000039,39,4,38.2,38.21974518842628,38.79926289983865,-0.5795177114123752,38.21974518842628,-0.14126257334957235,-0.11343232177709268,-0.32482281628571014
TEMP_R000040,40,3,38.2,38.2788023270613,38.793984962448135,-0.5151826353868311,38.27880232706131,-0.16859892018566042,-0.14436669025096013,-0.20221702495021057
TEMP_R000041,41,3,39.5,39.502422869043045,38.793984962448135,0.70843790659491,39.502422869043045,0.22162193460424826,0.22948145173316556,0.25733452025749626
